corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
KFTT	v1.0	WikiMatrix	v1	420956	13947997	57443	13.64	.41
KFTT	v1.0	CCMatrix	v1	420956	148110109	5993	1.42	0
KFTT	v1.0	NLLB	v1	420956	148109607	5995	1.42	0
KFTT	v1.0	LinguaTools-WikiTitles	v2014	420956	1036385	5697	1.35	.54
KFTT	v1.0	XLEnt	v1.1	420956	4998401	4675	1.11	.09
KFTT	v1.0	XLEnt	v1.2	420956	4998401	4675	1.11	.09
KFTT	v1.0	XLEnt	v1	420956	4998401	4675	1.11	.09
KFTT	v1.0	WikiTitles	v3	420956	680582	4015	.95	.58
KFTT	v1.0	MultiCCAligned	v1.1	420956	21416605	2332	.55	.01
KFTT	v1.0	MultiCCAligned	v1	420956	21416605	2332	.55	.01
KFTT	v1.0	CCAligned	v1	420956	21416601	2332	.55	.01
KFTT	v1.0	wikimedia	v20230407	420956	401267	1180	.28	.29
KFTT	v1.0	wikimedia	v20210402	420956	262143	952	.22	.36
KFTT	v1.0	OpenSubtitles	v2018	420956	2182897	347	.08	.01
KFTT	v1.0	OpenSubtitles	v2016	420956	1644301	286	.06	.01
KFTT	v1.0	JESC	v2019-12-05	420956	2452879	245	.05	0
KFTT	v1.0	KDE4	v2	420956	100210	231	.05	.23
KFTT	v1.0	QED	v2.0a	420956	916537	191	.04	.02
KFTT	v1.0	JParaCrawl	v3.0	420956	20891161	136	.03	0
KFTT	v1.0	Mozilla-I10n	v1	420956	31514	142	.03	.45
KFTT	v1.0	wikimedia	v20190628	420956	2752	136	.03	4.94
KFTT	v1.0	OpenOffice	v3	420956	42638	99	.02	.23
KFTT	v1.0	OpenSubtitles	v2013	420956	413936	75	.01	.01
KFTT	v1.0	OpenSubtitles	v2012	420956	314267	55	.01	.01
KFTT	v1.0	TED2020	v1	420956	356086	14	0	0
KFTT	v1.0	Tatoeba	v2023-04-12	420956	243187	6	0	0
KFTT	v1.0	Tatoeba	v2022-03-03	420956	223161	6	0	0
KFTT	v1.0	Tatoeba	v2021-07-22	420956	214515	5	0	0
KFTT	v1.0	NeuLab-TedTalks	v1	420956	212489	13	0	0
KFTT	v1.0	Tatoeba	v2021-03-10	420956	207594	5	0	0
KFTT	v1.0	Tatoeba	v2020-11-09	420956	201078	5	0	0
KFTT	v1.0	Tatoeba	v2020-05-31	420956	193826	5	0	0
KFTT	v1.0	Tatoeba	v20190709	420956	187030	4	0	0
KFTT	v1.0	Tatoeba	v2	420956	175598	3	0	0
KFTT	v1.0	OpenSubtitles	v1	420956	15183	2	0	.01
KFTT	v1.0	Tanzil	v1	420956	6168	0	0	0
KFTT	v1.0	GNOME	v1	420956	1182	6	0	.50
KFTT	v1.0	News-Commentary	v16	420956	1064	0	0	0
KFTT	v1.0	News-Commentary	v11	420956	978	0	0	0
KFTT	v1.0	News-Commentary	v14	420956	978	0	0	0
KFTT	v1.0	News-Commentary	v9.0	420956	677	0	0	0
KFTT	v1.0	News-Commentary	v9.1	420956	677	0	0	0
KFTT	v1.0	tldr-pages	v2023-08-29	420956	623	0	0	0
KFTT	v1.0	KDEdoc	v1	420956	183	3	0	1.63
KFTT	v1.0	EUbookshop	v2	420956	138	0	0	0
KFTT	v1.0	Ubuntu	v14.10	420956	45	3	0	6.66
KFTT	v1.0	MDN_Web_Docs	v2023-09-25	420956	27	2	0	7.40
