corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
LinguaTools-WikiTitles	v2014	XLEnt	v1.1	1683454	4941805	303821	18.04	6.14
LinguaTools-WikiTitles	v2014	XLEnt	v1	1683454	4941805	303821	18.04	6.14
LinguaTools-WikiTitles	v2014	XLEnt	v1.2	1683454	4941805	303821	18.04	6.14
LinguaTools-WikiTitles	v2014	CCMatrix	v1	1683454	341802613	139748	8.30	.04
LinguaTools-WikiTitles	v2014	NLLB	v1	1683454	341230483	139309	8.27	.04
LinguaTools-WikiTitles	v2014	MultiCCAligned	v1.1	1683454	54679959	89404	5.31	.16
LinguaTools-WikiTitles	v2014	MultiCCAligned	v1	1683454	54679959	89404	5.31	.16
LinguaTools-WikiTitles	v2014	CCAligned	v1	1683454	54679929	89404	5.31	.16
LinguaTools-WikiTitles	v2014	MultiParaCrawl	v8	1683454	85374905	80622	4.78	.09
LinguaTools-WikiTitles	v2014	ParaCrawl	v8	1683454	85374905	80622	4.78	.09
LinguaTools-WikiTitles	v2014	MultiParaCrawl	v9	1683454	81712132	59644	3.54	.07
LinguaTools-WikiTitles	v2014	MultiParaCrawl	v9b	1683454	81712132	59644	3.54	.07
LinguaTools-WikiTitles	v2014	ParaCrawl	v9	1683454	81712132	59644	3.54	.07
LinguaTools-WikiTitles	v2014	ELRC-4238-NTEU_TierA	v1	1683454	12497652	26231	1.55	.20
LinguaTools-WikiTitles	v2014	MultiParaCrawl	v7.1	1683454	39257674	25803	1.53	.06
LinguaTools-WikiTitles	v2014	ParaCrawl	v7.1	1683454	39257674	25803	1.53	.06
LinguaTools-WikiTitles	v2014	ELRC-4272-NTEU_TierA	v1	1683454	8972931	24066	1.42	.26
LinguaTools-WikiTitles	v2014	ELRC-4205-NTEU_TierA	v1	1683454	9413424	22929	1.36	.24
LinguaTools-WikiTitles	v2014	ELRC-4177-NTEU_TierA	v1	1683454	6025063	18848	1.11	.31
LinguaTools-WikiTitles	v2014	ELRC-4139-NTEU_TierA	v1	1683454	5654872	18822	1.11	.33
LinguaTools-WikiTitles	v2014	ELRC-4210-NTEU_TierA	v1	1683454	6094931	18214	1.08	.29
LinguaTools-WikiTitles	v2014	ELRC-4191-NTEU_TierA	v1	1683454	5361896	18031	1.07	.33
LinguaTools-WikiTitles	v2014	TildeMODEL	v2018	1683454	3958091	11442	.67	.28
LinguaTools-WikiTitles	v2014	ParaCrawl	v1	1683454	8109947	11206	.66	.13
LinguaTools-WikiTitles	v2014	OpenSubtitles	v2018	1683454	39284521	11021	.65	.02
LinguaTools-WikiTitles	v2014	ELRC-4174-NTEU_TierA	v1	1683454	1370571	9885	.58	.72
LinguaTools-WikiTitles	v2014	DGT	v4	1683454	1893963	9585	.56	.50
LinguaTools-WikiTitles	v2014	OpenSubtitles	v2016	1683454	29541858	8827	.52	.02
LinguaTools-WikiTitles	v2014	JRC-Acquis	v3.0	1683454	2021579	7473	.44	.36
LinguaTools-WikiTitles	v2014	EUbookshop	v2	1683454	8655670	6378	.37	.07
LinguaTools-WikiTitles	v2014	wikimedia	v20230407	1683454	1000664	5898	.35	.58
LinguaTools-WikiTitles	v2014	KDE4	v2	1683454	177694	5746	.34	3.23
LinguaTools-WikiTitles	v2014	WikiMatrix	v1	1683454	11591297	5424	.32	.04
LinguaTools-WikiTitles	v2014	ParaCrawl	v4	1683454	12842958	5294	.31	.04
LinguaTools-WikiTitles	v2014	MultiParaCrawl	v5	1683454	22004783	5114	.30	.02
LinguaTools-WikiTitles	v2014	ParaCrawl	v5	1683454	22004783	5114	.30	.02
LinguaTools-WikiTitles	v2014	OpenSubtitles	v2012	1683454	10571066	4861	.28	.04
LinguaTools-WikiTitles	v2014	wikimedia	v20210402	1683454	630503	4569	.27	.72
LinguaTools-WikiTitles	v2014	OpenSubtitles	v2013	1683454	9810748	3145	.18	.03
LinguaTools-WikiTitles	v2014	ELRC-2410-Portal_oficial_turis	v1	1683454	129413	3160	.18	2.44
LinguaTools-WikiTitles	v2014	EMEA	v3	1683454	338823	2579	.15	.76
LinguaTools-WikiTitles	v2014	ELRC-2710-EMEA	v1	1683454	742096	2252	.13	.30
LinguaTools-WikiTitles	v2014	ELRC-EMEA	v1	1683454	742096	2252	.13	.30
LinguaTools-WikiTitles	v2014	Mozilla-I10n	v1	1683454	51062	2348	.13	4.59
LinguaTools-WikiTitles	v2014	ELRC-EUIPO_list	v1	1683454	54018	1570	.09	2.90
LinguaTools-WikiTitles	v2014	TED2013	v1.1	1683454	157738	1198	.07	.75
