corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Mozilla-I10n	v1	Samanantar	v0.2	66158	16891660	22818	34.49	.13
Mozilla-I10n	v1	ParaCrawl	v9	66158	877766608	15437	23.33	0
Mozilla-I10n	v1	CCAligned	v1	66158	405094222	13368	20.20	0
Mozilla-I10n	v1	StanfordNLP-NMT	v1.0	66158	14386355	6994	10.57	.04
Mozilla-I10n	v1	XLEnt	v1.1	66158	53628082	6130	9.26	.01
Mozilla-I10n	v1	XLEnt	v1.2	66158	53628082	6130	9.26	.01
Mozilla-I10n	v1	XLEnt	v1	66158	53628082	6130	9.26	.01
Mozilla-I10n	v1	IITB	v2.0	66158	1105433	5164	7.80	.46
Mozilla-I10n	v1	ELRC-4239-NTEU_TierA	v1	66158	11906559	5075	7.67	.04
Mozilla-I10n	v1	ELRC-4271-NTEU_TierA	v1	66158	7211577	4950	7.48	.06
Mozilla-I10n	v1	ELRC-4268-NTEU_TierA	v1	66158	11782507	4697	7.09	.03
Mozilla-I10n	v1	ELRC-4270-NTEU_TierA	v1	66158	7252413	4556	6.88	.06
Mozilla-I10n	v1	LinguaTools-WikiTitles	v2014	66158	8265652	4478	6.76	.05
Mozilla-I10n	v1	ELRC-4269-NTEU_TierA	v1	66158	7234848	4428	6.69	.06
Mozilla-I10n	v1	KDE4	v2	66158	190475	4053	6.12	2.12
Mozilla-I10n	v1	ELRC-4248-NTEU_TierA	v1	66158	12854274	3915	5.91	.03
Mozilla-I10n	v1	ELRC-4142-NTEU_TierA	v1	66158	2152367	3364	5.08	.15
Mozilla-I10n	v1	OpenSubtitles	v2018	66158	102548132	3072	4.64	0
Mozilla-I10n	v1	CCMatrix	v1	66158	1341614085	3010	4.54	0
Mozilla-I10n	v1	UNPC	v1.0	66158	23776005	2991	4.52	.01
Mozilla-I10n	v1	EUbookshop	v2	66158	46038769	2978	4.50	0
Mozilla-I10n	v1	WikiTitles	v3	66158	2348300	2723	4.11	.11
Mozilla-I10n	v1	ELRC-4154-NTEU_TierA	v1	66158	7119873	2681	4.05	.03
Mozilla-I10n	v1	wikimedia	v20210402	66158	11389460	2364	3.57	.02
Mozilla-I10n	v1	SPC	v1	66158	59926	2336	3.53	3.89
Mozilla-I10n	v1	TildeMODEL	v2018	66158	5686357	2017	3.04	.03
Mozilla-I10n	v1	giga-fren	v2	66158	20786998	1827	2.76	0
Mozilla-I10n	v1	QED	v2.0a	66158	7299297	1543	2.33	.02
Mozilla-I10n	v1	JParaCrawl	v3.0	66158	22179932	1508	2.27	0
Mozilla-I10n	v1	ELRC-396-Foreign_Affairs_Norw	v1	66158	669717	1374	2.07	.20
Mozilla-I10n	v1	ParIce	v1	66158	1364589	1230	1.85	.09
Mozilla-I10n	v1	ELRC-2410-Portal_oficial_turis	v1	66158	185841	1120	1.69	.60
Mozilla-I10n	v1	WikiMatrix	v1	66158	47707259	1109	1.67	0
