corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiCCAligned	v1.1	MultiCCAligned	v1	4354555	4354555	4354555	100.00	100.00
MultiCCAligned	v1.1	CCAligned	v1	4354555	4354555	4354552	99.99	99.99
MultiCCAligned	v1.1	CCMatrix	v1	4354555	31007083	748434	17.18	2.41
MultiCCAligned	v1.1	NLLB	v1	4354555	30756250	746179	17.13	2.42
MultiCCAligned	v1.1	MultiParaCrawl	v8	4354555	6718000	426387	9.79	6.34
MultiCCAligned	v1.1	ParaCrawl	v8	4354555	6718000	426387	9.79	6.34
MultiCCAligned	v1.1	MultiParaCrawl	v9	4354555	7032296	399125	9.16	5.67
MultiCCAligned	v1.1	MultiParaCrawl	v9b	4354555	7032296	399125	9.16	5.67
MultiCCAligned	v1.1	ParaCrawl	v9	4354555	7032296	399125	9.16	5.67
MultiCCAligned	v1.1	MultiParaCrawl	v7.1	4354555	3052279	298354	6.85	9.77
MultiCCAligned	v1.1	ParaCrawl	v7.1	4354555	3052279	298354	6.85	9.77
MultiCCAligned	v1.1	HPLT	v1	4354555	5498414	163613	3.75	2.97
MultiCCAligned	v1.1	MultiHPLT	v1	4354555	5498414	163613	3.75	2.97
MultiCCAligned	v1.1	MultiParaCrawl	v5	4354555	1431163	141347	3.24	9.87
MultiCCAligned	v1.1	ParaCrawl	v5	4354555	1431163	141347	3.24	9.87
MultiCCAligned	v1.1	ParaCrawl	v4	4354555	928739	106964	2.45	11.51
MultiCCAligned	v1.1	TildeMODEL	v2018	4354555	2074632	80482	1.84	3.87
MultiCCAligned	v1.1	ELRC_2682	v1	4354555	724177	65525	1.50	9.04
MultiCCAligned	v1.1	ELRC-2723-EMEA	v1	4354555	724177	65525	1.50	9.04
MultiCCAligned	v1.1	ELRC-EMEA	v1	4354555	724177	65525	1.50	9.04
MultiCCAligned	v1.1	ELRC-4271-NTEU_TierA	v1	4354555	7312708	40407	.92	.55
MultiCCAligned	v1.1	ELRC-4186-NTEU_TierA	v1	4354555	6262905	35740	.82	.57
MultiCCAligned	v1.1	ELRC-4133-NTEU_TierA	v1	4354555	6234288	35912	.82	.57
MultiCCAligned	v1.1	ELRC-4138-NTEU_TierA	v1	4354555	6032328	35763	.82	.59
MultiCCAligned	v1.1	ELRC-4163-NTEU_TierA	v1	4354555	6155441	35705	.81	.58
MultiCCAligned	v1.1	ELRC-4199-NTEU_TierA	v1	4354555	6001391	35419	.81	.59
MultiCCAligned	v1.1	ELRC-4210-NTEU_TierA	v1	4354555	5975576	35577	.81	.59
MultiCCAligned	v1.1	ELRC-4280-NTEU_TierA	v1	4354555	5963160	35431	.81	.59
MultiCCAligned	v1.1	ELRC-4158-NTEU_TierA	v1	4354555	5962071	35565	.81	.59
MultiCCAligned	v1.1	ELRC-4218-NTEU_TierA	v1	4354555	5950940	35316	.81	.59
MultiCCAligned	v1.1	ELRC-4148-NTEU_TierA	v1	4354555	5766863	34948	.80	.60
MultiCCAligned	v1.1	ELRC-4206-NTEU_TierA	v1	4354555	5720488	34999	.80	.61
MultiCCAligned	v1.1	ELRC-4257-NTEU_TierA	v1	4354555	5562975	34995	.80	.62
MultiCCAligned	v1.1	ELRC-4173-NTEU_TierA	v1	4354555	5559965	34937	.80	.62
MultiCCAligned	v1.1	ELRC-4246-NTEU_TierA	v1	4354555	5799265	34704	.79	.59
MultiCCAligned	v1.1	ELRC-4252-NTEU_TierA	v1	4354555	5223229	34760	.79	.66
MultiCCAligned	v1.1	ELRC-4225-NTEU_TierA	v1	4354555	5076042	34380	.78	.67
MultiCCAligned	v1.1	ELRC-4231-NTEU_TierA	v1	4354555	4043422	32209	.73	.79
MultiCCAligned	v1.1	ELRC-4230-NTEU_TierA	v1	4354555	4078050	31780	.72	.77
MultiCCAligned	v1.1	ELRC-4285-NTEU_TierA	v1	4354555	3864008	31441	.72	.81
MultiCCAligned	v1.1	ParaCrawl	v1	4354555	924839	25068	.57	2.71
MultiCCAligned	v1.1	XLEnt	v1.1	4354555	1445285	24766	.56	1.71
MultiCCAligned	v1.1	XLEnt	v1.2	4354555	1445285	24766	.56	1.71
MultiCCAligned	v1.1	XLEnt	v1	4354555	1445285	24766	.56	1.71
MultiCCAligned	v1.1	EMEA	v3	4354555	299520	20382	.46	6.80
MultiCCAligned	v1.1	ELRC-4240-NTEU_TierA	v1	4354555	6766037	18814	.43	.27
MultiCCAligned	v1.1	OpenSubtitles	v2018	4354555	10653542	14217	.32	.13
MultiCCAligned	v1.1	OpenSubtitles	v2016	4354555	8829129	12941	.29	.14
MultiCCAligned	v1.1	EOPC	v2022	4354555	1788396	12647	.29	.70
MultiCCAligned	v1.1	OpenSubtitles	v2012	4354555	5042792	10141	.23	.20
MultiCCAligned	v1.1	ELRC-4201-NTEU_TierA	v1	4354555	1370000	9583	.22	.69
MultiCCAligned	v1.1	DGT	v4	4354555	1841918	9518	.21	.51
MultiCCAligned	v1.1	OpenSubtitles	v2013	4354555	2566968	7655	.17	.29
MultiCCAligned	v1.1	JRC-Acquis	v3.0	4354555	2127694	6506	.14	.30
MultiCCAligned	v1.1	ELRC-4164-NTEU_TierA	v1	4354555	233794	4170	.09	1.78
MultiCCAligned	v1.1	KDE4	v2	4354555	179302	4058	.09	2.26
MultiCCAligned	v1.1	QED	v2.0a	4354555	302725	3335	.07	1.10
MultiCCAligned	v1.1	EUbookshop	v2	4354555	512391	2879	.06	.56
MultiCCAligned	v1.1	ELRC-5179-acts_Ukrainian	v1	4354555	125665	2522	.05	2.00
MultiCCAligned	v1.1	WikiMatrix	v1	4354555	2014166	2005	.04	.09
MultiCCAligned	v1.1	OpenSubtitles	v1	4354555	122443	1843	.04	1.50
MultiCCAligned	v1.1	ECB	v1	4354555	224522	1312	.03	.58
MultiCCAligned	v1.1	TED2020	v1	4354555	26254	1471	.03	5.60
MultiCCAligned	v1.1	Mozilla-I10n	v1	4354555	23711	1689	.03	7.12
MultiCCAligned	v1.1	ELRC-1129-www.visitestonia.com	v1	4354555	13735	1013	.02	7.37
MultiCCAligned	v1.1	ELRC-www.visitestonia.com	v1	4354555	13735	1013	.02	7.37
MultiCCAligned	v1.1	Europarl	v8	4354555	653015	645	.01	.09
MultiCCAligned	v1.1	Europarl	v7	4354555	652638	645	.01	.09
MultiCCAligned	v1.1	wikimedia	v20230407	4354555	49809	602	.01	1.20
MultiCCAligned	v1.1	wikimedia	v20210402	4354555	37678	476	.01	1.26
MultiCCAligned	v1.1	NeuLab-TedTalks	v1	4354555	13648	811	.01	5.94
MultiCCAligned	v1.1	ELRC-5067-SciPar	v1	4354555	83934	32	0	.03
MultiCCAligned	v1.1	ELRA-W0167	v1	4354555	45411	404	0	.88
MultiCCAligned	v1.1	ELRC-429-Legal_Estonian_Justi	v1	4354555	45411	404	0	.88
MultiCCAligned	v1.1	ELRC-939-vp2006_2016.presiden	v1	4354555	28568	127	0	.44
MultiCCAligned	v1.1	ELRA-W0168	v1	4354555	26821	31	0	.11
MultiCCAligned	v1.1	ELRC-431-Estonian_Foreign_Aff	v1	4354555	26821	31	0	.11
MultiCCAligned	v1.1	ELRC-938-vp2001_2006.presiden	v1	4354555	24889	80	0	.32
MultiCCAligned	v1.1	ELRC-EUR_LEX	v1	4354555	21894	43	0	.19
MultiCCAligned	v1.1	infopankki	v1	4354555	17375	370	0	2.12
MultiCCAligned	v1.1	ELRC-2016-EUIPO_2017	v1	4354555	16798	253	0	1.50
MultiCCAligned	v1.1	ELRC-EUIPO_2017	v1	4354555	16798	253	0	1.50
MultiCCAligned	v1.1	ELRC-937-vp1992_2001.presiden	v1	4354555	16507	25	0	.15
MultiCCAligned	v1.1	ELRC-411-Bank_Estonia	v1	4354555	15958	147	0	.92
MultiCCAligned	v1.1	ELRC-2461-press_releases_Forei	v1	4354555	15217	48	0	.31
MultiCCAligned	v1.1	liv4ever	v1	4354555	14154	117	0	.82
MultiCCAligned	v1.1	ELRC-2882-EU_publications_medi	v1	4354555	12931	154	0	1.19
MultiCCAligned	v1.1	ELRC-EU_publications	v1	4354555	12931	154	0	1.19
MultiCCAligned	v1.1	ELRA-W0154	v1	4354555	11314	42	0	.37
MultiCCAligned	v1.1	ELRC-393-Estonian_Cabinet_Min	v1	4354555	11314	42	0	.37
MultiCCAligned	v1.1	bible-uedin	v1	4354555	11265	273	0	2.42
MultiCCAligned	v1.1	ELRA-W0265	v1	4354555	8575	80	0	.93
MultiCCAligned	v1.1	ELRC-919-akadeemia.ee	v1	4354555	8575	80	0	.93
MultiCCAligned	v1.1	ELRA-W0218	v1	4354555	8251	151	0	1.83
MultiCCAligned	v1.1	ELRC-717-Finnish_Information_	v1	4354555	8251	151	0	1.83
MultiCCAligned	v1.1	ELRC-Finnish_Information	v1	4354555	8251	151	0	1.83
MultiCCAligned	v1.1	ELRC-3613-presscorner_covid	v1	4354555	7067	26	0	.36
MultiCCAligned	v1.1	ELRC-presscorner_covid	v1	4354555	7067	26	0	.36
MultiCCAligned	v1.1	ELRC-940-president.ee	v1	4354555	6800	80	0	1.17
MultiCCAligned	v1.1	EUconst	v1	4354555	6621	290	0	4.38
MultiCCAligned	v1.1	ELRC-2457-Estonian_Classificat	v1	4354555	6383	129	0	2.02
MultiCCAligned	v1.1	Tatoeba	v2023-04-12	4354555	5727	227	0	3.96
MultiCCAligned	v1.1	ELRA-W0215	v1	4354555	5291	8	0	.15
MultiCCAligned	v1.1	ELRC-714-Parliament_Estonia	v1	4354555	5291	8	0	.15
MultiCCAligned	v1.1	ELITR-ECA	v1	4354555	5251	153	0	2.91
MultiCCAligned	v1.1	Tatoeba	v2022-03-03	4354555	3750	150	0	4.00
MultiCCAligned	v1.1	Tatoeba	v2021-07-22	4354555	3737	150	0	4.01
MultiCCAligned	v1.1	ELRC_3382	v1	4354555	3695	20	0	.54
MultiCCAligned	v1.1	Tatoeba	v2021-03-10	4354555	3682	148	0	4.01
MultiCCAligned	v1.1	Tatoeba	v2020-11-09	4354555	3652	147	0	4.02
MultiCCAligned	v1.1	Tatoeba	v2020-05-31	4354555	3103	143	0	4.60
MultiCCAligned	v1.1	Tatoeba	v20190709	4354555	3013	141	0	4.67
MultiCCAligned	v1.1	wikimedia	v20190628	4354555	2896	83	0	2.86
MultiCCAligned	v1.1	ELRC-3471-EC_EUROPA_covid	v1	4354555	2672	33	0	1.23
MultiCCAligned	v1.1	ELRC-EC_EUROPA	v1	4354555	2672	33	0	1.23
MultiCCAligned	v1.1	ECDC	v2016-03-16	4354555	2481	107	0	4.31
MultiCCAligned	v1.1	WMT-News	v2019	4354555	2000	1	0	.05
MultiCCAligned	v1.1	Tatoeba	v2	4354555	1027	48	0	4.67
MultiCCAligned	v1.1	DGT	v2019	4354555	974	29	0	2.97
MultiCCAligned	v1.1	ELRC-770-National_Security_De	v1	4354555	860	21	0	2.44
MultiCCAligned	v1.1	ELRC-3211-antibiotic	v1	4354555	685	11	0	1.60
MultiCCAligned	v1.1	ELRC-antibiotic	v1	4354555	685	11	0	1.60
MultiCCAligned	v1.1	ELRC-3300-EUROPARL_covid	v1	4354555	604	4	0	.66
MultiCCAligned	v1.1	ELRC-EUROPARL_covid	v1	4354555	604	4	0	.66
MultiCCAligned	v1.1	ELRC-2751-vaccination	v1	4354555	450	10	0	2.22
MultiCCAligned	v1.1	ELRC-vaccination	v1	4354555	450	10	0	2.22
MultiCCAligned	v1.1	ELRC-3554-www.kriis.ee	v1	4354555	431	16	0	3.71
MultiCCAligned	v1.1	ELRC_2923	v1	4354555	380	4	0	1.05
MultiCCAligned	v1.1	Ubuntu	v14.10	4354555	367	23	0	6.26
MultiCCAligned	v1.1	ELRC-417-Swedish_Work_Environ	v1	4354555	348	21	0	6.03
MultiCCAligned	v1.1	ELRC_2922	v1	4354555	277	0	0	0
MultiCCAligned	v1.1	ELRC-3079-wikipedia_health	v1	4354555	277	0	0	0
