corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiCCAligned	v1	CCAligned	v1	1169961	1169942	1169942	99.99	100.00
MultiCCAligned	v1	NLLB	v1	1169961	74261845	10750	.91	.01
MultiCCAligned	v1	Tanzil	v1	1169961	267308	2210	.18	.82
MultiCCAligned	v1	XLEnt	v1.1	1169961	290950	1216	.10	.41
MultiCCAligned	v1	XLEnt	v1	1169961	290950	1216	.10	.41
MultiCCAligned	v1	XLEnt	v1.2	1169961	290950	1216	.10	.41
MultiCCAligned	v1	CCMatrix	v1	1169961	1148843	156	.01	.01
MultiCCAligned	v1	WikiMatrix	v1	1169961	71277	13	0	.01
MultiCCAligned	v1	wikimedia	v20230407	1169961	24794	52	0	.20
MultiCCAligned	v1	QED	v2.0a	1169961	15551	27	0	.17
MultiCCAligned	v1	TED2020	v1	1169961	11355	27	0	.23
MultiCCAligned	v1	wikimedia	v20210402	1169961	10041	38	0	.37
MultiCCAligned	v1	GNOME	v1	1169961	9529	43	0	.45
MultiCCAligned	v1	NeuLab-TedTalks	v1	1169961	6341	13	0	.20
MultiCCAligned	v1	Tatoeba	v2023-04-12	1169961	3695	5	0	.13
MultiCCAligned	v1	Tatoeba	v2022-03-03	1169961	3673	5	0	.13
MultiCCAligned	v1	Tatoeba	v2021-07-22	1169961	3672	5	0	.13
MultiCCAligned	v1	Tatoeba	v2021-03-10	1169961	3671	5	0	.13
MultiCCAligned	v1	Tatoeba	v2020-11-09	1169961	3667	5	0	.13
MultiCCAligned	v1	Tatoeba	v2020-05-31	1169961	3659	4	0	.10
MultiCCAligned	v1	Tatoeba	v20190709	1169961	3648	4	0	.10
MultiCCAligned	v1	Ubuntu	v14.10	1169961	893	5	0	.55
MultiCCAligned	v1	Tatoeba	v2	1169961	392	0	0	0
MultiCCAligned	v1	ELRC-3059-wikipedia_health	v1	1169961	130	1	0	.76
MultiCCAligned	v1	ELRC-wikipedia_health	v1	1169961	130	1	0	.76
MultiCCAligned	v1	ELRC_2922	v1	1169961	129	0	0	0
