corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiCCAligned	v1	CCAligned	v1	10351609	10351428	10351428	99.99	100.00
MultiCCAligned	v1	ParaCrawl	v9	10351609	13264298	345435	3.33	2.60
MultiCCAligned	v1	ParaCrawl	v8	10351609	11927055	300732	2.90	2.52
MultiCCAligned	v1	MultiParaCrawl	v7.1	10351609	6470710	298280	2.88	4.60
MultiCCAligned	v1	ParaCrawl	v7.1	10351609	6470709	296375	2.86	4.58
MultiCCAligned	v1	CCMatrix	v1	10351609	44333768	177813	1.71	.40
MultiCCAligned	v1	NLLB	v1	10351609	44332999	177825	1.71	.40
MultiCCAligned	v1	ParaCrawl	v5	10351609	2569578	93984	.90	3.65
MultiCCAligned	v1	ParaCrawl	v4	10351609	1033746	58126	.56	5.62
MultiCCAligned	v1	XLEnt	v1	10351609	2394543	22166	.21	.92
MultiCCAligned	v1	XLEnt	v1.1	10351609	2394543	22166	.21	.92
MultiCCAligned	v1	XLEnt	v1.2	10351609	2394543	22166	.21	.92
MultiCCAligned	v1	ELRC-2712-EMEA	v1	10351609	766010	20379	.19	2.66
MultiCCAligned	v1	ELRC_2682	v1	10351609	766009	20177	.19	2.63
MultiCCAligned	v1	ELRC-EMEA	v1	10351609	766008	20386	.19	2.66
MultiCCAligned	v1	LinguaTools-WikiTitles	v2014	10351609	2444290	10812	.10	.44
MultiCCAligned	v1	DGT	v2019	10351609	2739551	6490	.06	.23
MultiCCAligned	v1	DGT	v4	10351609	1077223	5387	.05	.50
MultiCCAligned	v1	OpenSubtitles	v2018	10351609	32563039	4301	.04	.01
MultiCCAligned	v1	EMEA	v3	10351609	328304	4709	.04	1.43
MultiCCAligned	v1	Tanzil	v1	10351609	131265	4698	.04	3.57
MultiCCAligned	v1	OpenSubtitles	v2016	10351609	26838705	3895	.03	.01
MultiCCAligned	v1	QED	v2.0a	10351609	492589	1671	.01	.33
MultiCCAligned	v1	TED2020	v1	10351609	243925	1464	.01	.60
MultiCCAligned	v1	NeuLab-TedTalks	v1	10351609	178322	1168	.01	.65
MultiCCAligned	v1	KDE4	v2	10351609	102046	1860	.01	1.82
MultiCCAligned	v1	ELRC-768-corpora_State_Admini	v1	10351609	50413	1338	.01	2.65
MultiCCAligned	v1	Europarl	v8	10351609	394736	108	0	.02
MultiCCAligned	v1	Europarl	v7	10351609	394341	108	0	.02
MultiCCAligned	v1	WikiMatrix	v1	10351609	357970	88	0	.02
MultiCCAligned	v1	ELITR-ECA	v1	10351609	228660	10	0	0
MultiCCAligned	v1	SETIMES	v2	10351609	211181	31	0	.01
MultiCCAligned	v1	OpenSubtitles	v1	10351609	204640	455	0	.22
MultiCCAligned	v1	EUbookshop	v2	10351609	186306	489	0	.26
MultiCCAligned	v1	SETIMES	v1	10351609	160602	0	0	0
MultiCCAligned	v1	Wikipedia	v1.0	10351609	77040	5	0	0
MultiCCAligned	v1	bible-uedin	v1	10351609	61559	3	0	0
MultiCCAligned	v1	wikimedia	v20230407	10351609	60073	303	0	.50
MultiCCAligned	v1	wikimedia	v20210402	10351609	32277	213	0	.65
MultiCCAligned	v1	JRC-Acquis	v3.0	10351609	28494	169	0	.59
MultiCCAligned	v1	ELRC-3563-EUR_LEX_covid	v1	10351609	23000	14	0	.06
MultiCCAligned	v1	ELRC-EUR_LEX	v1	10351609	23000	14	0	.06
MultiCCAligned	v1	ELRC-1176-EUIPO_2017	v1	10351609	19606	50	0	.25
MultiCCAligned	v1	ELRC-EUIPO_2017	v1	10351609	19606	50	0	.25
MultiCCAligned	v1	Tatoeba	v2023-04-12	10351609	17835	79	0	.44
MultiCCAligned	v1	Tatoeba	v2022-03-03	10351609	17803	79	0	.44
MultiCCAligned	v1	Tatoeba	v2021-07-22	10351609	17800	79	0	.44
MultiCCAligned	v1	Tatoeba	v2020-11-09	10351609	17794	79	0	.44
