corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiCCAligned	v1	CCAligned	v1	11529935	11529736	11529736	99.99	100.00
MultiCCAligned	v1	ParaCrawl	v9	11529935	36432545	428971	3.72	1.17
MultiCCAligned	v1	MultiParaCrawl	v7.1	11529935	6693019	241360	2.09	3.60
MultiCCAligned	v1	ParaCrawl	v7.1	11529935	6693018	238230	2.06	3.55
MultiCCAligned	v1	ParaCrawl	v8	11529935	12681301	213659	1.85	1.68
MultiCCAligned	v1	CCMatrix	v1	11529935	36215097	130025	1.12	.35
MultiCCAligned	v1	NLLB	v1	11529935	36214340	130028	1.12	.35
MultiCCAligned	v1	ParaCrawl	v5	11529935	4171097	82393	.71	1.97
MultiCCAligned	v1	ParaCrawl	v4	11529935	1892152	68045	.59	3.59
MultiCCAligned	v1	TildeMODEL	v2018	11529935	1937632	31380	.27	1.61
MultiCCAligned	v1	ELRC-2715-EMEA	v1	11529935	765041	23659	.20	3.09
MultiCCAligned	v1	ELRC-EMEA	v1	11529935	765041	23659	.20	3.09
MultiCCAligned	v1	XLEnt	v1.1	11529935	3427854	14057	.12	.41
MultiCCAligned	v1	XLEnt	v1	11529935	3427854	14057	.12	.41
MultiCCAligned	v1	XLEnt	v1.2	11529935	3427854	14057	.12	.41
MultiCCAligned	v1	LinguaTools-WikiTitles	v2014	11529935	3548953	8419	.07	.23
MultiCCAligned	v1	DGT	v2019	11529935	3673722	7942	.06	.21
MultiCCAligned	v1	DGT	v4	11529935	1988362	7558	.06	.38
MultiCCAligned	v1	EMEA	v3	11529935	344006	5466	.04	1.58
MultiCCAligned	v1	OpenSubtitles	v2018	11529935	34466630	3667	.03	.01
MultiCCAligned	v1	OpenSubtitles	v2016	11529935	27507360	3329	.02	.01
MultiCCAligned	v1	EUbookshop	v2	11529935	369917	1168	.01	.31
MultiCCAligned	v1	QED	v2.0a	11529935	309930	1797	.01	.57
MultiCCAligned	v1	TED2020	v1	11529935	300676	1719	.01	.57
MultiCCAligned	v1	NeuLab-TedTalks	v1	11529935	155678	1211	.01	.77
MultiCCAligned	v1	KDE4	v2	11529935	108840	2152	.01	1.97
MultiCCAligned	v1	Europarl	v8	11529935	607267	129	0	.02
MultiCCAligned	v1	Europarl	v7	11529935	606871	129	0	.02
MultiCCAligned	v1	WikiMatrix	v1	11529935	488277	82	0	.01
MultiCCAligned	v1	JRC-Acquis	v3.0	11529935	349092	729	0	.20
MultiCCAligned	v1	ELITR-ECA	v1	11529935	256227	18	0	0
MultiCCAligned	v1	Books	v1	11529935	136383	24	0	.01
MultiCCAligned	v1	Tatoeba	v2023-04-12	11529935	116753	238	0	.20
MultiCCAligned	v1	Tatoeba	v2022-03-03	11529935	113410	238	0	.20
MultiCCAligned	v1	Tatoeba	v2021-07-22	11529935	110158	238	0	.21
MultiCCAligned	v1	Tatoeba	v2021-03-10	11529935	109023	238	0	.21
MultiCCAligned	v1	Tatoeba	v2020-11-09	11529935	107116	238	0	.22
MultiCCAligned	v1	OpenSubtitles	v1	11529935	106871	251	0	.23
MultiCCAligned	v1	Tatoeba	v2020-05-31	11529935	105928	237	0	.22
MultiCCAligned	v1	Tatoeba	v20190709	11529935	102930	235	0	.22
MultiCCAligned	v1	wikimedia	v20230407	11529935	87709	513	0	.58
MultiCCAligned	v1	ECB	v1	11529935	71947	341	0	.47
MultiCCAligned	v1	bible-uedin	v1	11529935	61585	2	0	0
MultiCCAligned	v1	Wikipedia	v1.0	11529935	55935	6	0	.01
MultiCCAligned	v1	wikimedia	v20210402	11529935	52996	410	0	.77
MultiCCAligned	v1	ELRC-5067-SciPar	v1	11529935	27422	5	0	.01
MultiCCAligned	v1	ELRC-3566-EUR_LEX_covid	v1	11529935	22260	14	0	.06
MultiCCAligned	v1	ELRC-EUR_LEX	v1	11529935	22260	14	0	.06
MultiCCAligned	v1	ELRC-2019-EUIPO_2017	v1	11529935	17038	156	0	.91
MultiCCAligned	v1	ELRC-EUIPO_2017	v1	11529935	17038	156	0	.91
MultiCCAligned	v1	GlobalVoices	v2018q4	11529935	14618	28	0	.19
MultiCCAligned	v1	GlobalVoices	v2017q3	11529935	13557	26	0	.19
MultiCCAligned	v1	ELRC-2876-EU_publications_medi	v1	11529935	13013	107	0	.82
MultiCCAligned	v1	ELRC-EU_publications	v1	11529935	13013	107	0	.82
MultiCCAligned	v1	GlobalVoices	v2015	11529935	11123	23	0	.20
MultiCCAligned	v1	Tatoeba	v2	11529935	9975	37	0	.37
MultiCCAligned	v1	PHP	v1	11529935	7832	66	0	.84
MultiCCAligned	v1	ELRC-3607-presscorner_covid	v1	11529935	6596	3	0	.04
MultiCCAligned	v1	ELRC-presscorner_covid	v1	11529935	6596	3	0	.04
MultiCCAligned	v1	Ubuntu	v14.10	11529935	6252	108	0	1.72
MultiCCAligned	v1	EUconst	v1	11529935	6179	118	0	1.90
MultiCCAligned	v1	ELRC_3382	v1	11529935	3562	1	0	.02
MultiCCAligned	v1	WMT-News	v2019	11529935	3026	2	0	.06
MultiCCAligned	v1	ELRC-3465-EC_EUROPA_covid	v1	11529935	2496	11	0	.44
MultiCCAligned	v1	ELRC-EC_EUROPA	v1	11529935	2496	11	0	.44
