corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiCCAligned	v1	CCAligned	v1	687365	687353	687353	99.99	100.00
MultiCCAligned	v1	HPLT	v2	687365	1943935	9767	1.42	.50
MultiCCAligned	v1	NLLB	v1	687365	34443405	3685	.53	.01
MultiCCAligned	v1	XLEnt	v1.1	687365	157242	687	.09	.43
MultiCCAligned	v1	XLEnt	v1.2	687365	157242	687	.09	.43
MultiCCAligned	v1	XLEnt	v1	687365	157242	687	.09	.43
MultiCCAligned	v1	KDE4	v2	687365	64497	124	.01	.19
MultiCCAligned	v1	WikiMatrix	v1	687365	20054	3	0	.01
MultiCCAligned	v1	wikimedia	v20230407	687365	11206	11	0	.09
MultiCCAligned	v1	News-Commentary	v14	687365	9573	1	0	.01
MultiCCAligned	v1	News-Commentary	v16	687365	9573	1	0	.01
MultiCCAligned	v1	TED2020	v1	687365	9395	2	0	.02
MultiCCAligned	v1	wikimedia	v20210402	687365	8813	11	0	.12
MultiCCAligned	v1	QED	v2.0a	687365	5084	0	0	0
MultiCCAligned	v1	WMT-News	v2019	687365	4063	0	0	0
MultiCCAligned	v1	NeuLab-TedTalks	v1	687365	3612	1	0	.02
MultiCCAligned	v1	OpenSubtitles	v2018	687365	3528	4	0	.11
MultiCCAligned	v1	GNOME	v1	687365	3431	30	0	.87
MultiCCAligned	v1	OpenSubtitles	v2016	687365	1875	2	0	.10
MultiCCAligned	v1	wikimedia	v20190628	687365	1198	1	0	.08
MultiCCAligned	v1	ELRC-5042-Kazakh_Legal_MT	v1	687365	1000	1	0	.10
MultiCCAligned	v1	Tatoeba	v2023-04-12	687365	438	3	0	.68
MultiCCAligned	v1	Tatoeba	v2022-03-03	687365	409	3	0	.73
MultiCCAligned	v1	Tatoeba	v2021-03-10	687365	407	3	0	.73
MultiCCAligned	v1	Tatoeba	v2021-07-22	687365	407	3	0	.73
MultiCCAligned	v1	Tatoeba	v2020-11-09	687365	401	3	0	.74
MultiCCAligned	v1	Tatoeba	v2020-05-31	687365	397	2	0	.50
MultiCCAligned	v1	Tatoeba	v20190709	687365	386	2	0	.51
MultiCCAligned	v1	translatewiki	v2025-01-01	687365	350	5	0	1.42
MultiCCAligned	v1	Ubuntu	v14.10	687365	234	3	0	1.28
MultiCCAligned	v1	Tatoeba	v2	687365	175	1	0	.57
