corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiCCAligned	v1	CCAligned	v1	6902007	6901883	6901883	99.99	100.00
MultiCCAligned	v1	ParaCrawl	v9	6902007	22901691	268704	3.89	1.17
MultiCCAligned	v1	ParaCrawl	v8	6902007	13010368	220554	3.19	1.69
MultiCCAligned	v1	MultiParaCrawl	v7.1	6902007	4883370	167685	2.42	3.43
MultiCCAligned	v1	ParaCrawl	v7.1	6902007	4883369	165228	2.39	3.38
MultiCCAligned	v1	CCMatrix	v1	6902007	37874215	131951	1.91	.34
MultiCCAligned	v1	NLLB	v1	6902007	37873653	131960	1.91	.34
MultiCCAligned	v1	HPLT	v2	6902007	20056317	129912	1.88	.64
MultiCCAligned	v1	MultiHPLT	v2	6902007	20056317	129912	1.88	.64
MultiCCAligned	v1	ParaCrawl	v5	6902007	2337731	58167	.84	2.48
MultiCCAligned	v1	ParaCrawl	v4	6902007	1576398	45834	.66	2.90
MultiCCAligned	v1	TildeMODEL	v2018	6902007	2133398	29845	.43	1.39
MultiCCAligned	v1	ELRC-2721-EMEA	v1	6902007	774311	21973	.31	2.83
MultiCCAligned	v1	ELRC-EMEA	v1	6902007	774311	21973	.31	2.83
MultiCCAligned	v1	ELRC-4154-NTEU_TierA	v1	6902007	7753851	13582	.19	.17
MultiCCAligned	v1	XLEnt	v1.1	6902007	2448949	7743	.11	.31
MultiCCAligned	v1	XLEnt	v1.2	6902007	2448949	7743	.11	.31
MultiCCAligned	v1	XLEnt	v1	6902007	2448949	7743	.11	.31
MultiCCAligned	v1	DGT	v2019	6902007	3664713	5269	.07	.14
MultiCCAligned	v1	DGT	v4	6902007	1989770	4976	.07	.25
MultiCCAligned	v1	EMEA	v3	6902007	334130	5145	.07	1.53
MultiCCAligned	v1	translatewiki	v2025-01-01	6902007	31227	1502	.02	4.80
MultiCCAligned	v1	OpenSubtitles	v2018	6902007	7267912	1204	.01	.01
MultiCCAligned	v1	OpenSubtitles	v2016	6902007	5866246	1057	.01	.01
MultiCCAligned	v1	EUbookshop	v2	6902007	391461	706	.01	.18
MultiCCAligned	v1	QED	v2.0a	6902007	162438	854	.01	.52
MultiCCAligned	v1	TED2020	v1	6902007	103550	855	.01	.82
MultiCCAligned	v1	KDE4	v2	6902007	96030	1360	.01	1.41
MultiCCAligned	v1	Europarl	v8	6902007	620170	109	0	.01
MultiCCAligned	v1	Europarl	v7	6902007	619796	109	0	.01
MultiCCAligned	v1	ELITR-ECA	v1	6902007	252908	31	0	.01
MultiCCAligned	v1	WikiMatrix	v1	6902007	178985	17	0	0
MultiCCAligned	v1	ECB	v1	6902007	121989	346	0	.28
MultiCCAligned	v1	NeuLab-TedTalks	v1	6902007	65901	565	0	.85
MultiCCAligned	v1	bible-uedin	v1	6902007	61539	0	0	0
MultiCCAligned	v1	ELRC-5067-SciPar	v1	6902007	60468	9	0	.01
MultiCCAligned	v1	ELRC-EUR_LEX	v1	6902007	22470	14	0	.06
MultiCCAligned	v1	JRC-Acquis	v3.0	6902007	21661	136	0	.62
MultiCCAligned	v1	wikimedia	v20230407	6902007	18334	124	0	.67
MultiCCAligned	v1	ELRC-1179-EUIPO_2017	v1	6902007	16311	48	0	.29
MultiCCAligned	v1	ELRC-EUIPO_2017	v1	6902007	16311	48	0	.29
MultiCCAligned	v1	ELRC-2880-EU_publications_medi	v1	6902007	12920	77	0	.59
MultiCCAligned	v1	ELRC-EU_publications	v1	6902007	12920	77	0	.59
MultiCCAligned	v1	wikimedia	v20210402	6902007	9283	91	0	.98
MultiCCAligned	v1	ELRC-1072-annual_reports_immig	v1	6902007	8030	48	0	.59
MultiCCAligned	v1	ELRA-W0136	v1	6902007	8029	47	0	.58
MultiCCAligned	v1	ELRC-3611-presscorner_covid	v1	6902007	6980	2	0	.02
MultiCCAligned	v1	ELRC-presscorner_covid	v1	6902007	6980	2	0	.02
MultiCCAligned	v1	EUconst	v1	6902007	6743	74	0	1.09
MultiCCAligned	v1	ELRC-1073-annual_reports_Slova	v1	6902007	6008	13	0	.21
