corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiHPLT	v1	HPLT	v1	8309633	8309633	8309622	99.99	99.99
MultiHPLT	v1	MultiParaCrawl	v8	8309633	8838591	1174498	14.13	13.28
MultiHPLT	v1	ParaCrawl	v8	8309633	8838591	1174499	14.13	13.28
MultiHPLT	v1	MultiParaCrawl	v7.1	8309633	6600910	652064	7.84	9.87
MultiHPLT	v1	ParaCrawl	v7.1	8309633	6600910	652064	7.84	9.87
MultiHPLT	v1	MultiParaCrawl	v9	8309633	2831458	529534	6.37	18.70
MultiHPLT	v1	MultiParaCrawl	v9b	8309633	2831458	529534	6.37	18.70
MultiHPLT	v1	ParaCrawl	v9	8309633	2831458	529534	6.37	18.70
MultiHPLT	v1	MultiCCAligned	v1.1	8309633	8500546	357582	4.30	4.20
MultiHPLT	v1	MultiCCAligned	v1	8309633	8500546	357582	4.30	4.20
MultiHPLT	v1	CCAligned	v1	8309633	8500544	357582	4.30	4.20
MultiHPLT	v1	CCMatrix	v1	8309633	20457760	353824	4.25	1.72
MultiHPLT	v1	NLLB	v1	8309633	20457686	353843	4.25	1.72
MultiHPLT	v1	MaCoCu	v2	8309633	2327636	324079	3.90	13.92
MultiHPLT	v1	MultiMaCoCu	v2	8309633	2327636	324079	3.90	13.92
MultiHPLT	v1	MultiParaCrawl	v5	8309633	1931881	149629	1.80	7.74
MultiHPLT	v1	ParaCrawl	v5	8309633	1931881	149629	1.80	7.74
MultiHPLT	v1	ParaCrawl	v4	8309633	1116606	100634	1.21	9.01
MultiHPLT	v1	ELRC-4142-NTEU_TierA	v1	8309633	2270641	81107	.97	3.57
MultiHPLT	v1	ELRC-4241-NTEU_TierA	v1	8309633	1742195	73269	.88	4.20
MultiHPLT	v1	ELRC-4198-NTEU_TierA	v1	8309633	1787413	72292	.86	4.04
MultiHPLT	v1	ELRC-4152-NTEU_TierA	v1	8309633	1487037	63445	.76	4.26
MultiHPLT	v1	ELRC-4201-NTEU_TierA	v1	8309633	1481224	63317	.76	4.27
MultiHPLT	v1	ELRC-4209-NTEU_TierA	v1	8309633	1475737	63446	.76	4.29
MultiHPLT	v1	ELRC-4266-NTEU_TierA	v1	8309633	1471464	63159	.76	4.29
MultiHPLT	v1	ELRC-4192-NTEU_TierA	v1	8309633	1466894	63285	.76	4.31
MultiHPLT	v1	ELRC-4193-NTEU_TierA	v1	8309633	1637947	63098	.75	3.85
MultiHPLT	v1	ELRC-4283-NTEU_TierA	v1	8309633	1632859	63065	.75	3.86
MultiHPLT	v1	ELRC-4236-NTEU_TierA	v1	8309633	1480700	63074	.75	4.25
MultiHPLT	v1	ELRC-4219-NTEU_TierA	v1	8309633	1480464	63149	.75	4.26
MultiHPLT	v1	ELRC-4197-NTEU_TierA	v1	8309633	1472103	62854	.75	4.26
MultiHPLT	v1	ELRC-4229-NTEU_TierA	v1	8309633	1468849	63047	.75	4.29
MultiHPLT	v1	ELRC-4150-NTEU_TierA	v1	8309633	1465451	62937	.75	4.29
MultiHPLT	v1	ELRC-4174-NTEU_TierA	v1	8309633	1460366	62950	.75	4.31
MultiHPLT	v1	ELRC-4180-NTEU_TierA	v1	8309633	1454907	63036	.75	4.33
MultiHPLT	v1	ELRC-4185-NTEU_TierA	v1	8309633	1664644	59746	.71	3.58
MultiHPLT	v1	ELRC-4254-NTEU_TierA	v1	8309633	1479052	59791	.71	4.04
MultiHPLT	v1	ELRC-4260-NTEU_TierA	v1	8309633	1474564	59725	.71	4.05
MultiHPLT	v1	ELRC-4170-NTEU_TierA	v1	8309633	1463163	59053	.71	4.03
MultiHPLT	v1	ELRC-4277-NTEU_TierA	v1	8309633	1457471	59807	.71	4.10
MultiHPLT	v1	WikiMatrix	v1	8309633	1968208	31041	.37	1.57
MultiHPLT	v1	ELRC-5179-acts_Ukrainian	v1	8309633	136054	24704	.29	18.15
MultiHPLT	v1	ELRC-4242-NTEU_TierA	v1	8309633	170538	22647	.27	13.27
MultiHPLT	v1	OpenSubtitles	v2018	8309633	39548183	15010	.18	.03
MultiHPLT	v1	OpenSubtitles	v2016	8309633	31276867	13713	.16	.04
MultiHPLT	v1	TildeMODEL	v2018	8309633	772288	13007	.15	1.68
