corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiHPLT	v1	HPLT	v1.1	6089731	6089731	6089731	100.00	100.00
MultiHPLT	v1	HPLT	v1	6089731	6089731	6089731	100.00	100.00
MultiHPLT	v1	MultiHPLT	v1.1	6089731	6089731	6089731	100.00	100.00
MultiHPLT	v1	ParaCrawl	v9	6089731	8539880	1324202	21.74	15.50
MultiHPLT	v1	HPLT	v2	6089731	8797562	1001305	16.44	11.38
MultiHPLT	v1	MultiHPLT	v2	6089731	8797562	1001305	16.44	11.38
MultiHPLT	v1	ParaCrawl	v8	6089731	8585187	851182	13.97	9.91
MultiHPLT	v1	CCMatrix	v1	6089731	21877049	267508	4.39	1.22
MultiHPLT	v1	NLLB	v1	6089731	21876691	267512	4.39	1.22
MultiHPLT	v1	MultiParaCrawl	v7.1	6089731	3180465	183874	3.01	5.78
MultiHPLT	v1	ParaCrawl	v7.1	6089731	3180464	182200	2.99	5.72
MultiHPLT	v1	ELRC-4271-NTEU_TierA	v1	6089731	7730635	124838	2.04	1.61
MultiHPLT	v1	ParaCrawl	v5	6089731	1379164	70364	1.15	5.10
MultiHPLT	v1	EOPC	v2022	6089731	448528	66102	1.08	14.73
MultiHPLT	v1	DGT	v2019	6089731	3620944	65166	1.07	1.79
MultiHPLT	v1	DGT	v4	6089731	1954038	59123	.97	3.02
MultiHPLT	v1	ParaCrawl	v4	6089731	848980	53735	.88	6.32
MultiHPLT	v1	MultiCCAligned	v1	6089731	4086863	51605	.84	1.26
MultiHPLT	v1	CCAligned	v1	6089731	4086794	51601	.84	1.26
MultiHPLT	v1	TildeMODEL	v2018	6089731	2032695	20255	.33	.99
MultiHPLT	v1	ParaCrawl	v1	6089731	1289766	17506	.28	1.35
MultiHPLT	v1	WikiMatrix	v1	6089731	243870	9897	.16	4.05
MultiHPLT	v1	JRC-Acquis	v3.0	6089731	484378	7737	.12	1.59
MultiHPLT	v1	Europarl	v8	6089731	632077	6963	.11	1.10
MultiHPLT	v1	Europarl	v7	6089731	631699	6963	.11	1.10
MultiHPLT	v1	infopankki	v1	6089731	16764	6380	.10	38.05
MultiHPLT	v1	EUbookshop	v2	6089731	365564	5903	.09	1.61
MultiHPLT	v1	ELRC-717-Finnish_Information_	v1	6089731	8321	3951	.06	47.48
MultiHPLT	v1	ELRC-Finnish_Information	v1	6089731	8321	3951	.06	47.48
MultiHPLT	v1	ELRA-W0218	v1	6089731	8320	3932	.06	47.25
