corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiHPLT	v1	HPLT	v1	949862	949862	949862	100.00	100.00
MultiHPLT	v1	MultiParaCrawl	v9	949862	2767612	297359	31.30	10.74
MultiHPLT	v1	MultiParaCrawl	v9b	949862	2767612	297359	31.30	10.74
MultiHPLT	v1	ParaCrawl	v9	949862	2767612	297359	31.30	10.74
MultiHPLT	v1	MultiParaCrawl	v8	949862	1613548	143384	15.09	8.88
MultiHPLT	v1	ParaCrawl	v8	949862	1613548	143384	15.09	8.88
MultiHPLT	v1	MultiParaCrawl	v7.1	949862	2333929	104204	10.97	4.46
MultiHPLT	v1	ParaCrawl	v7.1	949862	2333929	104204	10.97	4.46
MultiHPLT	v1	NLLB	v1	949862	7616151	81869	8.61	1.07
MultiHPLT	v1	MultiParaCrawl	v5	949862	785536	31661	3.33	4.03
MultiHPLT	v1	ParaCrawl	v5	949862	785536	31661	3.33	4.03
MultiHPLT	v1	ELRC-4160-NTEU_TierA	v1	949862	263212	21976	2.31	8.34
MultiHPLT	v1	ELRC-4145-NTEU_TierA	v1	949862	274155	21877	2.30	7.97
MultiHPLT	v1	ELRC-4167-NTEU_TierA	v1	949862	263541	21792	2.29	8.26
MultiHPLT	v1	ELRC-4251-NTEU_TierA	v1	949862	241900	21661	2.28	8.95
MultiHPLT	v1	ELRC-4228-NTEU_TierA	v1	949862	242953	21643	2.27	8.90
MultiHPLT	v1	ELRC-4164-NTEU_TierA	v1	949862	238957	21531	2.26	9.01
MultiHPLT	v1	ELRC-4213-NTEU_TierA	v1	949862	236526	19391	2.04	8.19
MultiHPLT	v1	ParaCrawl	v4	949862	357070	17810	1.87	4.98
MultiHPLT	v1	ELRC-4242-NTEU_TierA	v1	949862	169063	16294	1.71	9.63
MultiHPLT	v1	DGT	v4	949862	38292	7311	.76	19.09
MultiHPLT	v1	EUbookshop	v2	949862	116775	5266	.55	4.50
MultiHPLT	v1	ELRC-5179-acts_Ukrainian	v1	949862	90319	1378	.14	1.52
MultiHPLT	v1	EUconst	v1	949862	6815	833	.08	12.22
MultiHPLT	v1	KDE4	v2	949862	80497	306	.03	.38
MultiHPLT	v1	CCMatrix	v1	949862	30874	271	.02	.87
MultiHPLT	v1	ELRC-2442-_Chonradh_Ginearlta	v1	949862	7586	242	.02	3.19
MultiHPLT	v1	XLEnt	v1.1	949862	50823	161	.01	.31
MultiHPLT	v1	XLEnt	v1.2	949862	50823	161	.01	.31
MultiHPLT	v1	XLEnt	v1	949862	50823	161	.01	.31
MultiHPLT	v1	wikimedia	v20230407	949862	32428	157	.01	.48
MultiHPLT	v1	wikimedia	v20210402	949862	17982	122	.01	.67
MultiHPLT	v1	ELRA-W0230	v1	949862	1975	105	.01	5.31
MultiHPLT	v1	ELRC-801-Coimisineir_Teanga_R	v1	949862	1975	105	.01	5.31
MultiHPLT	v1	DGT	v2019	949862	1405	108	.01	7.68
MultiHPLT	v1	ELRC-780-Coimisineir_Teanga	v1	949862	311	129	.01	41.47
MultiHPLT	v1	ELRA-W0223	v1	949862	66577	11	0	.01
MultiHPLT	v1	ELRC-781-Gaois_legislation	v1	949862	66577	11	0	.01
MultiHPLT	v1	QED	v2.0a	949862	20960	19	0	.09
MultiHPLT	v1	ELRC-5060-A_mix_annual	v1	949862	7283	47	0	.64
MultiHPLT	v1	ELRC-2438-www.citizensinformat	v1	949862	6648	18	0	.27
MultiHPLT	v1	ELRC-2443-LithrenGrasinOG	v1	949862	3682	15	0	.40
MultiHPLT	v1	ELRC-2414-Tuarasclaca_Bliantla	v1	949862	3354	29	0	.86
MultiHPLT	v1	Tatoeba	v2023-04-12	949862	2888	25	0	.86
MultiHPLT	v1	ELRC-2497-Tuarascil_Bhliantil_	v1	949862	2809	47	0	1.67
MultiHPLT	v1	Tatoeba	v2022-03-03	949862	2695	24	0	.89
MultiHPLT	v1	Tatoeba	v2021-07-22	949862	2422	24	0	.99
MultiHPLT	v1	Tatoeba	v2021-03-10	949862	2399	24	0	1.00
MultiHPLT	v1	Tatoeba	v2020-11-09	949862	2372	24	0	1.01
MultiHPLT	v1	Tatoeba	v2020-05-31	949862	2346	24	0	1.02
MultiHPLT	v1	Tatoeba	v20190709	949862	2244	23	0	1.02
MultiHPLT	v1	ELRC-2441-_Chonradh_don	v1	949862	2043	11	0	.53
MultiHPLT	v1	ELRC-5136-Tuarasclacha_Bliantl	v1	949862	1430	22	0	1.53
MultiHPLT	v1	ELRC-805-Udras_na_Gaeltachta	v1	949862	1367	16	0	1.17
MultiHPLT	v1	ECDC	v2016-03-16	949862	1355	14	0	1.03
MultiHPLT	v1	ELRC-5086-Intellectual_Propert	v1	949862	1300	57	0	4.38
MultiHPLT	v1	ELRC-2506-Programme_Government	v1	949862	1256	11	0	.87
MultiHPLT	v1	ELRC-5149-Tuarascil_Bhliantil_	v1	949862	1168	21	0	1.79
MultiHPLT	v1	ELRC-2559-government_websites_	v1	949862	1142	20	0	1.75
MultiHPLT	v1	ELRC-government_websites	v1	949862	1142	20	0	1.75
MultiHPLT	v1	ELRC-2424-Preasritis_Gaois_Fio	v1	949862	1107	16	0	1.44
MultiHPLT	v1	GNOME	v1	949862	1096	29	0	2.64
