corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiHPLT	v2	HPLT	v2	13080716	13080716	13080716	100.00	100.00
MultiHPLT	v2	HPLT	v1.1	13080716	8905881	1251612	9.56	14.05
MultiHPLT	v2	HPLT	v1	13080716	8905881	1251612	9.56	14.05
MultiHPLT	v2	MultiHPLT	v1.1	13080716	8905881	1251612	9.56	14.05
MultiHPLT	v2	MultiHPLT	v1	13080716	8905881	1251612	9.56	14.05
MultiHPLT	v2	MaCoCu	v2	13080716	3130520	797543	6.09	25.47
MultiHPLT	v2	MultiMaCoCu	v2	13080716	3130520	797543	6.09	25.47
MultiHPLT	v2	CCMatrix	v1	13080716	21161566	698244	5.33	3.29
MultiHPLT	v2	NLLB	v1	13080716	21161243	698261	5.33	3.29
MultiHPLT	v2	WikiMatrix	v1	13080716	1205909	197792	1.51	16.40
MultiHPLT	v2	MultiCCAligned	v1	13080716	5774694	161194	1.23	2.79
MultiHPLT	v2	CCAligned	v1	13080716	5774598	161189	1.23	2.79
MultiHPLT	v2	wikimedia	v20230407	13080716	386194	7499	.05	1.94
MultiHPLT	v2	GlobalVoices	v2017q3	13080716	20884	7367	.05	35.27
MultiHPLT	v2	GlobalVoices	v2015	13080716	19645	6867	.05	34.95
MultiHPLT	v2	wikimedia	v20210402	13080716	208067	4260	.03	2.04
MultiHPLT	v2	ELRC-5129-GEnCaTA_a	v1	13080716	38559	2745	.02	7.11
MultiHPLT	v2	XLEnt	v1.1	13080716	2809447	1448	.01	.05
MultiHPLT	v2	XLEnt	v1	13080716	2809447	1448	.01	.05
MultiHPLT	v2	XLEnt	v1.2	13080716	2809447	1448	.01	.05
MultiHPLT	v2	TED2020	v1	13080716	51400	1567	.01	3.04
MultiHPLT	v2	GlobalVoices	v2018q4	13080716	6878	2398	.01	34.86
MultiHPLT	v2	OpenSubtitles	v2018	13080716	427132	707	0	.16
MultiHPLT	v2	OpenSubtitles	v2016	13080716	350371	606	0	.17
MultiHPLT	v2	KDE4	v2	13080716	143938	277	0	.19
MultiHPLT	v2	QED	v2.0a	13080716	69816	1206	0	1.72
MultiHPLT	v2	Ubuntu	v14.10	13080716	6780	24	0	.35
MultiHPLT	v2	Books	v1	13080716	4580	83	0	1.81
MultiHPLT	v2	EUbookshop	v2	13080716	3740	1	0	.02
MultiHPLT	v2	ELRC-5189-Catalan_WMT2013_Mach	v1	13080716	2999	1	0	.03
MultiHPLT	v2	GNOME	v1	13080716	2179	4	0	.18
MultiHPLT	v2	Tatoeba	v2023-04-12	13080716	1884	13	0	.69
MultiHPLT	v2	Tatoeba	v2022-03-03	13080716	1860	13	0	.69
MultiHPLT	v2	Tatoeba	v2021-07-22	13080716	1855	13	0	.70
MultiHPLT	v2	Tatoeba	v2021-03-10	13080716	1843	13	0	.70
MultiHPLT	v2	Tatoeba	v2020-11-09	13080716	1659	13	0	.78
MultiHPLT	v2	Tatoeba	v2020-05-31	13080716	1629	13	0	.79
MultiHPLT	v2	Tatoeba	v20190709	13080716	1626	13	0	.79
MultiHPLT	v2	ELRC-3040-wikipedia_health	v1	13080716	1532	119	0	7.76
MultiHPLT	v2	ELRC-wikipedia_health	v1	13080716	1532	119	0	7.76
MultiHPLT	v2	ELRC_2922	v1	13080716	1531	118	0	7.70
MultiHPLT	v2	ELRC-5190-Cyber_MT_Test	v1	13080716	1004	0	0	0
MultiHPLT	v2	Tatoeba	v2	13080716	972	8	0	.82
MultiHPLT	v2	tldr-pages	v2023-08-29	13080716	729	0	0	0
MultiHPLT	v2	ELRC-2638-monumentos_2007	v1	13080716	15	0	0	0
MultiHPLT	v2	ELRC-2614-Localidades_2007	v1	13080716	8	0	0	0
MultiHPLT	v2	ELRC-Localidades_2007	v1	13080716	8	0	0	0
MultiHPLT	v2	ELRC-2612-Artigos_visitportuga	v1	13080716	6	0	0	0
MultiHPLT	v2	ELRC-2616-Museus_2007	v1	13080716	6	0	0	0
MultiHPLT	v2	ELRC-Artigos_visitportuga	v1	13080716	6	0	0	0
MultiHPLT	v2	ELRC-Museus_2007	v1	13080716	6	0	0	0
MultiHPLT	v2	ELRC-2480-Estatuto_dos_Deputad	v1	13080716	2	0	0	0
MultiHPLT	v2	ELRC-2481-Constituio_da_Repbli	v1	13080716	2	0	0	0
