corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiHPLT	v2	HPLT	v2	2697581	2697581	2697581	100.00	100.00
MultiHPLT	v2	HPLT	v1.1	2697581	994747	193874	7.18	19.48
MultiHPLT	v2	HPLT	v1	2697581	994747	193874	7.18	19.48
MultiHPLT	v2	MultiHPLT	v1.1	2697581	994747	193874	7.18	19.48
MultiHPLT	v2	MultiHPLT	v1	2697581	994747	193874	7.18	19.48
MultiHPLT	v2	ParaCrawl	v9	2697581	3245616	175877	6.51	5.41
MultiHPLT	v2	MultiParaCrawl	v7.1	2697581	2694761	145581	5.39	5.40
MultiHPLT	v2	ParaCrawl	v7.1	2697581	2694760	144576	5.35	5.36
MultiHPLT	v2	NLLB	v1	2697581	22449470	128545	4.76	.57
MultiHPLT	v2	ParaCrawl	v8	2697581	1995648	111594	4.13	5.59
MultiHPLT	v2	ParaCrawl	v5	2697581	774937	35594	1.31	4.59
MultiHPLT	v2	ParaCrawl	v4	2697581	354264	16208	.60	4.57
MultiHPLT	v2	DGT	v2019	2697581	173204	4960	.18	2.86
MultiHPLT	v2	DGT	v4	2697581	38651	4782	.17	12.37
MultiHPLT	v2	EUbookshop	v2	2697581	91074	2420	.08	2.65
MultiHPLT	v2	wikimedia	v20230407	2697581	19361	320	.01	1.65
MultiHPLT	v2	ELRC-2442-_Chonradh_Ginearlta	v1	2697581	7563	280	.01	3.70
MultiHPLT	v2	EUconst	v1	2697581	6718	399	.01	5.93
MultiHPLT	v2	CCMatrix	v1	2697581	1074570	62	0	0
MultiHPLT	v2	XLEnt	v1.1	2697581	170416	0	0	0
MultiHPLT	v2	XLEnt	v1.2	2697581	170416	0	0	0
MultiHPLT	v2	XLEnt	v1	2697581	170416	0	0	0
MultiHPLT	v2	KDE4	v2	2697581	98693	35	0	.03
MultiHPLT	v2	ELRC-781-Gaois_legislation	v1	2697581	68272	4	0	0
MultiHPLT	v2	ELRA-W0223	v1	2697581	68271	4	0	0
MultiHPLT	v2	QED	v2.0a	2697581	17173	13	0	.07
MultiHPLT	v2	GNOME	v1	2697581	15602	8	0	.05
MultiHPLT	v2	wikimedia	v20210402	2697581	9931	208	0	2.09
MultiHPLT	v2	ELRC-2438-www.citizensinformat	v1	2697581	6690	12	0	.17
MultiHPLT	v2	ELRC-5060-A_mix_annual	v1	2697581	6588	4	0	.06
MultiHPLT	v2	ELRC-2443-LithrenGrasinOG	v1	2697581	3684	10	0	.27
MultiHPLT	v2	ELRC-2414-Tuarasclaca_Bliantla	v1	2697581	2954	0	0	0
MultiHPLT	v2	ELRC-2497-Tuarascil_Bhliantil_	v1	2697581	2645	1	0	.03
MultiHPLT	v2	ELRC-801-Coimisineir_Teanga_R	v1	2697581	2103	68	0	3.23
MultiHPLT	v2	ELRA-W0230	v1	2697581	2102	68	0	3.23
MultiHPLT	v2	ELRC-2441-_Chonradh_don	v1	2697581	1998	12	0	.60
MultiHPLT	v2	Tatoeba	v2023-04-12	2697581	1993	9	0	.45
MultiHPLT	v2	Tatoeba	v2022-03-03	2697581	1974	9	0	.45
MultiHPLT	v2	Tatoeba	v2021-07-22	2697581	1941	9	0	.46
