corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiParaCrawl	v5	ParaCrawl	v5	3145158	3145158	3145158	100.00	100.00
MultiParaCrawl	v5	MultiParaCrawl	v7.1	3145158	7005796	2038419	64.81	29.09
MultiParaCrawl	v5	ParaCrawl	v7.1	3145158	7005796	2038419	64.81	29.09
MultiParaCrawl	v5	ParaCrawl	v4	3145158	2270479	1947574	61.92	85.77
MultiParaCrawl	v5	MultiParaCrawl	v9	3145158	23564667	1230576	39.12	5.22
MultiParaCrawl	v5	MultiParaCrawl	v9b	3145158	23564667	1230576	39.12	5.22
MultiParaCrawl	v5	ParaCrawl	v9	3145158	23564667	1230576	39.12	5.22
MultiParaCrawl	v5	MultiParaCrawl	v8	3145158	12117133	1138537	36.19	9.39
MultiParaCrawl	v5	ParaCrawl	v8	3145158	12117133	1138537	36.19	9.39
MultiParaCrawl	v5	CCMatrix	v1	3145158	90112514	619866	19.70	.68
MultiParaCrawl	v5	NLLB	v1	3145158	89449785	618612	19.66	.69
MultiParaCrawl	v5	ParaCrawl	v1	3145158	607011	361055	11.47	59.48
MultiParaCrawl	v5	HPLT	v1	3145158	21528012	328517	10.44	1.52
MultiParaCrawl	v5	MultiHPLT	v1	3145158	21528012	328517	10.44	1.52
MultiParaCrawl	v5	MultiCCAligned	v1.1	3145158	9480576	235526	7.48	2.48
MultiParaCrawl	v5	MultiCCAligned	v1	3145158	9480576	235526	7.48	2.48
MultiParaCrawl	v5	CCAligned	v1	3145158	9480563	235526	7.48	2.48
MultiParaCrawl	v5	bible-uedin	v1	3145158	37625	28550	.90	75.88
MultiParaCrawl	v5	ELRC-4239-NTEU_TierA	v1	3145158	11858666	21225	.67	.17
MultiParaCrawl	v5	ELRC-4258-NTEU_TierA	v1	3145158	10765638	12399	.39	.11
MultiParaCrawl	v5	fiskmo	v2	3145158	1454348	11513	.36	.79
MultiParaCrawl	v5	ELRC-4249-NTEU_TierA	v1	3145158	10446434	9113	.28	.08
MultiParaCrawl	v5	TildeMODEL	v2018	3145158	3132334	8347	.26	.26
MultiParaCrawl	v5	OpenSubtitles	v2018	3145158	24490002	7997	.25	.03
