corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
MultiUN	v1	CCMatrix	v1	127300	245958729	2172	1.70	0
MultiUN	v1	NLLB	v1	127300	245954214	2172	1.70	0
MultiUN	v1	ParaCrawl	v9	127300	278310902	1026	.80	0
MultiUN	v1	ParaCrawl	v8	127300	261106742	762	.59	0
MultiUN	v1	DGT	v2019	127300	3598219	466	.36	.01
MultiUN	v1	MultiCCAligned	v1	127300	91967663	349	.27	0
MultiUN	v1	TildeMODEL	v2018	127300	4184303	322	.25	0
MultiUN	v1	DGT	v4	127300	1949796	305	.23	.01
MultiUN	v1	LinguaTools-WikiTitles	v2014	127300	15812874	201	.15	0
MultiUN	v1	CCAligned	v1	127300	15192790	203	.15	0
MultiUN	v1	EUbookshop	v2	127300	8268818	194	.15	0
MultiUN	v1	ParaCrawl	v1	127300	36203700	184	.14	0
MultiUN	v1	MultiParaCrawl	v7.1	127300	82638070	139	.10	0
MultiUN	v1	ParaCrawl	v7.1	127300	82638069	139	.10	0
MultiUN	v1	EUconst	v1	127300	6308	132	.10	2.09
MultiUN	v1	WikiTitles	v3	127300	1386531	119	.09	0
MultiUN	v1	JRC-Acquis	v3.0	127300	503393	121	.09	.02
MultiUN	v1	XLEnt	v1.1	127300	3802840	91	.07	0
MultiUN	v1	XLEnt	v1	127300	3802840	91	.07	0
MultiUN	v1	XLEnt	v1.2	127300	3802840	91	.07	0
MultiUN	v1	KDE4	v2	127300	187849	54	.04	.02
MultiUN	v1	wikimedia	v20230407	127300	161399	51	.04	.03
MultiUN	v1	ParaCrawl	v5	127300	36657324	46	.03	0
MultiUN	v1	ParaCrawl	v4	127300	16173851	49	.03	0
MultiUN	v1	ELRC-2714-EMEA	v1	127300	752887	49	.03	0
MultiUN	v1	ELRC-EMEA	v1	127300	752887	49	.03	0
MultiUN	v1	ELRC_2682	v1	127300	620450	45	.03	0
MultiUN	v1	ECB	v1	127300	113033	44	.03	.03
MultiUN	v1	wikimedia	v20210402	127300	103209	39	.03	.03
MultiUN	v1	EMEA	v3	127300	357190	31	.02	0
