corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
NLLB	v1	GNOME	v1	711668	1339	0	0	0
NLLB	v1	TED2020	v1	711668	946	1	0	.10
NLLB	v1	Ubuntu	v14.10	711668	450	0	0	0
NLLB	v1	QED	v2.0a	711668	152	0	0	0
NLLB	v1	wikimedia	v20230407	711668	43	0	0	0
NLLB	v1	Tatoeba	v2020-11-09	711668	39	0	0	0
NLLB	v1	Tatoeba	v2021-03-10	711668	39	0	0	0
NLLB	v1	Tatoeba	v2021-07-22	711668	39	0	0	0
NLLB	v1	Tatoeba	v2022-03-03	711668	39	0	0	0
NLLB	v1	Tatoeba	v2023-04-12	711668	39	0	0	0
NLLB	v1	Tatoeba	v20190709	711668	38	0	0	0
NLLB	v1	Tatoeba	v2020-05-31	711668	38	0	0	0
NLLB	v1	wikimedia	v20210402	711668	27	0	0	0
NLLB	v1	wikimedia	v20190628	711668	8	0	0	0
