corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
NLLB	v1	bible-uedin	v1	14673343	61548	1709	.01	2.77
NLLB	v1	CCMatrix	v1	14673343	960319	616	0	.06
NLLB	v1	XLEnt	v1.1	14673343	205430	2	0	0
NLLB	v1	XLEnt	v1	14673343	205430	2	0	0
NLLB	v1	XLEnt	v1.2	14673343	205430	2	0	0
NLLB	v1	WikiMatrix	v1	14673343	29062	148	0	.50
NLLB	v1	wikimedia	v20230407	14673343	2983	171	0	5.73
NLLB	v1	wikimedia	v20210402	14673343	2735	171	0	6.25
NLLB	v1	QED	v2.0a	14673343	514	2	0	.38
NLLB	v1	Tatoeba	v2023-04-12	14673343	424	18	0	4.24
NLLB	v1	Tatoeba	v2022-03-03	14673343	379	18	0	4.74
NLLB	v1	Tatoeba	v2020-11-09	14673343	378	18	0	4.76
NLLB	v1	Tatoeba	v2021-03-10	14673343	378	18	0	4.76
NLLB	v1	Tatoeba	v2021-07-22	14673343	378	18	0	4.76
NLLB	v1	Tatoeba	v2020-05-31	14673343	377	18	0	4.77
NLLB	v1	Tatoeba	v20190709	14673343	372	18	0	4.83
NLLB	v1	Ubuntu	v14.10	14673343	254	3	0	1.18
NLLB	v1	TED2020	v1	14673343	99	0	0	0
