corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
NLLB	v1	CCMatrix	v1	13095689	13095932	13094281	99.98	99.98
NLLB	v1	WikiMatrix	v1	13095689	446151	142911	1.09	32.03
NLLB	v1	XLEnt	v1.1	13095689	1632238	1452	.01	.08
NLLB	v1	XLEnt	v1	13095689	1632238	1452	.01	.08
NLLB	v1	XLEnt	v1.2	13095689	1632238	1452	.01	.08
NLLB	v1	wikimedia	v20230407	13095689	58813	2053	.01	3.49
NLLB	v1	wikimedia	v20210402	13095689	28592	2049	.01	7.16
NLLB	v1	OpenSubtitles	v2018	13095689	190387	71	0	.03
NLLB	v1	KDE4	v2	13095689	148508	28	0	.01
NLLB	v1	OpenSubtitles	v2016	13095689	145223	58	0	.03
NLLB	v1	QED	v2.0a	13095689	34003	309	0	.90
NLLB	v1	TED2020	v1	13095689	33573	420	0	1.25
NLLB	v1	NeuLab-TedTalks	v1	13095689	11095	222	0	2.00
NLLB	v1	Ubuntu	v14.10	13095689	8172	2	0	.02
NLLB	v1	GNOME	v1	13095689	1610	0	0	0
NLLB	v1	Tatoeba	v2023-04-12	13095689	1022	2	0	.19
NLLB	v1	Tatoeba	v2021-03-10	13095689	1018	2	0	.19
NLLB	v1	Tatoeba	v2021-07-22	13095689	1018	2	0	.19
NLLB	v1	Tatoeba	v2022-03-03	13095689	1018	2	0	.19
NLLB	v1	Tatoeba	v2020-11-09	13095689	1011	2	0	.19
NLLB	v1	Tatoeba	v20190709	13095689	1007	2	0	.19
NLLB	v1	Tatoeba	v2020-05-31	13095689	1007	2	0	.19
NLLB	v1	ELRC-3053-wikipedia_health	v1	13095689	958	151	0	15.76
NLLB	v1	ELRC-wikipedia_health	v1	13095689	958	151	0	15.76
NLLB	v1	ELRC_2922	v1	13095689	957	151	0	15.77
NLLB	v1	Tatoeba	v2	13095689	800	0	0	0
