corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
NLLB	v1	CCMatrix	v1	2326323	1721265	11995	.51	.69
NLLB	v1	GlobalVoices	v2018q4	2326323	343853	7220	.31	2.09
NLLB	v1	GlobalVoices	v2017q3	2326323	277873	5678	.24	2.04
NLLB	v1	GlobalVoices	v2015	2326323	201175	3926	.16	1.95
NLLB	v1	MultiCCAligned	v1	2326323	378831	1912	.08	.50
NLLB	v1	CCAligned	v1	2326323	378824	1912	.08	.50
NLLB	v1	XLEnt	v1.1	2326323	310769	4	0	0
NLLB	v1	XLEnt	v1.2	2326323	310769	4	0	0
NLLB	v1	XLEnt	v1	2326323	310769	4	0	0
NLLB	v1	GNOME	v1	2326323	19038	0	0	0
NLLB	v1	WikiMatrix	v1	2326323	13960	55	0	.39
NLLB	v1	Ubuntu	v14.10	2326323	8445	0	0	0
NLLB	v1	wikimedia	v20230407	2326323	538	6	0	1.11
NLLB	v1	wikimedia	v20210402	2326323	482	6	0	1.24
NLLB	v1	TED2020	v1	2326323	366	2	0	.54
NLLB	v1	Tatoeba	v2020-11-09	2326323	52	0	0	0
NLLB	v1	Tatoeba	v2021-03-10	2326323	52	0	0	0
NLLB	v1	Tatoeba	v2021-07-22	2326323	52	0	0	0
NLLB	v1	Tatoeba	v2022-03-03	2326323	52	0	0	0
NLLB	v1	Tatoeba	v2023-04-12	2326323	52	0	0	0
NLLB	v1	Tatoeba	v20190709	2326323	51	0	0	0
NLLB	v1	Tatoeba	v2020-05-31	2326323	51	0	0	0
NLLB	v1	Tatoeba	v2	2326323	19	0	0	0
