corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
NLLB	v1	CCMatrix	v1	25242795	6053255	144178	.57	2.38
NLLB	v1	HPLT	v2	25242795	1399893	27370	.10	1.95
NLLB	v1	MultiHPLT	v2	25242795	1399893	27370	.10	1.95
NLLB	v1	MultiCCAligned	v1	25242795	1365314	25353	.10	1.85
NLLB	v1	CCAligned	v1	25242795	1365289	25353	.10	1.85
NLLB	v1	Tanzil	v1	25242795	736126	243	0	.03
NLLB	v1	XLEnt	v1.1	25242795	730332	140	0	.01
NLLB	v1	XLEnt	v1.2	25242795	730332	140	0	.01
NLLB	v1	XLEnt	v1	25242795	730332	140	0	.01
NLLB	v1	Anuvaad	v1	25242795	160565	653	0	.40
NLLB	v1	wikimedia	v20230407	25242795	87066	582	0	.66
NLLB	v1	wikimedia	v20210402	25242795	41018	569	0	1.38
NLLB	v1	Joshua-IPC	v1	25242795	32076	7	0	.02
NLLB	v1	OpenSubtitles	v2018	25242795	26235	6	0	.02
NLLB	v1	QED	v2.0a	25242795	18508	93	0	.50
NLLB	v1	TED2020	v1	25242795	15331	137	0	.89
NLLB	v1	OpenSubtitles	v2016	25242795	13164	3	0	.02
NLLB	v1	pmindia	v1	25242795	11166	75	0	.67
NLLB	v1	NeuLab-TedTalks	v1	25242795	6426	38	0	.59
NLLB	v1	GlobalVoices	v2018q4	25242795	3860	199	0	5.15
NLLB	v1	GlobalVoices	v2017q3	25242795	3547	172	0	4.84
NLLB	v1	tico-19	v2020-10-28	25242795	3070	3	0	.09
NLLB	v1	GNOME	v1	25242795	2744	3	0	.10
NLLB	v1	GlobalVoices	v2015	25242795	2647	119	0	4.49
NLLB	v1	Ubuntu	v14.10	25242795	2584	8	0	.30
NLLB	v1	Tatoeba	v2023-04-12	25242795	1667	40	0	2.39
NLLB	v1	Tatoeba	v2021-03-10	25242795	1665	40	0	2.40
NLLB	v1	Tatoeba	v2021-07-22	25242795	1665	40	0	2.40
NLLB	v1	Tatoeba	v2022-03-03	25242795	1665	40	0	2.40
NLLB	v1	Tatoeba	v2020-11-09	25242795	1664	40	0	2.40
NLLB	v1	Tatoeba	v2020-05-31	25242795	1663	40	0	2.40
NLLB	v1	Tatoeba	v20190709	25242795	1662	40	0	2.40
NLLB	v1	Tatoeba	v2	25242795	1273	35	0	2.74
