corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
NeuLab-TedTalks	v1	TED2020	v1	5085	10538	3490	68.63	33.11
NeuLab-TedTalks	v1	QED	v2.0a	5085	21072	867	17.05	4.11
NeuLab-TedTalks	v1	HPLT	v2	5085	3140950	236	4.64	0
NeuLab-TedTalks	v1	MultiHPLT	v2	5085	3140950	236	4.64	0
NeuLab-TedTalks	v1	NLLB	v1	5085	44464569	45	.88	0
NeuLab-TedTalks	v1	CCMatrix	v1	5085	1881148	4	.07	0
NeuLab-TedTalks	v1	MultiCCAligned	v1	5085	1120720	3	.05	0
NeuLab-TedTalks	v1	CCAligned	v1	5085	1120704	3	.05	0
NeuLab-TedTalks	v1	Tatoeba	v2023-04-12	5085	6939	3	.05	.04
NeuLab-TedTalks	v1	Tatoeba	v2021-07-22	5085	6765	3	.05	.04
NeuLab-TedTalks	v1	Tatoeba	v2022-03-03	5085	6765	3	.05	.04
NeuLab-TedTalks	v1	Tatoeba	v2021-03-10	5085	6761	3	.05	.04
NeuLab-TedTalks	v1	Tatoeba	v2020-11-09	5085	6759	3	.05	.04
NeuLab-TedTalks	v1	Tatoeba	v2020-05-31	5085	6751	2	.03	.02
NeuLab-TedTalks	v1	Tatoeba	v20190709	5085	6673	2	.03	.02
NeuLab-TedTalks	v1	XLEnt	v1.1	5085	566786	1	.01	0
NeuLab-TedTalks	v1	XLEnt	v1.2	5085	566786	1	.01	0
NeuLab-TedTalks	v1	XLEnt	v1	5085	566786	1	.01	0
NeuLab-TedTalks	v1	WikiMatrix	v1	5085	33928	1	.01	0
NeuLab-TedTalks	v1	wikimedia	v20230407	5085	20905	1	.01	0
NeuLab-TedTalks	v1	wikimedia	v20210402	5085	9785	1	.01	.01
NeuLab-TedTalks	v1	ELRC-3046-wikipedia_health	v1	5085	203	1	.01	.49
NeuLab-TedTalks	v1	ELRC-wikipedia_health	v1	5085	203	1	.01	.49
NeuLab-TedTalks	v1	KDE4	v2	5085	74958	0	0	0
NeuLab-TedTalks	v1	Tatoeba	v2	5085	2687	0	0	0
NeuLab-TedTalks	v1	Ubuntu	v14.10	5085	2431	0	0	0
NeuLab-TedTalks	v1	ELRC_2922	v1	5085	202	0	0	0
NeuLab-TedTalks	v1	GNOME	v1	5085	149	0	0	0
NeuLab-TedTalks	v1	EUbookshop	v2	5085	5	0	0	0
