corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
NeuLab-TedTalks	v1	TED2020	v1	213706	358167	169949	79.52	47.44
NeuLab-TedTalks	v1	CCMatrix	v1	213706	40319646	8430	3.94	.02
NeuLab-TedTalks	v1	NLLB	v1	213706	40318727	8430	3.94	.02
NeuLab-TedTalks	v1	JESC	v2019-12-05	213706	2794913	249	.11	0
NeuLab-TedTalks	v1	OpenSubtitles	v2018	213706	1917056	241	.11	.01
NeuLab-TedTalks	v1	OpenSubtitles	v2016	213706	1420102	209	.09	.01
NeuLab-TedTalks	v1	QED	v2.0a	213706	491569	187	.08	.03
NeuLab-TedTalks	v1	MultiCCAligned	v1	213706	25892129	27	.01	0
NeuLab-TedTalks	v1	CCAligned	v1	213706	14819515	26	.01	0
NeuLab-TedTalks	v1	JParaCrawl	v3.0	213706	21626824	6	0	0
NeuLab-TedTalks	v1	HPLT	v2	213706	18894014	1	0	0
NeuLab-TedTalks	v1	LinguaTools-WikiTitles	v2014	213706	7374389	3	0	0
NeuLab-TedTalks	v1	XLEnt	v1.1	213706	6082819	1	0	0
NeuLab-TedTalks	v1	XLEnt	v1	213706	6082819	1	0	0
NeuLab-TedTalks	v1	XLEnt	v1.2	213706	6082819	1	0	0
NeuLab-TedTalks	v1	WikiMatrix	v1	213706	851707	1	0	0
NeuLab-TedTalks	v1	WikiTitles	v3	213706	713735	1	0	0
NeuLab-TedTalks	v1	KFTT	v1.0	213706	428858	1	0	0
NeuLab-TedTalks	v1	wikimedia	v20230407	213706	260305	1	0	0
NeuLab-TedTalks	v1	Tatoeba	v2023-04-12	213706	215594	9	0	0
NeuLab-TedTalks	v1	Tatoeba	v2022-03-03	213706	211435	9	0	0
NeuLab-TedTalks	v1	Tatoeba	v2021-07-22	213706	208638	9	0	0
NeuLab-TedTalks	v1	Tatoeba	v2021-03-10	213706	206722	9	0	0
NeuLab-TedTalks	v1	Tatoeba	v2020-11-09	213706	204759	9	0	0
NeuLab-TedTalks	v1	Tatoeba	v2020-05-31	213706	203465	8	0	0
NeuLab-TedTalks	v1	Tatoeba	v20190709	213706	202150	8	0	0
NeuLab-TedTalks	v1	Tatoeba	v2	213706	185593	6	0	0
NeuLab-TedTalks	v1	wikimedia	v20210402	213706	155843	1	0	0
NeuLab-TedTalks	v1	KDE4	v2	213706	114199	0	0	0
NeuLab-TedTalks	v1	Tanzil	v1	213706	92203	0	0	0
NeuLab-TedTalks	v1	MDN_Web_Docs	v2023-09-25	213706	86246	1	0	0
NeuLab-TedTalks	v1	ALT	v2019	213706	18086	1	0	0
NeuLab-TedTalks	v1	PHP	v1	213706	12017	0	0	0
NeuLab-TedTalks	v1	OpenSubtitles	v1	213706	5581	7	0	.12
NeuLab-TedTalks	v1	Ubuntu	v14.10	213706	4913	0	0	0
NeuLab-TedTalks	v1	News-Commentary	v14	213706	638	1	0	.15
NeuLab-TedTalks	v1	News-Commentary	v16	213706	638	1	0	.15
NeuLab-TedTalks	v1	News-Commentary	v11	213706	637	0	0	0
NeuLab-TedTalks	v1	News-Commentary	v9.0	213706	637	0	0	0
NeuLab-TedTalks	v1	News-Commentary	v9.1	213706	637	0	0	0
NeuLab-TedTalks	v1	tldr-pages	v2023-08-29	213706	600	1	0	.16
NeuLab-TedTalks	v1	EUbookshop	v2	213706	96	0	0	0
NeuLab-TedTalks	v1	GNOME	v1	213706	50	0	0	0
