corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
NeuLab-TedTalks	v1	TED2020	v1	11579	56857	7946	68.62	13.97
NeuLab-TedTalks	v1	QED	v2.0a	11579	1294	70	.60	5.40
NeuLab-TedTalks	v1	CCAligned	v1	11579	137540	1	0	0
NeuLab-TedTalks	v1	Tanzil	v1	11579	92343	0	0	0
NeuLab-TedTalks	v1	KDE4	v2	11579	20547	0	0	0
NeuLab-TedTalks	v1	GNOME	v1	11579	12046	0	0	0
NeuLab-TedTalks	v1	Bianet	v1	11579	6047	0	0	0
NeuLab-TedTalks	v1	wikimedia	v20210402	11579	3535	1	0	.02
NeuLab-TedTalks	v1	tico-19	v2020-10-28	11579	3070	0	0	0
NeuLab-TedTalks	v1	Ubuntu	v14.10	11579	2014	0	0	0
NeuLab-TedTalks	v1	Tatoeba	v2020-11-09	11579	299	1	0	.33
NeuLab-TedTalks	v1	Tatoeba	v2021-03-10	11579	299	1	0	.33
NeuLab-TedTalks	v1	Tatoeba	v2021-07-22	11579	299	1	0	.33
NeuLab-TedTalks	v1	Tatoeba	v2022-03-03	11579	299	1	0	.33
NeuLab-TedTalks	v1	Tatoeba	v2020-05-31	11579	296	0	0	0
NeuLab-TedTalks	v1	wikimedia	v20190628	11579	186	0	0	0
NeuLab-TedTalks	v1	Tatoeba	v20190709	11579	109	0	0	0
NeuLab-TedTalks	v1	Tatoeba	v2	11579	43	0	0	0
NeuLab-TedTalks	v1	GlobalVoices	v2018q4	11579	33	1	0	3.03
