corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
NeuLab-TedTalks	v1	TED2020	v1	191770	320760	144894	75.55	45.17
NeuLab-TedTalks	v1	TED2013	v1.1	191770	157384	95082	49.58	60.41
NeuLab-TedTalks	v1	QED	v2.0a	191770	412194	94003	49.01	22.80
NeuLab-TedTalks	v1	CCMatrix	v1	191770	55211939	7511	3.91	.01
NeuLab-TedTalks	v1	ParaCrawl	v9	191770	25048458	4635	2.41	.01
NeuLab-TedTalks	v1	OpenSubtitles	v2018	191770	39424613	1515	.79	0
NeuLab-TedTalks	v1	CCAligned	v1	191770	10462991	1417	.73	.01
NeuLab-TedTalks	v1	OpenSubtitles	v1	191770	253380	263	.13	.10
NeuLab-TedTalks	v1	Europarl	v8	191770	386478	59	.03	.01
NeuLab-TedTalks	v1	Tatoeba	v2022-03-03	191770	15250	29	.01	.19
NeuLab-TedTalks	v1	Tatoeba	v2021-07-22	191770	15159	29	.01	.19
NeuLab-TedTalks	v1	Tatoeba	v2021-03-10	191770	15138	29	.01	.19
NeuLab-TedTalks	v1	Tatoeba	v2020-11-09	191770	15071	29	.01	.19
NeuLab-TedTalks	v1	Tatoeba	v2020-05-31	191770	14610	28	.01	.19
NeuLab-TedTalks	v1	Tatoeba	v20190709	191770	14274	28	.01	.19
NeuLab-TedTalks	v1	LinguaTools-WikiTitles	v2014	191770	3330895	2	0	0
NeuLab-TedTalks	v1	XLEnt	v1.1	191770	3120821	1	0	0
NeuLab-TedTalks	v1	XLEnt	v1	191770	3120821	1	0	0
NeuLab-TedTalks	v1	XLEnt	v1.2	191770	3120821	1	0	0
NeuLab-TedTalks	v1	DGT	v2019	191770	2753976	4	0	0
NeuLab-TedTalks	v1	TildeMODEL	v2018	191770	1895503	18	0	0
NeuLab-TedTalks	v1	ELRC-2728-EMEA	v1	191770	777379	4	0	0
NeuLab-TedTalks	v1	ELRC-EMEA	v1	191770	777379	4	0	0
NeuLab-TedTalks	v1	WikiMatrix	v1	191770	631486	8	0	0
NeuLab-TedTalks	v1	Wikipedia	v1.0	191770	355116	7	0	0
NeuLab-TedTalks	v1	EMEA	v3	191770	316762	3	0	0
NeuLab-TedTalks	v1	JRC-Acquis	v3.0	191770	314553	0	0	0
NeuLab-TedTalks	v1	EUbookshop	v2	191770	278716	2	0	0
NeuLab-TedTalks	v1	wikimedia	v20210402	191770	227392	5	0	0
NeuLab-TedTalks	v1	SETIMES	v2	191770	211067	7	0	0
NeuLab-TedTalks	v1	SETIMES	v1	191770	171661	3	0	0
NeuLab-TedTalks	v1	ELRC-492-Romanian_Wikipedia	v1	191770	132217	1	0	0
NeuLab-TedTalks	v1	ELRA-W0193	v1	191770	132216	0	0	0
NeuLab-TedTalks	v1	Tanzil	v1	191770	131605	1	0	0
NeuLab-TedTalks	v1	KDE4	v2	191770	99100	4	0	0
NeuLab-TedTalks	v1	ELRC-493-Romanian_news	v1	191770	98099	1	0	0
NeuLab-TedTalks	v1	ELRA-W0194	v1	191770	98098	0	0	0
NeuLab-TedTalks	v1	ELITR-ECA	v1	191770	81205	1	0	0
NeuLab-TedTalks	v1	bible-uedin	v1	191770	61580	0	0	0
NeuLab-TedTalks	v1	ELRC-3577-EUR_LEX_covid	v1	191770	23170	1	0	0
NeuLab-TedTalks	v1	ELRC-EUR_LEX	v1	191770	23170	1	0	0
NeuLab-TedTalks	v1	ELRC-1177-EUIPO_2017	v1	191770	20296	1	0	0
NeuLab-TedTalks	v1	ELRC-EUIPO_2017	v1	191770	20296	1	0	0
NeuLab-TedTalks	v1	ELRC-2887-EU_publications_medi	v1	191770	13150	2	0	.01
NeuLab-TedTalks	v1	ELRC-EU_publications	v1	191770	13150	2	0	.01
NeuLab-TedTalks	v1	ELRC-930-studies_reports_stat	v1	191770	12026	1	0	0
NeuLab-TedTalks	v1	ELRA-W0270	v1	191770	12025	0	0	0
NeuLab-TedTalks	v1	Ubuntu	v14.10	191770	7912	0	0	0
NeuLab-TedTalks	v1	ELRC-3618-presscorner_covid	v1	191770	6713	2	0	.02
NeuLab-TedTalks	v1	ELRC-presscorner_covid	v1	191770	6713	2	0	.02
NeuLab-TedTalks	v1	ELRC-435-Romanian_New_Crimina	v1	191770	6231	1	0	.01
NeuLab-TedTalks	v1	ELRA-W0170	v1	191770	6230	0	0	0
NeuLab-TedTalks	v1	ELRC-491-Romanian_literature	v1	191770	5281	4	0	.07
NeuLab-TedTalks	v1	ELRA-W0192	v1	191770	5280	3	0	.05
NeuLab-TedTalks	v1	ELRC-1819-EIR	v1	191770	4991	1	0	.02
NeuLab-TedTalks	v1	GNOME	v1	191770	4306	0	0	0
NeuLab-TedTalks	v1	GlobalVoices	v2018q4	191770	4265	3	0	.07
NeuLab-TedTalks	v1	ELRC-1992-Rural_Development_Pr	v1	191770	4186	1	0	.02
NeuLab-TedTalks	v1	ELRC-Rural_Development	v1	191770	4186	1	0	.02
NeuLab-TedTalks	v1	WMT-News	v2019	191770	3998	1	0	.02
NeuLab-TedTalks	v1	ELRC-654-Romanian_Ombudsman_a	v1	191770	3930	1	0	.02
NeuLab-TedTalks	v1	ELRA-W0206	v1	191770	3929	0	0	0
NeuLab-TedTalks	v1	ELRC-1815-EIR_Newsletter	v1	191770	3787	2	0	.05
NeuLab-TedTalks	v1	PHP	v1	191770	3718	0	0	0
NeuLab-TedTalks	v1	ELRC_3382	v1	191770	3674	1	0	.02
NeuLab-TedTalks	v1	GlobalVoices	v2017q3	191770	3589	2	0	.05
NeuLab-TedTalks	v1	Tatoeba	v2	191770	3535	8	0	.22
NeuLab-TedTalks	v1	ELRC-1814-EIR_SPOS	v1	191770	3247	1	0	.03
NeuLab-TedTalks	v1	GlobalVoices	v2015	191770	2573	2	0	.07
NeuLab-TedTalks	v1	ECDC	v2016-03-16	191770	2467	1	0	.04
NeuLab-TedTalks	v1	ELRC-3476-EC_EUROPA_covid	v1	191770	2338	1	0	.04
NeuLab-TedTalks	v1	ELRC-EC_EUROPA	v1	191770	2338	1	0	.04
NeuLab-TedTalks	v1	ELRC-3216-antibiotic	v1	191770	1033	1	0	.09
NeuLab-TedTalks	v1	ELRC-antibiotic	v1	191770	1033	1	0	.09
NeuLab-TedTalks	v1	ELRC-3087-wikipedia_health	v1	191770	693	1	0	.14
NeuLab-TedTalks	v1	ELRC-wikipedia_health	v1	191770	693	1	0	.14
NeuLab-TedTalks	v1	ELRC_2922	v1	191770	692	0	0	0
NeuLab-TedTalks	v1	ELRC-3305-EUROPARL_covid	v1	191770	546	2	0	.36
NeuLab-TedTalks	v1	ELRC-EUROPARL_covid	v1	191770	546	2	0	.36
NeuLab-TedTalks	v1	ELRC-2750-vaccination	v1	191770	496	1	0	.20
NeuLab-TedTalks	v1	ELRC-vaccination	v1	191770	496	1	0	.20
NeuLab-TedTalks	v1	ELRC_2923	v1	191770	319	0	0	0
NeuLab-TedTalks	v1	ELRA-W0308	v1	191770	89	0	0	0
NeuLab-TedTalks	v1	ELRC-648-Letter_rights_person	v1	191770	77	1	0	1.29
NeuLab-TedTalks	v1	ELRC-403-Rights_Arrested	v1	191770	24	1	0	4.16
NeuLab-TedTalks	v1	ELRA-W0301	v1	191770	21	0	0	0
NeuLab-TedTalks	v1	ELRC-417-Swedish_Work_Environ	v1	191770	8	1	0	12.50
