corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
NeuLab-TedTalks	v1	TED2020	v1	191216	368571	148445	77.63	40.27
NeuLab-TedTalks	v1	TED2013	v1.1	191216	136068	81794	42.77	60.11
NeuLab-TedTalks	v1	QED	v2.0a	191216	454090	80556	42.12	17.74
NeuLab-TedTalks	v1	CCMatrix	v1	191216	46757033	4266	2.23	0
NeuLab-TedTalks	v1	OpenSubtitles	v2018	191216	35657527	1463	.76	0
NeuLab-TedTalks	v1	CCAligned	v1	191216	13511958	1215	.63	0
NeuLab-TedTalks	v1	OpenSubtitles	v1	191216	193626	260	.13	.13
NeuLab-TedTalks	v1	Tatoeba	v2022-03-03	191216	674238	190	.09	.02
NeuLab-TedTalks	v1	Tatoeba	v2021-07-22	191216	672102	190	.09	.02
NeuLab-TedTalks	v1	Tatoeba	v2021-03-10	191216	669921	190	.09	.02
NeuLab-TedTalks	v1	Tatoeba	v2020-11-09	191216	668189	190	.09	.02
NeuLab-TedTalks	v1	Tatoeba	v2020-05-31	191216	666781	189	.09	.02
NeuLab-TedTalks	v1	Tatoeba	v20190709	191216	659717	189	.09	.02
NeuLab-TedTalks	v1	Tatoeba	v2	191216	156220	99	.05	.06
NeuLab-TedTalks	v1	LinguaTools-WikiTitles	v2014	191216	3757493	1	0	0
NeuLab-TedTalks	v1	XLEnt	v1.1	191216	3624602	1	0	0
NeuLab-TedTalks	v1	XLEnt	v1	191216	3624602	1	0	0
NeuLab-TedTalks	v1	XLEnt	v1.2	191216	3624602	1	0	0
NeuLab-TedTalks	v1	Tanzil	v1	191216	1145312	0	0	0
NeuLab-TedTalks	v1	GoURMET	v1	191216	778173	19	0	0
NeuLab-TedTalks	v1	WikiMatrix	v1	191216	477736	6	0	0
NeuLab-TedTalks	v1	wikimedia	v20210402	191216	278474	5	0	0
NeuLab-TedTalks	v1	SETIMES	v2	191216	205750	5	0	0
NeuLab-TedTalks	v1	SETIMES	v1	191216	165712	0	0	0
NeuLab-TedTalks	v1	Wikipedia	v1.0	191216	157248	5	0	0
NeuLab-TedTalks	v1	KDE4	v2	191216	130514	3	0	0
NeuLab-TedTalks	v1	bible-uedin	v1	191216	59699	0	0	0
NeuLab-TedTalks	v1	Bianet	v1	191216	31734	1	0	0
NeuLab-TedTalks	v1	EUbookshop	v2	191216	22034	1	0	0
NeuLab-TedTalks	v1	infopankki	v1	191216	13164	2	0	.01
NeuLab-TedTalks	v1	WMT-News	v2019	191216	10007	11	0	.10
NeuLab-TedTalks	v1	PHP	v1	191216	9057	1	0	.01
NeuLab-TedTalks	v1	GlobalVoices	v2018q4	191216	7479	4	0	.05
NeuLab-TedTalks	v1	Ubuntu	v14.10	191216	7285	0	0	0
NeuLab-TedTalks	v1	GlobalVoices	v2017q3	191216	5465	2	0	.03
NeuLab-TedTalks	v1	GlobalVoices	v2015	191216	3925	0	0	0
NeuLab-TedTalks	v1	ELRC-3057-wikipedia_health	v1	191216	2368	1	0	.04
NeuLab-TedTalks	v1	ELRC-wikipedia_health	v1	191216	2368	1	0	.04
NeuLab-TedTalks	v1	ELRC_2922	v1	191216	2367	0	0	0
NeuLab-TedTalks	v1	TildeMODEL	v2018	191216	1584	1	0	.06
NeuLab-TedTalks	v1	GNOME	v1	191216	149	0	0	0
