corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
News-Commentary	v11	News-Commentary	v16	978	1064	942	96.31	88.53
News-Commentary	v11	News-Commentary	v14	978	978	942	96.31	96.31
News-Commentary	v11	News-Commentary	v9.0	978	677	677	69.22	100.00
News-Commentary	v11	News-Commentary	v9.1	978	677	677	69.22	100.00
News-Commentary	v11	CCMatrix	v1	978	148110109	61	6.23	0
News-Commentary	v11	NLLB	v1	978	148109607	61	6.23	0
News-Commentary	v11	MultiCCAligned	v1.1	978	21416605	2	.20	0
News-Commentary	v11	MultiCCAligned	v1	978	21416605	2	.20	0
News-Commentary	v11	CCAligned	v1	978	21416601	2	.20	0
News-Commentary	v11	JParaCrawl	v3.0	978	20891161	1	.10	0
News-Commentary	v11	XLEnt	v1.1	978	4998401	1	.10	0
News-Commentary	v11	XLEnt	v1.2	978	4998401	1	.10	0
News-Commentary	v11	XLEnt	v1	978	4998401	1	.10	0
News-Commentary	v11	JESC	v2019-12-05	978	2452879	1	.10	0
News-Commentary	v11	OpenSubtitles	v2018	978	2182897	1	.10	0
News-Commentary	v11	OpenSubtitles	v2016	978	1644301	1	.10	0
News-Commentary	v11	LinguaTools-WikiTitles	v2014	978	1036385	1	.10	0
News-Commentary	v11	WikiTitles	v3	978	680582	1	.10	0
News-Commentary	v11	OpenSubtitles	v2012	978	314267	1	.10	0
News-Commentary	v11	WikiMatrix	v1	978	13947997	0	0	0
News-Commentary	v11	QED	v2.0a	978	916537	0	0	0
News-Commentary	v11	KFTT	v1.0	978	420956	0	0	0
News-Commentary	v11	OpenSubtitles	v2013	978	413936	0	0	0
News-Commentary	v11	wikimedia	v20230407	978	401267	0	0	0
News-Commentary	v11	TED2020	v1	978	356086	0	0	0
News-Commentary	v11	wikimedia	v20210402	978	262143	0	0	0
News-Commentary	v11	Tatoeba	v2023-04-12	978	243187	0	0	0
News-Commentary	v11	Tatoeba	v2022-03-03	978	223161	0	0	0
News-Commentary	v11	Tatoeba	v2021-07-22	978	214515	0	0	0
News-Commentary	v11	NeuLab-TedTalks	v1	978	212489	0	0	0
News-Commentary	v11	Tatoeba	v2021-03-10	978	207594	0	0	0
News-Commentary	v11	Tatoeba	v2020-11-09	978	201078	0	0	0
News-Commentary	v11	Tatoeba	v2020-05-31	978	193826	0	0	0
News-Commentary	v11	Tatoeba	v20190709	978	187030	0	0	0
News-Commentary	v11	Tatoeba	v2	978	175598	0	0	0
News-Commentary	v11	KDE4	v2	978	100210	0	0	0
News-Commentary	v11	OpenOffice	v3	978	42638	0	0	0
News-Commentary	v11	Mozilla-I10n	v1	978	31514	0	0	0
News-Commentary	v11	OpenSubtitles	v1	978	15183	0	0	0
News-Commentary	v11	Tanzil	v1	978	6168	0	0	0
News-Commentary	v11	wikimedia	v20190628	978	2752	0	0	0
News-Commentary	v11	GNOME	v1	978	1182	0	0	0
News-Commentary	v11	tldr-pages	v2023-08-29	978	623	0	0	0
News-Commentary	v11	KDEdoc	v1	978	183	0	0	0
News-Commentary	v11	EUbookshop	v2	978	138	0	0	0
News-Commentary	v11	Ubuntu	v14.10	978	45	0	0	0
News-Commentary	v11	MDN_Web_Docs	v2023-09-25	978	27	0	0	0
