corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
News-Commentary	v16	News-Commentary	v14	180978	152321	152192	84.09	99.91
News-Commentary	v16	News-Commentary	v11	180978	96938	87765	48.49	90.53
News-Commentary	v16	News-Commentary	v9.0	180978	238454	26862	14.84	11.26
News-Commentary	v16	News-Commentary	v9.1	180978	238454	26862	14.84	11.26
News-Commentary	v16	NLLB	v1	180978	108885565	10097	5.57	0
News-Commentary	v16	CCMatrix	v1	180978	99406364	10032	5.54	.01
News-Commentary	v16	HPLT	v1	180978	12156293	502	.27	0
News-Commentary	v16	MultiHPLT	v1	180978	12156293	502	.27	0
News-Commentary	v16	MultiCCAligned	v1.1	180978	20839614	199	.10	0
News-Commentary	v16	MultiCCAligned	v1	180978	20839614	199	.10	0
News-Commentary	v16	CCAligned	v1	180978	20839612	199	.10	0
News-Commentary	v16	OpenSubtitles	v2018	180978	36435964	172	.09	0
News-Commentary	v16	XLEnt	v1.1	180978	4793679	167	.09	0
News-Commentary	v16	XLEnt	v1	180978	4793679	167	.09	0
News-Commentary	v16	XLEnt	v1.2	180978	4793679	167	.09	0
News-Commentary	v16	OpenSubtitles	v2016	180978	27816614	157	.08	0
News-Commentary	v16	OpenSubtitles	v2012	180978	9342592	104	.05	0
News-Commentary	v16	OpenSubtitles	v2013	180978	9230622	94	.05	0
News-Commentary	v16	LinguaTools-WikiTitles	v2014	180978	648148	105	.05	.01
News-Commentary	v16	KDE4	v2	180978	84657	87	.04	.10
News-Commentary	v16	UNPC	v1.0	180978	18190789	68	.03	0
News-Commentary	v16	QED	v2.0a	180978	930227	54	.02	0
News-Commentary	v16	wikimedia	v20230407	180978	869147	46	.02	0
News-Commentary	v16	wikimedia	v20210402	180978	623414	42	.02	0
News-Commentary	v16	TED2013	v1.1	180978	151655	35	.01	.02
News-Commentary	v16	Mozilla-I10n	v1	180978	27493	35	.01	.12
News-Commentary	v16	MultiUN	v1	180978	8710105	0	0	0
News-Commentary	v16	WikiMatrix	v1	180978	3716324	8	0	0
News-Commentary	v16	Wikipedia	v1.0	180978	887543	13	0	0
News-Commentary	v16	TED2020	v1	180978	396829	6	0	0
News-Commentary	v16	NeuLab-TedTalks	v1	180978	218079	2	0	0
News-Commentary	v16	GlobalVoices	v2018q4	180978	83371	16	0	.01
News-Commentary	v16	GlobalVoices	v2017q3	180978	74796	16	0	.02
News-Commentary	v16	UN	v20090831	180978	63275	2	0	0
News-Commentary	v16	GlobalVoices	v2015	180978	59430	15	0	.02
News-Commentary	v16	Tatoeba	v2023-04-12	180978	47136	2	0	0
News-Commentary	v16	Tatoeba	v2022-03-03	180978	38797	2	0	0
News-Commentary	v16	Tatoeba	v2021-07-22	180978	36467	2	0	0
News-Commentary	v16	Tatoeba	v2021-03-10	180978	35975	2	0	0
News-Commentary	v16	Tatoeba	v2020-11-09	180978	34816	2	0	0
News-Commentary	v16	Tatoeba	v2020-05-31	180978	34392	2	0	0
News-Commentary	v16	Tatoeba	v20190709	180978	33071	2	0	0
News-Commentary	v16	bible-uedin	v1	180978	30789	0	0	0
News-Commentary	v16	infopankki	v1	180978	16577	3	0	.01
News-Commentary	v16	ELRC_2922	v1	180978	15086	0	0	0
News-Commentary	v16	ELRC-3083-wikipedia_health	v1	180978	15086	0	0	0
News-Commentary	v16	ELRC-wikipedia_health	v1	180978	15086	0	0	0
News-Commentary	v16	Tatoeba	v2	180978	14705	1	0	0
News-Commentary	v16	Tanzil	v1	180978	11182	0	0	0
News-Commentary	v16	wikimedia	v20190628	180978	5748	10	0	.17
News-Commentary	v16	EUbookshop	v2	180978	3657	0	0	0
News-Commentary	v16	tico-19	v2020-10-28	180978	3066	0	0	0
News-Commentary	v16	GNOME	v1	180978	2411	1	0	.04
News-Commentary	v16	tldr-pages	v2023-08-29	180978	311	0	0	0
News-Commentary	v16	Ubuntu	v14.10	180978	44	0	0	0
