corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
News-Commentary	v9.0	News-Commentary	v9.1	240944	240944	16532	6.86	6.86
News-Commentary	v9.0	News-Commentary	v16	240944	387244	16008	6.64	4.13
News-Commentary	v9.0	News-Commentary	v14	240944	332801	16006	6.64	4.80
News-Commentary	v9.0	News-Commentary	v11	240944	224379	15316	6.35	6.82
News-Commentary	v9.0	NLLB	v1	240944	407525371	5811	2.41	0
News-Commentary	v9.0	CCMatrix	v1	240944	107495399	2485	1.03	0
News-Commentary	v9.0	OpenSubtitles	v2018	240944	25317409	892	.37	0
News-Commentary	v9.0	CCAligned	v1	240944	72184499	841	.34	0
News-Commentary	v9.0	MultiCCAligned	v1.1	240944	72184380	841	.34	0
News-Commentary	v9.0	MultiCCAligned	v1	240944	72184380	841	.34	0
News-Commentary	v9.0	OpenSubtitles	v2016	240944	18909647	824	.34	0
News-Commentary	v9.0	OpenSubtitles	v2012	240944	6098634	650	.26	.01
News-Commentary	v9.0	OpenSubtitles	v2013	240944	5721569	604	.25	.01
News-Commentary	v9.0	ParaCrawl	v1	240944	9893906	561	.23	0
News-Commentary	v9.0	MultiParaCrawl	v7.1	240944	5497548	358	.14	0
News-Commentary	v9.0	MultiParaCrawl	v8	240944	5497548	358	.14	0
News-Commentary	v9.0	MultiParaCrawl	v9	240944	5497548	358	.14	0
News-Commentary	v9.0	MultiParaCrawl	v9b	240944	5497548	358	.14	0
News-Commentary	v9.0	ParaCrawl	v7.1	240944	5497548	358	.14	0
News-Commentary	v9.0	ParaCrawl	v8	240944	5497548	358	.14	0
News-Commentary	v9.0	ParaCrawl	v9	240944	5497548	358	.14	0
News-Commentary	v9.0	Tatoeba	v2023-04-12	240944	992838	338	.14	.03
News-Commentary	v9.0	QED	v2.0a	240944	841910	358	.14	.04
News-Commentary	v9.0	Tatoeba	v2022-03-03	240944	915518	326	.13	.03
News-Commentary	v9.0	Tatoeba	v2021-03-10	240944	848702	315	.13	.03
News-Commentary	v9.0	Tatoeba	v2020-11-09	240944	827336	315	.13	.03
News-Commentary	v9.0	UNPC	v1.0	240944	21234699	292	.12	0
News-Commentary	v9.0	Tatoeba	v2021-07-22	240944	817443	303	.12	.03
News-Commentary	v9.0	Tatoeba	v2020-05-31	240944	780617	305	.12	.03
News-Commentary	v9.0	Tatoeba	v20190709	240944	707362	289	.11	.04
News-Commentary	v9.0	TED2020	v1	240944	426136	278	.11	.06
News-Commentary	v9.0	WikiMatrix	v1	240944	17796859	232	.09	0
News-Commentary	v9.0	NeuLab-TedTalks	v1	240944	253570	201	.08	.07
News-Commentary	v9.0	ChuBiCo	v1	240944	1000235	146	.06	.01
News-Commentary	v9.0	GlobalVoices	v2018q4	240944	199016	130	.05	.06
News-Commentary	v9.0	Tatoeba	v2	240944	154660	126	.05	.08
News-Commentary	v9.0	OpenSubtitles	v1	240944	83473	136	.05	.16
News-Commentary	v9.0	wikimedia	v20230407	240944	3472691	108	.04	0
News-Commentary	v9.0	GlobalVoices	v2017q3	240944	157414	117	.04	.07
News-Commentary	v9.0	TED2013	v1.1	240944	132320	98	.04	.07
News-Commentary	v9.0	wikimedia	v20210402	240944	2066455	81	.03	0
News-Commentary	v9.0	GlobalVoices	v2015	240944	103572	88	.03	.08
News-Commentary	v9.0	XLEnt	v1.1	240944	6553510	60	.02	0
News-Commentary	v9.0	XLEnt	v1.2	240944	6553510	60	.02	0
News-Commentary	v9.0	XLEnt	v1	240944	6553510	60	.02	0
News-Commentary	v9.0	LinguaTools-WikiTitles	v2014	240944	1935298	72	.02	0
News-Commentary	v9.0	WikiTitles	v3	240944	1034886	56	.02	0
News-Commentary	v9.0	Wikipedia	v1.0	240944	659214	55	.02	0
News-Commentary	v9.0	KDE4	v2	240944	138754	33	.01	.02
News-Commentary	v9.0	EUbookshop	v2	240944	65993	44	.01	.06
News-Commentary	v9.0	Mozilla-I10n	v1	240944	50942	37	.01	.07
News-Commentary	v9.0	MultiUN	v1	240944	10186416	0	0	0
News-Commentary	v9.0	ELRC-5183-SciPar_Ukraine	v1	240944	139599	4	0	0
News-Commentary	v9.0	Tanzil	v1	240944	118260	18	0	.01
News-Commentary	v9.0	UN	v20090831	240944	57771	0	0	0
News-Commentary	v9.0	OpenOffice	v3	240944	46793	20	0	.04
News-Commentary	v9.0	TildeMODEL	v2018	240944	40309	23	0	.05
News-Commentary	v9.0	wikimedia	v20190628	240944	39686	15	0	.03
News-Commentary	v9.0	bible-uedin	v1	240944	34670	2	0	0
News-Commentary	v9.0	Books	v1	240944	26812	19	0	.07
News-Commentary	v9.0	GoURMET	v1	240944	23461	8	0	.03
News-Commentary	v9.0	GoURMET	v2	240944	23461	8	0	.03
News-Commentary	v9.0	komi	v1	240944	22715	14	0	.06
News-Commentary	v9.0	infopankki	v1	240944	21525	6	0	.02
News-Commentary	v9.0	ELRC_2922	v1	240944	4074	1	0	.02
News-Commentary	v9.0	ELRC-3075-wikipedia_health	v1	240944	4074	1	0	.02
News-Commentary	v9.0	ELRC-wikipedia_health	v1	240944	4074	1	0	.02
News-Commentary	v9.0	ada83	v1	240944	4038	1	0	.02
News-Commentary	v9.0	ELRC-5067-SciPar	v1	240944	3995	2	0	.05
News-Commentary	v9.0	GNOME	v1	240944	3488	3	0	.08
News-Commentary	v9.0	tico-19	v2020-10-28	240944	3322	0	0	0
News-Commentary	v9.0	KDEdoc	v1	240944	2897	2	0	.06
News-Commentary	v9.0	WMT-News	v2019	240944	1994	1	0	.05
News-Commentary	v9.0	ELRC-3855-SWPS_University_Soci	v1	240944	111	0	0	0
News-Commentary	v9.0	Ubuntu	v14.10	240944	45	0	0	0
