corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
News-Commentary	v9.1	News-Commentary	v11	58932	96505	54885	93.13	56.87
News-Commentary	v9.1	News-Commentary	v9.0	58932	58932	52819	89.62	89.62
News-Commentary	v9.1	News-Commentary	v16	58932	168947	7096	12.04	4.20
News-Commentary	v9.1	News-Commentary	v14	58932	143781	7082	12.01	4.92
News-Commentary	v9.1	NLLB	v1	58932	132667889	2876	4.88	0
News-Commentary	v9.1	CCMatrix	v1	58932	132669801	2875	4.87	0
News-Commentary	v9.1	OpenSubtitles	v2016	58932	9431861	58	.09	0
News-Commentary	v9.1	UNPC	v1.0	58932	15376036	48	.08	0
News-Commentary	v9.1	LinguaTools-WikiTitles	v2014	58932	1019492	48	.08	0
News-Commentary	v9.1	XLEnt	v1.1	58932	5063736	36	.06	0
News-Commentary	v9.1	XLEnt	v1.2	58932	5063736	36	.06	0
News-Commentary	v9.1	XLEnt	v1	58932	5063736	36	.06	0
News-Commentary	v9.1	WikiTitles	v3	58932	853130	34	.05	0
News-Commentary	v9.1	MultiParaCrawl	v9	58932	9409712	29	.04	0
News-Commentary	v9.1	MultiParaCrawl	v9b	58932	9409712	29	.04	0
News-Commentary	v9.1	ParaCrawl	v9	58932	9409712	29	.04	0
News-Commentary	v9.1	wikimedia	v20230407	58932	432008	27	.04	0
News-Commentary	v9.1	wikimedia	v20210402	58932	301391	24	.04	0
News-Commentary	v9.1	MultiUN	v1	58932	8550124	0	0	0
News-Commentary	v9.1	WikiMatrix	v1	58932	7003638	3	0	0
News-Commentary	v9.1	TED2013	v1.1	58932	153427	1	0	0
News-Commentary	v9.1	JParaCrawl	v3.0	58932	82723	0	0	0
News-Commentary	v9.1	UN	v20090831	58932	61481	0	0	0
News-Commentary	v9.1	bible-uedin	v1	58932	61208	0	0	0
News-Commentary	v9.1	QED	v2.0a	58932	27588	1	0	0
News-Commentary	v9.1	TED2020	v1	58932	15952	0	0	0
News-Commentary	v9.1	Tanzil	v1	58932	12221	0	0	0
News-Commentary	v9.1	OpenSubtitles	v1	58932	11996	1	0	0
News-Commentary	v9.1	infopankki	v1	58932	10182	0	0	0
News-Commentary	v9.1	NeuLab-TedTalks	v1	58932	7844	0	0	0
News-Commentary	v9.1	wikimedia	v20190628	58932	6743	4	0	.05
News-Commentary	v9.1	tico-19	v2020-10-28	58932	3062	0	0	0
News-Commentary	v9.1	SPC	v1	58932	2198	0	0	0
News-Commentary	v9.1	WMT-News	v2019	58932	1996	0	0	0
News-Commentary	v9.1	OpenSubtitles	v2012	58932	929	0	0	0
News-Commentary	v9.1	ELRC_2922	v1	58932	144	0	0	0
News-Commentary	v9.1	ELRC-3056-wikipedia_health	v1	58932	144	0	0	0
News-Commentary	v9.1	ELRC-wikipedia_health	v1	58932	144	0	0	0
News-Commentary	v9.1	Ubuntu	v14.10	58932	34	0	0	0
