corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
OpenSubtitles	v1	OpenSubtitles	v2018	22333	21152745	9714	43.49	.04
OpenSubtitles	v1	QED	v2.0a	22333	522751	709	3.17	.13
OpenSubtitles	v1	Tatoeba	v2022-03-03	22333	529043	472	2.11	.08
OpenSubtitles	v1	Tatoeba	v2021-07-22	22333	523544	471	2.10	.08
OpenSubtitles	v1	Tatoeba	v2021-03-10	22333	519222	471	2.10	.09
OpenSubtitles	v1	Tatoeba	v2020-11-09	22333	514093	471	2.10	.09
OpenSubtitles	v1	Tatoeba	v2020-05-31	22333	501391	471	2.10	.09
OpenSubtitles	v1	Tatoeba	v20190709	22333	487111	468	2.09	.09
OpenSubtitles	v1	CCAligned	v1	22333	13738750	320	1.43	0
OpenSubtitles	v1	Tatoeba	v2	22333	97202	214	.95	.22
OpenSubtitles	v1	TED2020	v1	22333	380258	156	.69	.04
OpenSubtitles	v1	ParaCrawl	v9	22333	5364010	131	.58	0
OpenSubtitles	v1	NeuLab-TedTalks	v1	22333	216889	99	.44	.04
OpenSubtitles	v1	TED2013	v1.1	22333	132726	78	.34	.05
OpenSubtitles	v1	UNPC	v1.0	22333	19744553	57	.25	0
OpenSubtitles	v1	GlobalVoices	v2018q4	22333	162192	57	.25	.03
OpenSubtitles	v1	GlobalVoices	v2017q3	22333	126524	53	.23	.04
OpenSubtitles	v1	GlobalVoices	v2015	22333	80717	44	.19	.05
OpenSubtitles	v1	MultiUN	v1	22333	9466296	33	.14	0
OpenSubtitles	v1	News-Commentary	v16	22333	257993	29	.12	.01
OpenSubtitles	v1	News-Commentary	v14	22333	257991	29	.12	.01
OpenSubtitles	v1	News-Commentary	v11	22333	189831	26	.11	.01
OpenSubtitles	v1	News-Commentary	v9.0	22333	163747	24	.10	.01
OpenSubtitles	v1	News-Commentary	v9.1	22333	163747	24	.10	.01
OpenSubtitles	v1	CCMatrix	v1	22333	138875110	22	.09	0
OpenSubtitles	v1	Wikipedia	v1.0	22333	541331	22	.09	0
OpenSubtitles	v1	WikiMatrix	v1	22333	1661904	12	.05	0
OpenSubtitles	v1	Books	v1	22333	17255	9	.04	.05
OpenSubtitles	v1	KDE4	v2	22333	159404	8	.03	0
OpenSubtitles	v1	wikimedia	v20210402	22333	316871	6	.02	0
OpenSubtitles	v1	WMT-News	v2019	22333	24817	6	.02	.02
OpenSubtitles	v1	LinguaTools-WikiTitles	v2014	22333	13046006	3	.01	0
OpenSubtitles	v1	EUbookshop	v2	22333	44969	3	.01	0
OpenSubtitles	v1	TildeMODEL	v2018	22333	10974	3	.01	.02
OpenSubtitles	v1	XLEnt	v1.1	22333	7479613	0	0	0
OpenSubtitles	v1	XLEnt	v1.2	22333	7479613	0	0	0
OpenSubtitles	v1	XLEnt	v1	22333	7479613	0	0	0
OpenSubtitles	v1	WikiTitles	v3	22333	1123821	0	0	0
OpenSubtitles	v1	Tanzil	v1	22333	1011655	2	0	0
OpenSubtitles	v1	ELRC-5183-SciPar_Ukraine	v1	22333	126237	0	0	0
OpenSubtitles	v1	bible-uedin	v1	22333	61559	0	0	0
OpenSubtitles	v1	UN	v20090831	22333	58729	0	0	0
OpenSubtitles	v1	infopankki	v1	22333	20627	1	0	0
OpenSubtitles	v1	WMT-News	v2014	22333	9003	2	0	.02
OpenSubtitles	v1	Ubuntu	v14.10	22333	6981	0	0	0
OpenSubtitles	v1	ELRC-3075-wikipedia_health	v1	22333	4073	0	0	0
OpenSubtitles	v1	ELRC-wikipedia_health	v1	22333	4073	0	0	0
OpenSubtitles	v1	ELRC_2922	v1	22333	4072	0	0	0
OpenSubtitles	v1	ada83	v1	22333	3966	0	0	0
OpenSubtitles	v1	PHP	v1	22333	3689	0	0	0
OpenSubtitles	v1	tico-19	v2020-10-28	22333	3070	0	0	0
OpenSubtitles	v1	ELRC-5067-SciPar	v1	22333	3064	2	0	.06
OpenSubtitles	v1	GNOME	v1	22333	149	0	0	0
OpenSubtitles	v1	ELRC-3855-SWPS_University_Soci	v1	22333	109	0	0	0
