corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
OpenSubtitles	v2016	OpenSubtitles	v2018	13674348	21227082	13598813	99.44	64.06
OpenSubtitles	v2016	OpenSubtitles	v2012	13674348	4892213	4190174	30.64	85.64
OpenSubtitles	v2016	OpenSubtitles	v2013	13674348	4079127	3913878	28.62	95.94
OpenSubtitles	v2016	CCMatrix	v1	13674348	534914327	314374	2.29	.05
OpenSubtitles	v2016	NLLB	v1	13674348	534495313	313159	2.29	.05
OpenSubtitles	v2016	OpenSubtitles	v1	13674348	241453	204978	1.49	84.89
OpenSubtitles	v2016	MultiParaCrawl	v9	13674348	220731737	189764	1.38	.08
OpenSubtitles	v2016	MultiParaCrawl	v9b	13674348	220731737	189764	1.38	.08
OpenSubtitles	v2016	ParaCrawl	v9	13674348	220731737	189764	1.38	.08
OpenSubtitles	v2016	MultiParaCrawl	v8	13674348	182106158	166176	1.21	.09
OpenSubtitles	v2016	ParaCrawl	v8	13674348	182106158	166176	1.21	.09
OpenSubtitles	v2016	MultiCCAligned	v1.1	13674348	94952359	120631	.88	.12
OpenSubtitles	v2016	MultiCCAligned	v1	13674348	94952359	120631	.88	.12
OpenSubtitles	v2016	CCAligned	v1	13674348	94952271	120631	.88	.12
OpenSubtitles	v2016	MultiParaCrawl	v7.1	13674348	80061241	110726	.80	.13
OpenSubtitles	v2016	ParaCrawl	v7.1	13674348	80061241	110726	.80	.13
OpenSubtitles	v2016	ParaCrawl	v1	13674348	30443329	73389	.53	.24
OpenSubtitles	v2016	QED	v2.0a	13674348	684273	64747	.47	9.46
OpenSubtitles	v2016	Tatoeba	v2023-04-12	13674348	634009	61320	.44	9.67
OpenSubtitles	v2016	Tatoeba	v2022-03-03	13674348	602838	58963	.43	9.78
OpenSubtitles	v2016	Tatoeba	v2021-03-10	13674348	556720	54118	.39	9.72
OpenSubtitles	v2016	Tatoeba	v2020-11-09	13674348	545306	53341	.39	9.78
OpenSubtitles	v2016	MultiParaCrawl	v5	13674348	38758629	52019	.38	.13
OpenSubtitles	v2016	ParaCrawl	v5	13674348	38758629	52019	.38	.13
OpenSubtitles	v2016	Tatoeba	v2021-07-22	13674348	531553	53037	.38	9.97
OpenSubtitles	v2016	Tatoeba	v2020-05-31	13674348	523304	51132	.37	9.77
OpenSubtitles	v2016	Tatoeba	v20190709	13674348	484305	46599	.34	9.62
OpenSubtitles	v2016	ParaCrawl	v4	13674348	18589563	42519	.31	.22
OpenSubtitles	v2016	Tatoeba	v2	13674348	257448	24580	.17	9.54
OpenSubtitles	v2016	WikiMatrix	v1	13674348	23734871	15378	.11	.06
OpenSubtitles	v2016	ELRC-4217-NTEU_TierA	v1	13674348	13752401	16314	.11	.11
OpenSubtitles	v2016	ELRC-4244-NTEU_TierA	v1	13674348	12025211	12718	.09	.10
OpenSubtitles	v2016	ELRC-4258-NTEU_TierA	v1	13674348	11002908	12584	.09	.11
OpenSubtitles	v2016	EUbookshop	v2	13674348	13681030	12233	.08	.08
OpenSubtitles	v2016	StanfordNLP-NMT	v1.0	13674348	4761770	10213	.07	.21
OpenSubtitles	v2016	TED2020	v1	13674348	329147	9319	.06	2.83
OpenSubtitles	v2016	Europarl	v8	13674348	2110612	7480	.05	.35
OpenSubtitles	v2016	Europarl	v7	13674348	2110469	7465	.05	.35
OpenSubtitles	v2016	ELRC-4240-NTEU_TierA	v1	13674348	6884759	6164	.04	.08
OpenSubtitles	v2016	ELRC-4189-NTEU_TierA	v1	13674348	6763579	6174	.04	.09
OpenSubtitles	v2016	ELRC-4149-NTEU_TierA	v1	13674348	6413624	5934	.04	.09
OpenSubtitles	v2016	ELRC-4171-NTEU_TierA	v1	13674348	6198455	5840	.04	.09
OpenSubtitles	v2016	XLEnt	v1.1	13674348	3364773	5496	.04	.16
OpenSubtitles	v2016	XLEnt	v1	13674348	3364773	5496	.04	.16
OpenSubtitles	v2016	XLEnt	v1.2	13674348	3364773	5496	.04	.16
OpenSubtitles	v2016	LinguaTools-WikiTitles	v2014	13674348	2446335	6316	.04	.25
OpenSubtitles	v2016	Europarl	v3	13674348	1443880	5571	.04	.38
OpenSubtitles	v2016	NeuLab-TedTalks	v1	13674348	211159	6262	.04	2.96
OpenSubtitles	v2016	TildeMODEL	v2018	13674348	5030606	4298	.03	.08
OpenSubtitles	v2016	WikiTitles	v3	13674348	1349474	4794	.03	.35
OpenSubtitles	v2016	Wikipedia	v1.0	13674348	2478076	2535	.01	.10
OpenSubtitles	v2016	JRC-Acquis	v3.0	13674348	1997955	1937	.01	.09
OpenSubtitles	v2016	DGT	v4	13674348	1835860	1559	.01	.08
OpenSubtitles	v2016	ELRC-4198-NTEU_TierA	v1	13674348	1702436	2567	.01	.15
OpenSubtitles	v2016	wikimedia	v20230407	13674348	822350	1668	.01	.20
OpenSubtitles	v2016	TED2013	v1.1	13674348	142424	2353	.01	1.65
OpenSubtitles	v2016	EuroPat	v3	13674348	19387517	1082	0	0
OpenSubtitles	v2016	EuroPat	v2	13674348	15421689	968	0	0
OpenSubtitles	v2016	EuroPat	v1	13674348	12583619	942	0	0
OpenSubtitles	v2016	ELRC-5067-SciPar	v1	13674348	894816	85	0	0
OpenSubtitles	v2016	ELRC-2714-EMEA	v1	13674348	713209	676	0	.09
OpenSubtitles	v2016	ELRC-EMEA	v1	13674348	713209	676	0	.09
OpenSubtitles	v2016	ELRC_2682	v1	13674348	589704	616	0	.10
OpenSubtitles	v2016	wikimedia	v20210402	13674348	456248	1113	0	.24
OpenSubtitles	v2016	News-Commentary	v16	13674348	438345	1332	0	.30
OpenSubtitles	v2016	News-Commentary	v14	13674348	373715	1196	0	.32
OpenSubtitles	v2016	ECB	v1	13674348	350988	258	0	.07
OpenSubtitles	v2016	EMEA	v3	13674348	349705	1003	0	.28
OpenSubtitles	v2016	News-Commentary	v9.0	13674348	273047	795	0	.29
OpenSubtitles	v2016	News-Commentary	v9.1	13674348	273046	796	0	.29
OpenSubtitles	v2016	News-Commentary	v11	13674348	269009	978	0	.36
OpenSubtitles	v2016	ELRC-EUIPO_law	v1	13674348	240670	212	0	.08
OpenSubtitles	v2016	ELRC-1077-EUIPO_law	v1	13674348	240669	212	0	.08
OpenSubtitles	v2016	ELRC-1121-CORDIS_Results_Brief	v1	13674348	182160	17	0	0
OpenSubtitles	v2016	ELRC-CORDIS_Results	v1	13674348	182160	17	0	0
OpenSubtitles	v2016	KDE4	v2	13674348	172442	1352	0	.78
OpenSubtitles	v2016	MultiUN	v1	13674348	157784	0	0	0
OpenSubtitles	v2016	ELRC-2410-Portal_oficial_turis	v1	13674348	132023	1265	0	.95
OpenSubtitles	v2016	ELRC-5179-acts_Ukrainian	v1	13674348	126107	196	0	.15
OpenSubtitles	v2016	ELRC-1117-CORDIS_News	v1	13674348	111380	114	0	.10
OpenSubtitles	v2016	ELRC-CORDIS_News	v1	13674348	111380	114	0	.10
OpenSubtitles	v2016	GlobalVoices	v2018q4	13674348	88834	977	0	1.09
OpenSubtitles	v2016	GlobalVoices	v2017q3	13674348	82965	922	0	1.11
OpenSubtitles	v2016	ELRC-German_Foreign	v1	13674348	72183	450	0	.62
OpenSubtitles	v2016	GlobalVoices	v2015	13674348	71300	795	0	1.11
OpenSubtitles	v2016	Books	v1	13674348	70054	866	0	1.23
OpenSubtitles	v2016	ELRC-642-Federal_Foreign_Berl	v1	13674348	54626	194	0	.35
OpenSubtitles	v2016	Mozilla-I10n	v1	13674348	49522	1100	0	2.22
OpenSubtitles	v2016	OpenOffice	v3	13674348	48451	442	0	.91
OpenSubtitles	v2016	ELRC-EUIPO_list	v1	13674348	41820	77	0	.18
OpenSubtitles	v2016	Tanzil	v1	13674348	41133	88	0	.21
OpenSubtitles	v2016	wikimedia	v20190628	13674348	37543	188	0	.50
OpenSubtitles	v2016	bible-uedin	v1	13674348	37421	96	0	.25
OpenSubtitles	v2016	OpenOffice	v2	13674348	36684	339	0	.92
OpenSubtitles	v2016	ELRA-W0201	v1	13674348	36665	199	0	.54
OpenSubtitles	v2016	ELRC-638-Luxembourg.lu	v1	13674348	36665	199	0	.54
OpenSubtitles	v2016	ELRC-1945-Italian_legal_termin	v1	13674348	30992	126	0	.40
OpenSubtitles	v2016	ELRA-W0143	v1	13674348	30391	65	0	.21
OpenSubtitles	v2016	ELRC-1092-EUIPO_list	v1	13674348	30391	65	0	.21
OpenSubtitles	v2016	ELRA-W0144	v1	13674348	29757	48	0	.16
OpenSubtitles	v2016	ELRC-1093-EUIPO_list	v1	13674348	29757	48	0	.16
OpenSubtitles	v2016	ELRA-W0146	v1	13674348	29701	51	0	.17
OpenSubtitles	v2016	ELRC-1095-EUIPO_list	v1	13674348	29701	51	0	.17
OpenSubtitles	v2016	ELRA-W0145	v1	13674348	29261	48	0	.16
OpenSubtitles	v2016	ELRC-1094-EUIPO_list	v1	13674348	29261	48	0	.16
OpenSubtitles	v2016	KDEdoc	v1	13674348	26622	254	0	.95
OpenSubtitles	v2016	ELRC-1087-German_Foreign_Offic	v1	13674348	25366	181	0	.71
OpenSubtitles	v2016	ELRC-1089-German_Foreign_Offic	v1	13674348	24921	135	0	.54
OpenSubtitles	v2016	ELRC-3565-EUR_LEX_covid	v1	13674348	23299	3	0	.01
OpenSubtitles	v2016	ELRC-EUR_LEX	v1	13674348	23299	3	0	.01
OpenSubtitles	v2016	ELRC-1090-German_Foreign_Offic	v1	13674348	20734	137	0	.66
OpenSubtitles	v2016	MPC1	v1	13674348	18346	566	0	3.08
OpenSubtitles	v2016	ELRC-2014-EUIPO_2017	v1	13674348	17161	43	0	.25
OpenSubtitles	v2016	ELRC-EUIPO_2017	v1	13674348	17161	43	0	.25
OpenSubtitles	v2016	ELRC-774-Presidency	v1	13674348	16555	9	0	.05
OpenSubtitles	v2016	ELRC-1973-Italian_legal_termin	v1	13674348	15828	87	0	.54
OpenSubtitles	v2016	ELITR-ECA	v1	13674348	14537	51	0	.35
OpenSubtitles	v2016	ELRC-2875-EU_publications_medi	v1	13674348	13419	36	0	.26
OpenSubtitles	v2016	ELRC-EU_publications	v1	13674348	13419	36	0	.26
OpenSubtitles	v2016	ELRC-1088-German_Foreign_Offic	v1	13674348	12629	56	0	.44
OpenSubtitles	v2016	ELRC-641-Federal_Foreign_Berl	v1	13674348	12029	61	0	.50
OpenSubtitles	v2016	ELRA-W0197	v1	13674348	11704	57	0	.48
OpenSubtitles	v2016	ELRC-630-BMVI_Publications	v1	13674348	11704	57	0	.48
OpenSubtitles	v2016	ELRC-1086-Information_Portal_G	v1	13674348	11223	25	0	.22
OpenSubtitles	v2016	ELRC-Information_Portal	v1	13674348	11223	25	0	.22
OpenSubtitles	v2016	ELRC-3606-presscorner_covid	v1	13674348	10061	12	0	.11
OpenSubtitles	v2016	ELRC-presscorner_covid	v1	13674348	10061	12	0	.11
OpenSubtitles	v2016	ELRA-W0200	v1	13674348	8513	15	0	.17
OpenSubtitles	v2016	ELRC-634-BMI_Brochures_2011	v1	13674348	8513	15	0	.17
OpenSubtitles	v2016	EUconst	v1	13674348	6570	156	0	2.37
OpenSubtitles	v2016	ELRC-637-SIP	v1	13674348	6420	24	0	.37
OpenSubtitles	v2016	ELRC_3382	v1	13674348	6110	6	0	.09
OpenSubtitles	v2016	ELRC-621-Federal_Constitution	v1	13674348	5207	17	0	.32
OpenSubtitles	v2016	ELRC-776-by_Presidency_Counci	v1	13674348	4771	14	0	.29
OpenSubtitles	v2016	ELRC-775-by_Presidency_Counci	v1	13674348	4573	27	0	.59
OpenSubtitles	v2016	GNOME	v1	13674348	4428	99	0	2.23
OpenSubtitles	v2016	ELRC-2638-monumentos_2007	v1	13674348	3276	7	0	.21
OpenSubtitles	v2016	ELRC-1240-Austrian_Research_Te	v1	13674348	3049	38	0	1.24
OpenSubtitles	v2016	WMT-News	v2019	13674348	3003	17	0	.56
OpenSubtitles	v2016	ELRA-W0198	v1	13674348	2695	14	0	.51
OpenSubtitles	v2016	ELRC-631-BMVI_Website	v1	13674348	2695	14	0	.51
OpenSubtitles	v2016	ELRC-1257-government_websites_	v1	13674348	2675	22	0	.82
OpenSubtitles	v2016	ELRC-government_websites	v1	13674348	2675	22	0	.82
OpenSubtitles	v2016	ECDC	v2016-03-16	13674348	2513	18	0	.71
OpenSubtitles	v2016	ELRC-3464-EC_EUROPA_covid	v1	13674348	2501	11	0	.43
OpenSubtitles	v2016	ELRC-EC_EUROPA	v1	13674348	2501	11	0	.43
OpenSubtitles	v2016	ELRC-2544-TERMITUR	v1	13674348	2383	9	0	.37
OpenSubtitles	v2016	ELRC-1243-Vienna_Environmental	v1	13674348	2299	9	0	.39
OpenSubtitles	v2016	ELRC-2614-Localidades_2007	v1	13674348	2152	0	0	0
OpenSubtitles	v2016	ELRC-Localidades_2007	v1	13674348	2152	0	0	0
OpenSubtitles	v2016	ELRC_2922	v1	13674348	2054	3	0	.14
OpenSubtitles	v2016	ELRC-3063-wikipedia_health	v1	13674348	2054	3	0	.14
OpenSubtitles	v2016	ELRC-wikipedia_health	v1	13674348	2054	3	0	.14
OpenSubtitles	v2016	ELRC-5191-Auslandsgesellschaft	v1	13674348	2000	12	0	.60
OpenSubtitles	v2016	ELRC-2612-Artigos_visitportuga	v1	13674348	1709	0	0	0
OpenSubtitles	v2016	ELRC-Artigos_visitportuga	v1	13674348	1709	0	0	0
OpenSubtitles	v2016	ELRC-4992-Customer_Support_MT	v1	13674348	1342	116	0	8.64
OpenSubtitles	v2016	ELRC-2616-Museus_2007	v1	13674348	1250	1	0	.08
OpenSubtitles	v2016	ELRC-Museus_2007	v1	13674348	1250	1	0	.08
OpenSubtitles	v2016	Salome	v1	13674348	1234	126	0	10.21
OpenSubtitles	v2016	ELRA-W0199	v1	13674348	1163	8	0	.68
OpenSubtitles	v2016	ELRC-633-BMI_Brochures_2016	v1	13674348	1163	8	0	.68
OpenSubtitles	v2016	ELRC-1241-2017_Activity_Report	v1	13674348	1050	2	0	.19
OpenSubtitles	v2016	DGT	v2019	13674348	963	4	0	.41
OpenSubtitles	v2016	ELRC-2641-Praias_2007	v1	13674348	938	0	0	0
OpenSubtitles	v2016	ELRC-Praias_2007	v1	13674348	938	0	0	0
OpenSubtitles	v2016	ELRC-420-Audioguide_Military_	v1	13674348	909	5	0	.55
OpenSubtitles	v2016	ELRC-3202-antibiotic	v1	13674348	853	1	0	.11
OpenSubtitles	v2016	ELRC-antibiotic	v1	13674348	853	1	0	.11
OpenSubtitles	v2016	ELRC-3293-EUROPARL_covid	v1	13674348	686	4	0	.58
OpenSubtitles	v2016	ELRC-EUROPARL_covid	v1	13674348	686	4	0	.58
OpenSubtitles	v2016	ELRC-1238-Energy_Report_City	v1	13674348	508	3	0	.59
OpenSubtitles	v2016	ELRC-2736-vaccination	v1	13674348	478	2	0	.41
OpenSubtitles	v2016	ELRC-vaccination	v1	13674348	478	2	0	.41
OpenSubtitles	v2016	ELRC_2923	v1	13674348	421	3	0	.71
OpenSubtitles	v2016	ELRC-640-Federal_Foreign_Berl	v1	13674348	415	0	0	0
OpenSubtitles	v2016	ELRC-416-Swedish_Social_Secur	v1	13674348	354	20	0	5.64
