corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
OpenSubtitles	v2016	CCMatrix	v1	9346111	131711224	49468	.52	.03
OpenSubtitles	v2016	NLLB	v1	9346111	131709060	49519	.52	.03
OpenSubtitles	v2016	XLEnt	v1.1	9346111	5008234	33179	.35	.66
OpenSubtitles	v2016	XLEnt	v1.2	9346111	5008234	33179	.35	.66
OpenSubtitles	v2016	XLEnt	v1	9346111	5008234	33179	.35	.66
OpenSubtitles	v2016	LinguaTools-WikiTitles	v2014	9346111	1017876	15361	.16	1.50
OpenSubtitles	v2016	WikiTitles	v3	9346111	853090	12179	.13	1.42
OpenSubtitles	v2016	UNPC	v1.0	9346111	15317452	10178	.10	.06
OpenSubtitles	v2016	MultiParaCrawl	v9	9346111	9392972	9434	.10	.10
OpenSubtitles	v2016	MultiParaCrawl	v9b	9346111	9392972	9434	.10	.10
OpenSubtitles	v2016	ParaCrawl	v9	9346111	9392972	9434	.10	.10
OpenSubtitles	v2016	OpenSubtitles	v1	9346111	11995	7649	.08	63.76
OpenSubtitles	v2016	wikimedia	v20230407	9346111	431739	2216	.02	.51
OpenSubtitles	v2016	wikimedia	v20210402	9346111	301209	1735	.01	.57
OpenSubtitles	v2016	TED2013	v1.1	9346111	153418	1592	.01	1.03
OpenSubtitles	v2016	MultiUN	v1	9346111	8519010	0	0	0
OpenSubtitles	v2016	WikiMatrix	v1	9346111	7002635	835	0	.01
OpenSubtitles	v2016	News-Commentary	v16	9346111	168940	124	0	.07
OpenSubtitles	v2016	News-Commentary	v14	9346111	143779	103	0	.07
OpenSubtitles	v2016	News-Commentary	v11	9346111	96472	61	0	.06
OpenSubtitles	v2016	JParaCrawl	v3.0	9346111	82588	0	0	0
OpenSubtitles	v2016	UN	v20090831	9346111	61335	141	0	.22
OpenSubtitles	v2016	News-Commentary	v9.0	9346111	58926	58	0	.09
OpenSubtitles	v2016	News-Commentary	v9.1	9346111	58926	58	0	.09
OpenSubtitles	v2016	bible-uedin	v1	9346111	30607	1	0	0
OpenSubtitles	v2016	QED	v2.0a	9346111	27584	513	0	1.85
OpenSubtitles	v2016	TED2020	v1	9346111	15950	66	0	.41
OpenSubtitles	v2016	Tanzil	v1	9346111	12221	0	0	0
OpenSubtitles	v2016	infopankki	v1	9346111	10157	179	0	1.76
OpenSubtitles	v2016	NeuLab-TedTalks	v1	9346111	7844	45	0	.57
OpenSubtitles	v2016	wikimedia	v20190628	9346111	6740	117	0	1.73
OpenSubtitles	v2016	tldr-pages	v2023-08-29	9346111	3826	5	0	.13
OpenSubtitles	v2016	tico-19	v2020-10-28	9346111	3062	1	0	.03
OpenSubtitles	v2016	SPC	v1	9346111	2195	1	0	.04
OpenSubtitles	v2016	WMT-News	v2019	9346111	1996	6	0	.30
OpenSubtitles	v2016	OpenSubtitles	v2012	9346111	928	135	0	14.54
OpenSubtitles	v2016	ELRC_2922	v1	9346111	144	0	0	0
OpenSubtitles	v2016	ELRC-3056-wikipedia_health	v1	9346111	144	0	0	0
OpenSubtitles	v2016	ELRC-wikipedia_health	v1	9346111	144	0	0	0
OpenSubtitles	v2016	Ubuntu	v14.10	9346111	33	2	0	6.06
