corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
OpenSubtitles	v2018	OpenSubtitles	v2016	25192322	18815068	18647788	74.02	99.11
OpenSubtitles	v2018	OpenSubtitles	v2012	25192322	6064128	5457577	21.66	89.99
OpenSubtitles	v2018	OpenSubtitles	v2013	25192322	5700632	5248928	20.83	92.07
OpenSubtitles	v2018	NLLB	v1	25192322	405724899	438778	1.74	.10
OpenSubtitles	v2018	CCAligned	v1	25192322	71915281	223272	.88	.31
OpenSubtitles	v2018	MultiCCAligned	v1.1	25192322	71915162	223274	.88	.31
OpenSubtitles	v2018	MultiCCAligned	v1	25192322	71915162	223274	.88	.31
OpenSubtitles	v2018	CCMatrix	v1	25192322	106963899	208861	.82	.19
OpenSubtitles	v2018	Tatoeba	v2023-04-12	25192322	992599	146707	.58	14.78
OpenSubtitles	v2018	Tatoeba	v2022-03-03	25192322	915310	138176	.54	15.09
OpenSubtitles	v2018	Tatoeba	v2021-03-10	25192322	848530	129973	.51	15.31
OpenSubtitles	v2018	Tatoeba	v2020-11-09	25192322	827173	127539	.50	15.41
OpenSubtitles	v2018	Tatoeba	v2021-07-22	25192322	817271	124425	.49	15.22
OpenSubtitles	v2018	Tatoeba	v2020-05-31	25192322	780473	121459	.48	15.56
OpenSubtitles	v2018	Tatoeba	v20190709	25192322	707235	111686	.44	15.79
OpenSubtitles	v2018	QED	v2.0a	25192322	841028	92513	.36	10.99
OpenSubtitles	v2018	OpenSubtitles	v1	25192322	83429	78169	.31	93.69
OpenSubtitles	v2018	ParaCrawl	v1	25192322	9829537	55314	.21	.56
OpenSubtitles	v2018	MultiParaCrawl	v7.1	25192322	5483226	26289	.10	.47
OpenSubtitles	v2018	MultiParaCrawl	v8	25192322	5483226	26289	.10	.47
OpenSubtitles	v2018	MultiParaCrawl	v9	25192322	5483226	26289	.10	.47
OpenSubtitles	v2018	MultiParaCrawl	v9b	25192322	5483226	26289	.10	.47
OpenSubtitles	v2018	ParaCrawl	v7.1	25192322	5483226	26289	.10	.47
OpenSubtitles	v2018	ParaCrawl	v8	25192322	5483226	26289	.10	.47
OpenSubtitles	v2018	ParaCrawl	v9	25192322	5483226	26289	.10	.47
OpenSubtitles	v2018	Tatoeba	v2	25192322	154640	26288	.10	16.99
OpenSubtitles	v2018	WikiMatrix	v1	25192322	17794557	24631	.09	.13
OpenSubtitles	v2018	ChuBiCo	v1	25192322	1000206	21306	.08	2.13
OpenSubtitles	v2018	XLEnt	v1.1	25192322	6517337	16131	.06	.24
