corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
OpenSubtitles	v2018	OpenSubtitles	v2016	1844943	1776057	1763677	95.59	99.30
OpenSubtitles	v2018	OpenSubtitles	v2013	1844943	1383415	874458	47.39	63.21
OpenSubtitles	v2018	OpenSubtitles	v2012	1844943	818853	724227	39.25	88.44
OpenSubtitles	v2018	NLLB	v1	1844943	40936937	27406	1.48	.06
OpenSubtitles	v2018	CCMatrix	v1	1844943	23547846	13552	.73	.05
OpenSubtitles	v2018	QED	v2.0a	1844943	130664	10059	.54	7.69
OpenSubtitles	v2018	MultiCCAligned	v1.1	1844943	2264875	3709	.20	.16
OpenSubtitles	v2018	MultiCCAligned	v1	1844943	2264875	3709	.20	.16
OpenSubtitles	v2018	CCAligned	v1	1844943	2264874	3709	.20	.16
OpenSubtitles	v2018	HPLT	v1	1844943	1572926	1307	.07	.08
OpenSubtitles	v2018	MultiHPLT	v1	1844943	1572926	1307	.07	.08
OpenSubtitles	v2018	MaCoCu	v2	1844943	525263	1464	.07	.27
OpenSubtitles	v2018	MultiMaCoCu	v2	1844943	525263	1464	.07	.27
OpenSubtitles	v2018	TED2020	v1	1844943	74344	1144	.06	1.53
OpenSubtitles	v2018	XLEnt	v1.1	1844943	1078510	1067	.05	.09
OpenSubtitles	v2018	XLEnt	v1	1844943	1078510	1067	.05	.09
OpenSubtitles	v2018	XLEnt	v1.2	1844943	1078510	1067	.05	.09
OpenSubtitles	v2018	NeuLab-TedTalks	v1	1844943	50789	797	.04	1.56
OpenSubtitles	v2018	wikimedia	v20230407	1844943	177639	212	.01	.11
OpenSubtitles	v2018	Mozilla-I10n	v1	1844943	47471	315	.01	.66
OpenSubtitles	v2018	Tatoeba	v2023-04-12	1844943	2657	278	.01	10.46
OpenSubtitles	v2018	Tatoeba	v2022-03-03	1844943	2622	271	.01	10.33
OpenSubtitles	v2018	Tatoeba	v2021-07-22	1844943	2619	271	.01	10.34
OpenSubtitles	v2018	Tatoeba	v2021-03-10	1844943	2562	270	.01	10.53
OpenSubtitles	v2018	Tatoeba	v2020-11-09	1844943	2557	270	.01	10.55
OpenSubtitles	v2018	Tatoeba	v2020-05-31	1844943	1404	213	.01	15.17
OpenSubtitles	v2018	Tatoeba	v20190709	1844943	1320	208	.01	15.75
OpenSubtitles	v2018	WikiMatrix	v1	1844943	661381	162	0	.02
OpenSubtitles	v2018	SETIMES	v2	1844943	241533	110	0	.04
OpenSubtitles	v2018	wikimedia	v20210402	1844943	109314	168	0	.15
OpenSubtitles	v2018	bible-uedin	v1	1844943	36530	51	0	.13
OpenSubtitles	v2018	Tanzil	v1	1844943	27356	44	0	.16
OpenSubtitles	v2018	ELRC-5067-SciPar	v1	1844943	8188	3	0	.03
OpenSubtitles	v2018	GlobalVoices	v2017q3	1844943	6701	68	0	1.01
OpenSubtitles	v2018	GlobalVoices	v2018q4	1844943	6701	68	0	1.01
OpenSubtitles	v2018	wikimedia	v20190628	1844943	5743	38	0	.66
OpenSubtitles	v2018	EUbookshop	v2	1844943	3309	5	0	.15
OpenSubtitles	v2018	TildeMODEL	v2018	1844943	3047	9	0	.29
OpenSubtitles	v2018	GNOME	v1	1844943	1681	18	0	1.07
OpenSubtitles	v2018	ELRC_2922	v1	1844943	387	0	0	0
OpenSubtitles	v2018	ELRC-3052-wikipedia_health	v1	1844943	387	0	0	0
OpenSubtitles	v2018	ELRC-wikipedia_health	v1	1844943	387	0	0	0
OpenSubtitles	v2018	Tatoeba	v2	1844943	322	33	0	10.24
OpenSubtitles	v2018	Ubuntu	v14.10	1844943	46	1	0	2.17
