corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
PHP	v1	ELRC-4268-NTEU_TierA	v1	3258	12468100	28	.85	0
PHP	v1	TildeMODEL	v2018	3258	3185574	24	.73	0
PHP	v1	ELRC-2725-EMEA	v1	3258	752045	14	.42	0
PHP	v1	ELRC-EMEA	v1	3258	752045	14	.42	0
PHP	v1	CCAligned	v1	3258	12482304	13	.39	0
PHP	v1	DGT	v2019	3258	3635425	12	.36	0
PHP	v1	EMEA	v3	3258	347727	11	.33	0
PHP	v1	KDE4	v2	3258	192221	11	.33	0
PHP	v1	OpenSubtitles	v2018	3258	14904885	8	.24	0
PHP	v1	XLEnt	v1.1	3258	3403994	7	.21	0
PHP	v1	XLEnt	v1	3258	3403994	7	.21	0
PHP	v1	QED	v2.0a	3258	160782	5	.15	0
PHP	v1	CCMatrix	v1	3258	76586290	4	.12	0
PHP	v1	ELRC-1133-www.vtv.fi	v1	3258	46345	4	.12	0
PHP	v1	ELRC-www.vtv.fi	v1	3258	46345	4	.12	0
PHP	v1	ELRC-Swedish_Labour	v1	3258	2381	3	.09	.12
PHP	v1	ELRC-401-Swedish_Labour_Part2	v1	3258	1530	3	.09	.19
PHP	v1	EUbookshop	v2	3258	1753373	2	.06	0
PHP	v1	ELRC-2884-EU_publications_medi	v1	3258	13089	2	.06	.01
PHP	v1	ELRC-EU_publications	v1	3258	13089	2	.06	.01
PHP	v1	OpenSubtitles	v1	3258	298889	1	.03	0
PHP	v1	ELRC-1772-vnk.fi	v1	3258	33625	1	.03	0
PHP	v1	ELRC-vnk.fi	v1	3258	33625	1	.03	0
PHP	v1	OpenOffice	v2	3258	32770	1	.03	0
PHP	v1	ELRC-817-Swedish_Audit_Riksre	v1	3258	28944	1	.03	0
PHP	v1	Tatoeba	v2022-03-03	3258	26220	1	.03	0
PHP	v1	Tatoeba	v2021-07-22	3258	25865	1	.03	0
PHP	v1	Tatoeba	v2021-03-10	3258	25646	1	.03	0
PHP	v1	Tatoeba	v2020-11-09	3258	25493	1	.03	0
PHP	v1	Tatoeba	v2020-05-31	3258	25337	1	.03	0
PHP	v1	Tatoeba	v20190709	3258	25226	1	.03	0
PHP	v1	ELRC-3574-EUR_LEX_covid	v1	3258	22436	1	.03	0
PHP	v1	ELRC-EUR_LEX	v1	3258	22436	1	.03	0
PHP	v1	ELRC-928-Annual_Reports_Swedi	v1	3258	10224	1	.03	0
PHP	v1	ELRC-802-Swedish_Competition_	v1	3258	9354	1	.03	.01
PHP	v1	ELRC-417-Swedish_Work_Environ	v1	3258	6999	1	.03	.01
PHP	v1	Ubuntu	v14.10	3258	6832	1	.03	.01
PHP	v1	ParaCrawl	v9	3258	49109340	0	0	0
PHP	v1	Europarl	v8	3258	1846661	0	0	0
PHP	v1	ELRC-5067-SciPar	v1	3258	670816	0	0	0
PHP	v1	WikiMatrix	v1	3258	546289	0	0	0
PHP	v1	JRC-Acquis	v3.0	3258	493351	0	0	0
PHP	v1	ELITR-ECA	v1	3258	336379	0	0	0
PHP	v1	Tanzil	v1	3258	124111	0	0	0
PHP	v1	TED2020	v1	3258	117646	0	0	0
PHP	v1	bible-uedin	v1	3258	61422	0	0	0
PHP	v1	ELRC-1770-valtioneuvosto.fi	v1	3258	49084	0	0	0
PHP	v1	ELRC-valtioneuvosto.fi	v1	3258	49084	0	0	0
PHP	v1	ELRC-734-www.norden.org	v1	3258	37760	0	0	0
PHP	v1	ELRC-www.norden.org	v1	3258	37760	0	0	0
PHP	v1	WikiSource	v1	3258	32032	0	0	0
PHP	v1	wikimedia	v20210402	3258	29811	0	0	0
PHP	v1	ELRC-2037-www.vero.fi	v1	3258	22317	0	0	0
PHP	v1	ELRC-www.vero.fi	v1	3258	22317	0	0	0
PHP	v1	ELRC-2026-EUIPO_2017	v1	3258	16947	0	0	0
PHP	v1	ELRC-EUIPO_2017	v1	3258	16947	0	0	0
PHP	v1	infopankki	v1	3258	14749	0	0	0
PHP	v1	ELRC-1131-www.visitestonia.com	v1	3258	14329	0	0	0
PHP	v1	ELRC-www.visitestonia.com	v1	3258	14329	0	0	0
PHP	v1	Tatoeba	v2	3258	9815	0	0	0
PHP	v1	ELRC-2033-www.turku.fi	v1	3258	9704	0	0	0
PHP	v1	ELRC-www.turku.fi	v1	3258	9704	0	0	0
PHP	v1	GlobalVoices	v2018q4	3258	8383	0	0	0
PHP	v1	GlobalVoices	v2017q3	3258	8372	0	0	0
