corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ParaCrawl	v1	MultiParaCrawl	v7.1	607011	7005796	429129	70.69	6.12
ParaCrawl	v1	ParaCrawl	v7.1	607011	7005796	429129	70.69	6.12
ParaCrawl	v1	ParaCrawl	v4	607011	2270479	393570	64.83	17.33
ParaCrawl	v1	MultiParaCrawl	v5	607011	3145158	361055	59.48	11.47
ParaCrawl	v1	ParaCrawl	v5	607011	3145158	361055	59.48	11.47
ParaCrawl	v1	MultiParaCrawl	v8	607011	12117133	267364	44.04	2.20
ParaCrawl	v1	ParaCrawl	v8	607011	12117133	267364	44.04	2.20
ParaCrawl	v1	MultiParaCrawl	v9	607011	23564667	246517	40.61	1.04
ParaCrawl	v1	MultiParaCrawl	v9b	607011	23564667	246517	40.61	1.04
ParaCrawl	v1	ParaCrawl	v9	607011	23564667	246517	40.61	1.04
ParaCrawl	v1	CCMatrix	v1	607011	90112514	159765	26.31	.17
ParaCrawl	v1	NLLB	v1	607011	89449785	159212	26.22	.17
ParaCrawl	v1	HPLT	v1	607011	21528012	66033	10.87	.30
ParaCrawl	v1	MultiHPLT	v1	607011	21528012	66033	10.87	.30
ParaCrawl	v1	MultiCCAligned	v1.1	607011	9480576	54168	8.92	.57
ParaCrawl	v1	MultiCCAligned	v1	607011	9480576	54168	8.92	.57
ParaCrawl	v1	CCAligned	v1	607011	9480563	54168	8.92	.57
ParaCrawl	v1	ELRC-4239-NTEU_TierA	v1	607011	11858666	14545	2.39	.12
ParaCrawl	v1	ELRC-4258-NTEU_TierA	v1	607011	10765638	12326	2.03	.11
ParaCrawl	v1	bible-uedin	v1	607011	37625	11364	1.87	30.20
ParaCrawl	v1	OpenSubtitles	v2018	607011	24490002	11298	1.86	.04
ParaCrawl	v1	TildeMODEL	v2018	607011	3132334	10960	1.80	.34
ParaCrawl	v1	OpenSubtitles	v2016	607011	18181655	10451	1.72	.05
ParaCrawl	v1	OpenSubtitles	v2012	607011	10483596	8741	1.44	.08
ParaCrawl	v1	OpenSubtitles	v2013	607011	6836855	7593	1.25	.11
ParaCrawl	v1	ELRC-4249-NTEU_TierA	v1	607011	10446434	6269	1.03	.06
ParaCrawl	v1	fiskmo	v2	607011	1454348	6269	1.03	.43
ParaCrawl	v1	ELRC-4166-NTEU_TierA	v1	607011	9274676	5810	.95	.06
ParaCrawl	v1	ELRC-4147-NTEU_TierA	v1	607011	8891705	5475	.90	.06
ParaCrawl	v1	ELRC-4272-NTEU_TierA	v1	607011	8817721	5463	.89	.06
ParaCrawl	v1	ELRC-4168-NTEU_TierA	v1	607011	8778638	5424	.89	.06
ParaCrawl	v1	ELRC-4196-NTEU_TierA	v1	607011	8738282	5425	.89	.06
ParaCrawl	v1	ELRC-4275-NTEU_TierA	v1	607011	8773018	5335	.87	.06
ParaCrawl	v1	ELRC-4259-NTEU_TierA	v1	607011	7848831	5165	.85	.06
ParaCrawl	v1	ELRC-4252-NTEU_TierA	v1	607011	5170538	4280	.70	.08
ParaCrawl	v1	ELRC-4267-NTEU_TierA	v1	607011	5158704	4264	.70	.08
ParaCrawl	v1	ELRC-4141-NTEU_TierA	v1	607011	5155544	4309	.70	.08
ParaCrawl	v1	ELRC-4156-NTEU_TierA	v1	607011	5141225	4297	.70	.08
ParaCrawl	v1	ELRC-4187-NTEU_TierA	v1	607011	5137691	4275	.70	.08
ParaCrawl	v1	ELRC-4221-NTEU_TierA	v1	607011	5123180	4276	.70	.08
ParaCrawl	v1	ELRC-4179-NTEU_TierA	v1	607011	5096137	4283	.70	.08
ParaCrawl	v1	ELRC-4134-NTEU_TierA	v1	607011	5055360	4280	.70	.08
ParaCrawl	v1	ELRC-4263-NTEU_TierA	v1	607011	3664786	3631	.59	.09
ParaCrawl	v1	ELRC-4261-NTEU_TierA	v1	607011	3872486	3574	.58	.09
ParaCrawl	v1	ELRC-4287-NTEU_TierA	v1	607011	3618893	3428	.56	.09
ParaCrawl	v1	XLEnt	v1.1	607011	2215119	2896	.47	.13
ParaCrawl	v1	XLEnt	v1.2	607011	2215119	2896	.47	.13
ParaCrawl	v1	XLEnt	v1	607011	2215119	2896	.47	.13
ParaCrawl	v1	OpenSubtitles	v1	607011	411569	2720	.44	.66
ParaCrawl	v1	EUbookshop	v2	607011	2740373	2625	.43	.09
ParaCrawl	v1	Finlex	v2018	607011	2099829	2474	.40	.11
ParaCrawl	v1	LinguaTools-WikiTitles	v2014	607011	576838	1985	.32	.34
ParaCrawl	v1	JRC-Acquis	v3.0	607011	708139	1665	.27	.23
ParaCrawl	v1	ELRC-4150-NTEU_TierA	v1	607011	1340875	1630	.26	.12
ParaCrawl	v1	DGT	v4	607011	1828706	1578	.25	.08
ParaCrawl	v1	QED	v2.0a	607011	144438	1454	.23	1.00
ParaCrawl	v1	EOPC	v2022	607011	404916	1320	.21	.32
ParaCrawl	v1	EMEA	v3	607011	334701	1253	.20	.37
ParaCrawl	v1	Tatoeba	v2023-04-12	607011	147430	1248	.20	.84
ParaCrawl	v1	Tatoeba	v2022-03-03	607011	141275	1217	.20	.86
ParaCrawl	v1	Europarl	v8	607011	2099783	1158	.19	.05
ParaCrawl	v1	Europarl	v7	607011	2099779	1155	.19	.05
ParaCrawl	v1	Tatoeba	v2021-03-10	607011	125482	1141	.18	.90
ParaCrawl	v1	Tatoeba	v2021-07-22	607011	122865	1111	.18	.90
ParaCrawl	v1	Tatoeba	v2020-11-09	607011	119622	1113	.18	.93
ParaCrawl	v1	Tatoeba	v2020-05-31	607011	116093	1077	.17	.92
ParaCrawl	v1	Europarl	v3	607011	1366473	926	.15	.06
ParaCrawl	v1	ELRC-4167-NTEU_TierA	v1	607011	259244	962	.15	.37
ParaCrawl	v1	Tatoeba	v20190709	607011	99122	958	.15	.96
ParaCrawl	v1	WikiMatrix	v1	607011	5715458	863	.14	.01
ParaCrawl	v1	KDE4	v2	607011	79711	748	.12	.93
ParaCrawl	v1	Mozilla-I10n	v1	607011	37240	680	.11	1.82
ParaCrawl	v1	infopankki	v1	607011	21241	683	.11	3.21
ParaCrawl	v1	ELRC-EMEA	v1	607011	704943	584	.09	.08
ParaCrawl	v1	ELRC-2708-EMEA	v1	607011	704942	584	.09	.08
ParaCrawl	v1	ECB	v1	607011	315243	562	.09	.17
ParaCrawl	v1	ELRA-W0217	v1	607011	9678	497	.08	5.13
ParaCrawl	v1	ELRC-716-Finnish_Information_	v1	607011	9678	497	.08	5.13
ParaCrawl	v1	ELRC-Finnish_Information	v1	607011	9678	497	.08	5.13
ParaCrawl	v1	TED2020	v1	607011	49497	429	.07	.86
ParaCrawl	v1	wikimedia	v20230407	607011	83554	383	.06	.45
ParaCrawl	v1	ELRC-5179-acts_Ukrainian	v1	607011	124339	329	.05	.26
ParaCrawl	v1	wikimedia	v20210402	607011	63861	349	.05	.54
ParaCrawl	v1	NeuLab-TedTalks	v1	607011	29992	296	.04	.98
ParaCrawl	v1	Tatoeba	v2	607011	21591	268	.04	1.24
ParaCrawl	v1	ELRC-1769-valtioneuvosto.fi	v1	607011	48797	218	.03	.44
ParaCrawl	v1	ELRA-W0221	v1	607011	31293	224	.03	.71
ParaCrawl	v1	ELRC-725-Hallituskausi_2011_2	v1	607011	31293	224	.03	.71
ParaCrawl	v1	wikimedia	v20190628	607011	9513	191	.03	2.00
ParaCrawl	v1	EUconst	v1	607011	6591	241	.03	3.65
ParaCrawl	v1	ELITR-ECA	v1	607011	6011	184	.03	3.06
ParaCrawl	v1	ELRA-W0220	v1	607011	55330	171	.02	.30
ParaCrawl	v1	ELRC-724-Hallituskausi_2007_2	v1	607011	55330	171	.02	.30
ParaCrawl	v1	ELRC-1771-vnk.fi	v1	607011	31353	127	.02	.40
ParaCrawl	v1	ELRC-2032-www.turku.fi	v1	607011	17187	148	.02	.86
ParaCrawl	v1	ELRC-5067-SciPar	v1	607011	457686	82	.01	.01
ParaCrawl	v1	ELRC-735-www.norden.org	v1	607011	42408	81	.01	.19
ParaCrawl	v1	ELRC-www.norden.org	v1	607011	42408	81	.01	.19
ParaCrawl	v1	ELRC-1127-www.vtv.fi	v1	607011	40951	95	.01	.23
ParaCrawl	v1	ELRC-2017-EUIPO_2017	v1	607011	16753	67	.01	.39
ParaCrawl	v1	ELRC-EUIPO_2017	v1	607011	16753	67	.01	.39
ParaCrawl	v1	ELRC-1128-www.visitestonia.com	v1	607011	14484	77	.01	.53
ParaCrawl	v1	ELRC-www.visitestonia.com	v1	607011	14484	77	.01	.53
ParaCrawl	v1	ELRC-2869-EU_publications_medi	v1	607011	12873	62	.01	.48
ParaCrawl	v1	ELRC-EU_publications	v1	607011	12873	62	.01	.48
ParaCrawl	v1	ELRC-3559-EUR_LEX_covid	v1	607011	21544	10	0	.04
ParaCrawl	v1	ELRC-EUR_LEX	v1	607011	21544	10	0	.04
ParaCrawl	v1	ELRC-2036-www.vero.fi	v1	607011	20782	60	0	.28
ParaCrawl	v1	MPC1	v1	607011	7537	49	0	.65
ParaCrawl	v1	ELRC-presscorner_covid	v1	607011	6727	10	0	.14
ParaCrawl	v1	Books	v1	607011	3727	26	0	.69
ParaCrawl	v1	ELRC_3382	v1	607011	3351	2	0	.05
ParaCrawl	v1	ECDC	v2016-03-16	607011	2647	49	0	1.85
ParaCrawl	v1	ELRC-3458-EC_EUROPA_covid	v1	607011	2530	17	0	.67
ParaCrawl	v1	ELRC-EC_EUROPA	v1	607011	2530	17	0	.67
ParaCrawl	v1	WMT-News	v2019	607011	1370	0	0	0
ParaCrawl	v1	ELRC-4995-Finnish_Financial_MT	v1	607011	998	1	0	.10
ParaCrawl	v1	DGT	v2019	607011	950	23	0	2.42
