corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ParaCrawl	v4	ParaCrawl	v5	3456794	6027448	2972473	85.98	49.31
ParaCrawl	v4	MultiParaCrawl	v7.1	3456794	11645803	2338258	67.64	20.07
ParaCrawl	v4	ParaCrawl	v7.1	3456794	11645802	2304402	66.66	19.78
ParaCrawl	v4	ParaCrawl	v8	3456794	44066654	1230957	35.60	2.79
ParaCrawl	v4	ParaCrawl	v9	3456794	49109340	1207947	34.94	2.45
ParaCrawl	v4	CCMatrix	v1	3456794	76586290	302377	8.74	.39
ParaCrawl	v4	NLLB	v1	3456794	76584927	302388	8.74	.39
ParaCrawl	v4	MultiCCAligned	v1	3456794	12482516	80080	2.31	.64
ParaCrawl	v4	CCAligned	v1	3456794	12482304	80078	2.31	.64
ParaCrawl	v4	ELRC-4268-NTEU_TierA	v1	3456794	12468100	12363	.35	.09
ParaCrawl	v4	bible-uedin	v1	3456794	61422	9256	.26	15.06
ParaCrawl	v4	TildeMODEL	v2018	3456794	3185574	7875	.22	.24
ParaCrawl	v4	WikiSource	v1	3456794	32032	3596	.10	11.22
ParaCrawl	v4	infopankki	v1	3456794	14749	2995	.08	20.30
ParaCrawl	v4	DGT	v2019	3456794	3635425	2209	.06	.06
ParaCrawl	v4	DGT	v4	3456794	1968717	2161	.06	.10
ParaCrawl	v4	ELRC-744-Finnish_Information_	v1	3456794	6818	2306	.06	33.82
ParaCrawl	v4	ELRC-Finnish_Information	v1	3456794	6818	2306	.06	33.82
ParaCrawl	v4	ELRA-W0222	v1	3456794	6817	2282	.06	33.47
ParaCrawl	v4	OpenSubtitles	v2018	3456794	14904885	424	.01	0
ParaCrawl	v4	OpenSubtitles	v2016	3456794	10237744	340	0	0
ParaCrawl	v4	LinguaTools-WikiTitles	v2014	3456794	7759117	60	0	0
ParaCrawl	v4	XLEnt	v1.1	3456794	3403994	64	0	0
ParaCrawl	v4	XLEnt	v1.2	3456794	3403994	64	0	0
ParaCrawl	v4	XLEnt	v1	3456794	3403994	64	0	0
ParaCrawl	v4	Europarl	v8	3456794	1846661	115	0	0
ParaCrawl	v4	Europarl	v7	3456794	1846286	115	0	0
ParaCrawl	v4	EUbookshop	v2	3456794	1753373	204	0	.01
ParaCrawl	v4	Europarl	v3	3456794	1136242	60	0	0
ParaCrawl	v4	ELRC-2725-EMEA	v1	3456794	752045	17	0	0
ParaCrawl	v4	ELRC-EMEA	v1	3456794	752045	17	0	0
ParaCrawl	v4	ELRC-5067-SciPar	v1	3456794	670816	24	0	0
ParaCrawl	v4	WikiMatrix	v1	3456794	546289	25	0	0
ParaCrawl	v4	JRC-Acquis	v3.0	3456794	493351	185	0	.03
ParaCrawl	v4	EMEA	v3	3456794	347727	9	0	0
ParaCrawl	v4	ELITR-ECA	v1	3456794	336379	3	0	0
ParaCrawl	v4	OpenSubtitles	v1	3456794	298889	29	0	0
ParaCrawl	v4	KDE4	v2	3456794	192221	11	0	0
ParaCrawl	v4	QED	v2.0a	3456794	160782	19	0	.01
ParaCrawl	v4	Tanzil	v1	3456794	124111	117	0	.09
ParaCrawl	v4	TED2020	v1	3456794	117646	23	0	.01
ParaCrawl	v4	NeuLab-TedTalks	v1	3456794	67599	15	0	.02
ParaCrawl	v4	wikimedia	v20230407	3456794	59125	0	0	0
ParaCrawl	v4	ELRC-1770-valtioneuvosto.fi	v1	3456794	49084	223	0	.45
ParaCrawl	v4	ELRC-1133-www.vtv.fi	v1	3456794	46345	2	0	0
ParaCrawl	v4	ELRC-734-www.norden.org	v1	3456794	37760	17	0	.04
ParaCrawl	v4	ELRC-www.norden.org	v1	3456794	37760	17	0	.04
ParaCrawl	v4	ELRC-1772-vnk.fi	v1	3456794	33625	29	0	.08
ParaCrawl	v4	OpenOffice	v2	3456794	32770	1	0	0
ParaCrawl	v4	wikimedia	v20210402	3456794	29811	0	0	0
ParaCrawl	v4	ELRC-817-Swedish_Audit_Riksre	v1	3456794	28944	129	0	.44
ParaCrawl	v4	Tatoeba	v2023-04-12	3456794	26957	21	0	.07
ParaCrawl	v4	Tatoeba	v2022-03-03	3456794	26220	20	0	.07
ParaCrawl	v4	Tatoeba	v2021-07-22	3456794	25865	20	0	.07
ParaCrawl	v4	Tatoeba	v2021-03-10	3456794	25646	20	0	.07
ParaCrawl	v4	Tatoeba	v2020-11-09	3456794	25493	20	0	.07
ParaCrawl	v4	Tatoeba	v2020-05-31	3456794	25337	19	0	.07
ParaCrawl	v4	Tatoeba	v20190709	3456794	25226	19	0	.07
ParaCrawl	v4	ELRC-EUR_LEX	v1	3456794	22436	6	0	.02
