corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ParaCrawl	v4	MultiParaCrawl	v5	12842958	22004783	11300950	87.99	51.35
ParaCrawl	v4	ParaCrawl	v5	12842958	22004783	11300950	87.99	51.35
ParaCrawl	v4	MultiParaCrawl	v7.1	12842958	39257674	10224163	79.60	26.04
ParaCrawl	v4	ParaCrawl	v7.1	12842958	39257674	10224163	79.60	26.04
ParaCrawl	v4	MultiParaCrawl	v8	12842958	85374905	6387864	49.73	7.48
ParaCrawl	v4	ParaCrawl	v8	12842958	85374905	6387864	49.73	7.48
ParaCrawl	v4	ParaCrawl	v1	12842958	8109947	5218316	40.63	64.34
ParaCrawl	v4	MultiParaCrawl	v9	12842958	81712132	5067365	39.45	6.20
ParaCrawl	v4	MultiParaCrawl	v9b	12842958	81712132	5067365	39.45	6.20
ParaCrawl	v4	ParaCrawl	v9	12842958	81712132	5067365	39.45	6.20
ParaCrawl	v4	CCMatrix	v1	12842958	341802613	2713149	21.12	.79
ParaCrawl	v4	NLLB	v1	12842958	341230483	2712571	21.12	.79
ParaCrawl	v4	MultiCCAligned	v1.1	12842958	54679959	1059249	8.24	1.93
ParaCrawl	v4	MultiCCAligned	v1	12842958	54679959	1059249	8.24	1.93
ParaCrawl	v4	CCAligned	v1	12842958	54679929	1059247	8.24	1.93
ParaCrawl	v4	OpenSubtitles	v2018	12842958	39284521	33442	.26	.08
ParaCrawl	v4	OpenSubtitles	v2016	12842958	29541858	30297	.23	.10
ParaCrawl	v4	OpenSubtitles	v2012	12842958	10571066	21903	.17	.20
ParaCrawl	v4	OpenSubtitles	v2013	12842958	9810748	20560	.16	.20
ParaCrawl	v4	ELRC-4238-NTEU_TierA	v1	12842958	12497652	13150	.10	.10
ParaCrawl	v4	TildeMODEL	v2018	12842958	3958091	13996	.10	.35
ParaCrawl	v4	ELRC-4205-NTEU_TierA	v1	12842958	9413424	11795	.09	.12
ParaCrawl	v4	ELRC-4272-NTEU_TierA	v1	12842958	8972931	11247	.08	.12
ParaCrawl	v4	ELRC-4210-NTEU_TierA	v1	12842958	6094931	10090	.07	.16
ParaCrawl	v4	ELRC-4177-NTEU_TierA	v1	12842958	6025063	10088	.07	.16
ParaCrawl	v4	ELRC-4139-NTEU_TierA	v1	12842958	5654872	9591	.07	.16
ParaCrawl	v4	ELRC-4191-NTEU_TierA	v1	12842958	5361896	9264	.07	.17
ParaCrawl	v4	WikiMatrix	v1	12842958	11591297	7470	.05	.06
ParaCrawl	v4	EUbookshop	v2	12842958	8655670	5226	.04	.06
ParaCrawl	v4	XLEnt	v1.1	12842958	4941805	6254	.04	.12
ParaCrawl	v4	XLEnt	v1	12842958	4941805	6254	.04	.12
ParaCrawl	v4	XLEnt	v1.2	12842958	4941805	6254	.04	.12
ParaCrawl	v4	LinguaTools-WikiTitles	v2014	12842958	1683454	5294	.04	.31
ParaCrawl	v4	Tatoeba	v2023-04-12	12842958	820741	5384	.04	.65
ParaCrawl	v4	Tatoeba	v2022-03-03	12842958	786736	5226	.04	.66
ParaCrawl	v4	QED	v2.0a	12842958	773141	6392	.04	.82
ParaCrawl	v4	Tatoeba	v2021-03-10	12842958	766261	5140	.04	.67
ParaCrawl	v4	Tatoeba	v2021-07-22	12842958	761125	5138	.04	.67
ParaCrawl	v4	JRC-Acquis	v3.0	12842958	2021579	4453	.03	.22
ParaCrawl	v4	DGT	v4	12842958	1893963	4318	.03	.22
ParaCrawl	v4	ELRC-4174-NTEU_TierA	v1	12842958	1370571	4713	.03	.34
ParaCrawl	v4	Tatoeba	v2020-11-09	12842958	756382	5114	.03	.67
ParaCrawl	v4	Tatoeba	v2020-05-31	12842958	738622	5083	.03	.68
ParaCrawl	v4	Tatoeba	v20190709	12842958	708047	4956	.03	.69
ParaCrawl	v4	bible-uedin	v1	12842958	37732	5048	.03	13.37
ParaCrawl	v4	TED2020	v1	12842958	394583	2729	.02	.69
ParaCrawl	v4	Tanzil	v1	12842958	10123	2718	.02	26.84
ParaCrawl	v4	Europarl	v8	12842958	2062568	2357	.01	.11
ParaCrawl	v4	Europarl	v7	12842958	2062238	2352	.01	.11
ParaCrawl	v4	Europarl	v3	12842958	1367344	1808	.01	.13
ParaCrawl	v4	Wikipedia	v1.0	12842958	1067797	1609	.01	.15
ParaCrawl	v4	wikimedia	v20230407	12842958	1000664	2148	.01	.21
ParaCrawl	v4	wikimedia	v20210402	12842958	630503	1728	.01	.27
ParaCrawl	v4	NeuLab-TedTalks	v1	12842958	239715	1942	.01	.81
ParaCrawl	v4	Tatoeba	v2	12842958	170202	2093	.01	1.22
ParaCrawl	v4	ELRC-2410-Portal_oficial_turis	v1	12842958	129413	2267	.01	1.75
ParaCrawl	v4	OpenSubtitles	v1	12842958	71767	2171	.01	3.02
ParaCrawl	v4	ELRC-2710-EMEA	v1	12842958	742096	720	0	.09
ParaCrawl	v4	ELRC-EMEA	v1	12842958	742096	720	0	.09
ParaCrawl	v4	ECB	v1	12842958	358738	362	0	.10
ParaCrawl	v4	EMEA	v3	12842958	338823	1150	0	.33
ParaCrawl	v4	ELRC-1123-CORDIS_Results_Brief	v1	12842958	253268	28	0	.01
ParaCrawl	v4	ELRC-CORDIS_Results	v1	12842958	253268	28	0	.01
ParaCrawl	v4	KDE4	v2	12842958	177694	1180	0	.66
ParaCrawl	v4	TED2013	v1.1	12842958	157738	1174	0	.74
ParaCrawl	v4	GlobalVoices	v2018q4	12842958	145225	705	0	.48
ParaCrawl	v4	ELRC-5179-acts_Ukrainian	v1	12842958	127255	1070	0	.84
ParaCrawl	v4	ELRC-1119-CORDIS_News	v1	12842958	123692	113	0	.09
ParaCrawl	v4	ELRC-CORDIS_News	v1	12842958	123692	113	0	.09
ParaCrawl	v4	GlobalVoices	v2017q3	12842958	114195	580	0	.50
ParaCrawl	v4	News-Commentary	v16	12842958	97984	1129	0	1.15
ParaCrawl	v4	GlobalVoices	v2015	12842958	95296	506	0	.53
ParaCrawl	v4	News-Commentary	v14	12842958	85563	1107	0	1.29
ParaCrawl	v4	ELRC-EUIPO_list	v1	12842958	54018	91	0	.16
ParaCrawl	v4	Mozilla-I10n	v1	12842958	51062	1061	0	2.07
ParaCrawl	v4	News-Commentary	v11	12842958	49498	886	0	1.78
ParaCrawl	v4	ELRA-W0151	v1	12842958	44854	63	0	.14
ParaCrawl	v4	ELRC-1102-EUIPO_list	v1	12842958	44854	63	0	.14
ParaCrawl	v4	ELRA-W0152	v1	12842958	44242	70	0	.15
ParaCrawl	v4	ELRC-1104-EUIPO_list	v1	12842958	44242	70	0	.15
ParaCrawl	v4	Books	v1	12842958	35486	242	0	.68
ParaCrawl	v4	ELRC-1078-EUIPO_law	v1	12842958	35060	114	0	.32
ParaCrawl	v4	ELRC-EUIPO_law	v1	12842958	35060	114	0	.32
ParaCrawl	v4	ELRA-W0150	v1	12842958	34866	64	0	.18
ParaCrawl	v4	ELRC-1101-EUIPO_list	v1	12842958	34866	64	0	.18
ParaCrawl	v4	News-Commentary	v9.0	12842958	33656	78	0	.23
ParaCrawl	v4	News-Commentary	v9.1	12842958	33656	191	0	.56
ParaCrawl	v4	ELRC-5067-SciPar	v1	12842958	31608	45	0	.14
ParaCrawl	v4	ELRC-1945-Italian_legal_termin	v1	12842958	31583	868	0	2.74
ParaCrawl	v4	ELRA-W0146	v1	12842958	29693	42	0	.14
ParaCrawl	v4	ELRC-1095-EUIPO_list	v1	12842958	29693	42	0	.14
ParaCrawl	v4	ELRC-3561-EUR_LEX_covid	v1	12842958	22451	30	0	.13
ParaCrawl	v4	ELRC-EUR_LEX	v1	12842958	22451	30	0	.13
ParaCrawl	v4	ELRC-1973-Italian_legal_termin	v1	12842958	17953	905	0	5.04
ParaCrawl	v4	ELRC-2020-EUIPO_2017	v1	12842958	17181	70	0	.40
ParaCrawl	v4	ELRC-EUIPO_2017	v1	12842958	17181	70	0	.40
ParaCrawl	v4	ELRC-2871-EU_publications_medi	v1	12842958	13065	86	0	.65
ParaCrawl	v4	ELRC-EU_publications	v1	12842958	13065	86	0	.65
ParaCrawl	v4	wikimedia	v20190628	12842958	10695	104	0	.97
ParaCrawl	v4	ELITR-ECA	v1	12842958	10220	319	0	3.12
ParaCrawl	v4	KDEdoc	v1	12842958	8604	134	0	1.55
ParaCrawl	v4	EUconst	v1	12842958	6749	231	0	3.42
ParaCrawl	v4	ELRC-presscorner_covid	v1	12842958	6695	15	0	.22
ParaCrawl	v4	ELRC-5219-COVID_19_Parallel	v1	12842958	4068	21	0	.51
ParaCrawl	v4	ELRC_3382	v1	12842958	3701	10	0	.27
ParaCrawl	v4	GNOME	v1	12842958	3636	118	0	3.24
ParaCrawl	v4	ELRC-1255-government_websites_	v1	12842958	3334	42	0	1.25
ParaCrawl	v4	ELRC-government_websites	v1	12842958	3334	42	0	1.25
ParaCrawl	v4	ELRC_2922	v1	12842958	3195	5	0	.15
ParaCrawl	v4	ELRC-3054-wikipedia_health	v1	12842958	3195	5	0	.15
ParaCrawl	v4	ELRC-wikipedia_health	v1	12842958	3195	5	0	.15
ParaCrawl	v4	ELRC-3460-EC_EUROPA_covid	v1	12842958	2792	16	0	.57
ParaCrawl	v4	ELRC-EC_EUROPA	v1	12842958	2792	16	0	.57
ParaCrawl	v4	ECDC	v2016-03-16	12842958	2458	40	0	1.62
ParaCrawl	v4	ELRC-Localidades_2007	v1	12842958	1648	0	0	0
ParaCrawl	v4	ELRC-2615-Localidades_2007_Par	v1	12842958	1645	0	0	0
ParaCrawl	v4	ELRC-837-Legal	v1	12842958	1618	201	0	12.42
ParaCrawl	v4	ELRC-Artigos_visitportuga	v1	12842958	1390	3	0	.21
ParaCrawl	v4	ELRC-2613-Artigos_visitportuga	v1	12842958	1389	3	0	.21
ParaCrawl	v4	DGT	v2019	12842958	951	17	0	1.78
ParaCrawl	v4	ELRC-Museus_2007	v1	12842958	938	8	0	.85
ParaCrawl	v4	ELRC-2617-Museus_2007_Part2	v1	12842958	936	8	0	.85
ParaCrawl	v4	ELRC-3198-antibiotic	v1	12842958	933	6	0	.64
ParaCrawl	v4	ELRC-antibiotic	v1	12842958	933	6	0	.64
ParaCrawl	v4	ELRC-845-Corpora_legal_text	v1	12842958	916	140	0	15.28
ParaCrawl	v4	ELRC-420-Audioguide_Military_	v1	12842958	876	3	0	.34
ParaCrawl	v4	ELRC-3289-EUROPARL_covid	v1	12842958	617	3	0	.48
ParaCrawl	v4	ELRC-EUROPARL_covid	v1	12842958	617	3	0	.48
ParaCrawl	v4	ELRC-2642-Praias_2007_Part2	v1	12842958	613	1	0	.16
ParaCrawl	v4	ELRC-Praias_2007	v1	12842958	613	1	0	.16
ParaCrawl	v4	ELRC_2923	v1	12842958	524	3	0	.57
ParaCrawl	v4	WMT-News	v2019	12842958	502	1	0	.19
ParaCrawl	v4	ELRC-2743-vaccination	v1	12842958	480	3	0	.62
ParaCrawl	v4	ELRC-vaccination	v1	12842958	480	3	0	.62
ParaCrawl	v4	ELRC-844-PAeSI__Administratio	v1	12842958	330	7	0	2.12
ParaCrawl	v4	ELRC-2611-localidades_alentejo	v1	12842958	305	0	0	0
ParaCrawl	v4	ELRC-Parques_e	v1	12842958	237	0	0	0
ParaCrawl	v4	ELRC-2640-Parques_e_reservas	v1	12842958	236	0	0	0
ParaCrawl	v4	ELRC-2624-Arquitectura_2007_Pa	v1	12842958	131	0	0	0
ParaCrawl	v4	ELRC-Arquitectura_2007	v1	12842958	131	0	0	0
ParaCrawl	v4	ELRC-832-CHARTER_VALUES_CITIZ	v1	12842958	118	29	0	24.57
ParaCrawl	v4	ELRC-416-Swedish_Social_Secur	v1	12842958	80	8	0	10.00
ParaCrawl	v4	ELRC_416	v1	12842958	80	8	0	10.00
ParaCrawl	v4	ELRC-2625-Patrimnio_Aores_2006	v1	12842958	62	0	0	0
ParaCrawl	v4	ELRC-Patrimnio_Aores	v1	12842958	62	0	0	0
ParaCrawl	v4	ELRC-5220-Information_crime_vi	v1	12842958	55	0	0	0
ParaCrawl	v4	Ubuntu	v14.10	12842958	45	1	0	2.22
ParaCrawl	v4	ELRC-637-SIP	v1	12842958	43	1	0	2.32
ParaCrawl	v4	ELRA-W0301	v1	12842958	24	0	0	0
ParaCrawl	v4	ELRC-403-Rights_Arrested	v1	12842958	24	0	0	0
ParaCrawl	v4	ELRC-2638-monumentos_2007	v1	12842958	9	0	0	0
ParaCrawl	v4	ELRC-2616-Museus_2007	v1	12842958	5	1	0	20.00
ParaCrawl	v4	ELRC-2614-Localidades_2007	v1	12842958	3	0	0	0
ParaCrawl	v4	ELRC-2481-Constituio_da_Repbli	v1	12842958	2	0	0	0
ParaCrawl	v4	ELRC-2478-Glossrio_PT_EN	v1	12842958	1	0	0	0
ParaCrawl	v4	ELRC-2480-Estatuto_dos_Deputad	v1	12842958	1	0	0	0
ParaCrawl	v4	ELRC-2612-Artigos_visitportuga	v1	12842958	1	0	0	0
ParaCrawl	v4	ELRC-2622-Arquitectura_2007	v1	12842958	1	0	0	0
ParaCrawl	v4	ELRC-2639-Parques_e_reservas	v1	12842958	1	0	0	0
