corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ParaCrawl	v7.1	MultiParaCrawl	v7.1	5364009	5364010	5177744	96.52	96.52
ParaCrawl	v7.1	ParaCrawl	v8	5364009	5364010	5177744	96.52	96.52
ParaCrawl	v7.1	ParaCrawl	v9	5364009	5364010	5177744	96.52	96.52
ParaCrawl	v7.1	ParaCrawl	v1	5364009	12015289	1164613	21.71	9.69
ParaCrawl	v7.1	MultiCCAligned	v1	5364009	68711166	378752	7.06	.55
ParaCrawl	v7.1	CCMatrix	v1	5364009	138875110	138367	2.57	.09
ParaCrawl	v7.1	NLLB	v1	5364009	138865867	138368	2.57	.09
ParaCrawl	v7.1	CCAligned	v1	5364009	13738750	131320	2.44	.95
ParaCrawl	v7.1	XLEnt	v1.1	5364009	7479613	11555	.21	.15
ParaCrawl	v7.1	XLEnt	v1.2	5364009	7479613	11555	.21	.15
ParaCrawl	v7.1	XLEnt	v1	5364009	7479613	11555	.21	.15
ParaCrawl	v7.1	LinguaTools-WikiTitles	v2014	5364009	13046006	10351	.19	.07
ParaCrawl	v7.1	UNPC	v1.0	5364009	19744553	7181	.13	.03
ParaCrawl	v7.1	MultiUN	v1	5364009	9466296	3451	.06	.03
ParaCrawl	v7.1	OpenSubtitles	v2018	5364009	21152745	3076	.05	.01
ParaCrawl	v7.1	OpenSubtitles	v2016	5364009	15393688	2683	.05	.01
ParaCrawl	v7.1	bible-uedin	v1	5364009	61559	2403	.04	3.90
ParaCrawl	v7.1	KDE4	v2	5364009	159404	1957	.03	1.22
ParaCrawl	v7.1	Tanzil	v1	5364009	1011655	954	.01	.09
ParaCrawl	v7.1	Tatoeba	v2023-04-12	5364009	540539	627	.01	.11
ParaCrawl	v7.1	Tatoeba	v2022-03-03	5364009	529043	621	.01	.11
ParaCrawl	v7.1	Tatoeba	v2021-07-22	5364009	523544	620	.01	.11
ParaCrawl	v7.1	QED	v2.0a	5364009	522751	670	.01	.12
ParaCrawl	v7.1	Tatoeba	v2021-03-10	5364009	519222	620	.01	.11
ParaCrawl	v7.1	Tatoeba	v2020-11-09	5364009	514093	620	.01	.12
ParaCrawl	v7.1	wikimedia	v20230407	5364009	506264	974	.01	.19
ParaCrawl	v7.1	Tatoeba	v2020-05-31	5364009	501391	617	.01	.12
ParaCrawl	v7.1	Tatoeba	v20190709	5364009	487111	608	.01	.12
ParaCrawl	v7.1	wikimedia	v20210402	5364009	316871	793	.01	.25
ParaCrawl	v7.1	WikiMatrix	v1	5364009	1661904	215	0	.01
ParaCrawl	v7.1	WikiTitles	v3	5364009	1123821	2	0	0
ParaCrawl	v7.1	Wikipedia	v1.0	5364009	541331	22	0	0
ParaCrawl	v7.1	TED2020	v1	5364009	380258	224	0	.05
ParaCrawl	v7.1	News-Commentary	v16	5364009	257993	92	0	.03
ParaCrawl	v7.1	News-Commentary	v14	5364009	257991	95	0	.03
ParaCrawl	v7.1	NeuLab-TedTalks	v1	5364009	216889	126	0	.05
ParaCrawl	v7.1	News-Commentary	v11	5364009	189831	85	0	.04
ParaCrawl	v7.1	News-Commentary	v9.0	5364009	163747	52	0	.03
ParaCrawl	v7.1	News-Commentary	v9.1	5364009	163747	52	0	.03
ParaCrawl	v7.1	GlobalVoices	v2018q4	5364009	162192	234	0	.14
ParaCrawl	v7.1	TED2013	v1.1	5364009	132726	96	0	.07
ParaCrawl	v7.1	GlobalVoices	v2017q3	5364009	126524	199	0	.15
ParaCrawl	v7.1	ELRC-5183-SciPar_Ukraine	v1	5364009	126237	46	0	.03
ParaCrawl	v7.1	Tatoeba	v2	5364009	97202	254	0	.26
ParaCrawl	v7.1	GlobalVoices	v2015	5364009	80717	146	0	.18
ParaCrawl	v7.1	UN	v20090831	5364009	58729	307	0	.52
ParaCrawl	v7.1	EUbookshop	v2	5364009	44969	155	0	.34
ParaCrawl	v7.1	WMT-News	v2019	5364009	24817	11	0	.04
ParaCrawl	v7.1	OpenSubtitles	v1	5364009	22333	131	0	.58
ParaCrawl	v7.1	infopankki	v1	5364009	20627	110	0	.53
ParaCrawl	v7.1	Books	v1	5364009	17255	35	0	.20
ParaCrawl	v7.1	TildeMODEL	v2018	5364009	10974	38	0	.34
ParaCrawl	v7.1	WMT-News	v2014	5364009	9003	9	0	.09
ParaCrawl	v7.1	Ubuntu	v14.10	5364009	6981	102	0	1.46
ParaCrawl	v7.1	ELRC-3075-wikipedia_health	v1	5364009	4073	2	0	.04
ParaCrawl	v7.1	ELRC-wikipedia_health	v1	5364009	4073	2	0	.04
ParaCrawl	v7.1	ELRC_2922	v1	5364009	4072	2	0	.04
ParaCrawl	v7.1	ada83	v1	5364009	3966	2	0	.05
ParaCrawl	v7.1	PHP	v1	5364009	3689	15	0	.40
ParaCrawl	v7.1	tico-19	v2020-10-28	5364009	3070	0	0	0
ParaCrawl	v7.1	ELRC-5067-SciPar	v1	5364009	3064	19	0	.62
ParaCrawl	v7.1	GNOME	v1	5364009	149	10	0	6.71
ParaCrawl	v7.1	ELRC-3855-SWPS_University_Soci	v1	5364009	109	2	0	1.83
