corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ParaCrawl	v8	MultiParaCrawl	v8	1613548	1613548	1613541	99.99	99.99
ParaCrawl	v8	MultiParaCrawl	v9	1613548	2767612	817670	50.67	29.54
ParaCrawl	v8	MultiParaCrawl	v9b	1613548	2767612	817670	50.67	29.54
ParaCrawl	v8	ParaCrawl	v9	1613548	2767612	817670	50.67	29.54
ParaCrawl	v8	MultiParaCrawl	v7.1	1613548	2333929	814145	50.45	34.88
ParaCrawl	v8	ParaCrawl	v7.1	1613548	2333929	814145	50.45	34.88
ParaCrawl	v8	MultiParaCrawl	v5	1613548	785536	314587	19.49	40.04
ParaCrawl	v8	ParaCrawl	v5	1613548	785536	314587	19.49	40.04
ParaCrawl	v8	ParaCrawl	v4	1613548	357070	195516	12.11	54.75
ParaCrawl	v8	NLLB	v1	1613548	7616151	168485	10.44	2.21
ParaCrawl	v8	HPLT	v1	1613548	949862	143384	8.88	15.09
ParaCrawl	v8	MultiHPLT	v1	1613548	949862	143384	8.88	15.09
ParaCrawl	v8	ELRC-4251-NTEU_TierA	v1	1613548	241900	35534	2.20	14.68
ParaCrawl	v8	ELRC-4167-NTEU_TierA	v1	1613548	263541	35361	2.19	13.41
ParaCrawl	v8	ELRC-4228-NTEU_TierA	v1	1613548	242953	35489	2.19	14.60
ParaCrawl	v8	ELRC-4164-NTEU_TierA	v1	1613548	238957	35356	2.19	14.79
ParaCrawl	v8	ELRC-4145-NTEU_TierA	v1	1613548	274155	35203	2.18	12.84
ParaCrawl	v8	ELRC-4160-NTEU_TierA	v1	1613548	263212	35167	2.17	13.36
ParaCrawl	v8	ELRC-4213-NTEU_TierA	v1	1613548	236526	31670	1.96	13.38
ParaCrawl	v8	ELRC-4242-NTEU_TierA	v1	1613548	169063	27562	1.70	16.30
ParaCrawl	v8	DGT	v4	1613548	38292	8698	.53	22.71
ParaCrawl	v8	EUbookshop	v2	1613548	116775	6586	.40	5.63
ParaCrawl	v8	ELRC-5179-acts_Ukrainian	v1	1613548	90319	2513	.15	2.78
ParaCrawl	v8	CCMatrix	v1	1613548	30874	1022	.06	3.31
ParaCrawl	v8	EUconst	v1	1613548	6815	893	.05	13.10
ParaCrawl	v8	KDE4	v2	1613548	80497	456	.02	.56
ParaCrawl	v8	wikimedia	v20230407	1613548	32428	335	.02	1.03
ParaCrawl	v8	XLEnt	v1.1	1613548	50823	264	.01	.51
ParaCrawl	v8	XLEnt	v1	1613548	50823	264	.01	.51
ParaCrawl	v8	XLEnt	v1.2	1613548	50823	264	.01	.51
ParaCrawl	v8	wikimedia	v20210402	1613548	17982	300	.01	1.66
ParaCrawl	v8	ELRC-2442-_Chonradh_Ginearlta	v1	1613548	7586	267	.01	3.51
ParaCrawl	v8	DGT	v2019	1613548	1405	173	.01	12.31
ParaCrawl	v8	ELRA-W0223	v1	1613548	66577	98	0	.14
ParaCrawl	v8	ELRC-781-Gaois_legislation	v1	1613548	66577	98	0	.14
ParaCrawl	v8	QED	v2.0a	1613548	20960	56	0	.26
ParaCrawl	v8	ELRC-5060-A_mix_annual	v1	1613548	7283	59	0	.81
ParaCrawl	v8	ELRC-2438-www.citizensinformat	v1	1613548	6648	133	0	2.00
ParaCrawl	v8	ELRC-2443-LithrenGrasinOG	v1	1613548	3682	34	0	.92
ParaCrawl	v8	ELRC-2414-Tuarasclaca_Bliantla	v1	1613548	3354	42	0	1.25
ParaCrawl	v8	Tatoeba	v2023-04-12	1613548	2888	50	0	1.73
ParaCrawl	v8	ELRC-2497-Tuarascil_Bhliantil_	v1	1613548	2809	59	0	2.10
ParaCrawl	v8	Tatoeba	v2022-03-03	1613548	2695	49	0	1.81
ParaCrawl	v8	Tatoeba	v2021-07-22	1613548	2422	49	0	2.02
ParaCrawl	v8	Tatoeba	v2021-03-10	1613548	2399	49	0	2.04
ParaCrawl	v8	Tatoeba	v2020-11-09	1613548	2372	49	0	2.06
ParaCrawl	v8	Tatoeba	v2020-05-31	1613548	2346	49	0	2.08
ParaCrawl	v8	Tatoeba	v20190709	1613548	2244	47	0	2.09
ParaCrawl	v8	ELRC-2441-_Chonradh_don	v1	1613548	2043	26	0	1.27
ParaCrawl	v8	ELRA-W0230	v1	1613548	1975	160	0	8.10
ParaCrawl	v8	ELRC-801-Coimisineir_Teanga_R	v1	1613548	1975	160	0	8.10
ParaCrawl	v8	ELRC-5136-Tuarasclacha_Bliantl	v1	1613548	1430	28	0	1.95
ParaCrawl	v8	ELRC-805-Udras_na_Gaeltachta	v1	1613548	1367	49	0	3.58
ParaCrawl	v8	ECDC	v2016-03-16	1613548	1355	23	0	1.69
ParaCrawl	v8	ELRC-5086-Intellectual_Propert	v1	1613548	1300	15	0	1.15
ParaCrawl	v8	ELRC-2506-Programme_Government	v1	1613548	1256	12	0	.95
ParaCrawl	v8	ELRC-5149-Tuarascil_Bhliantil_	v1	1613548	1168	42	0	3.59
ParaCrawl	v8	ELRC-2559-government_websites_	v1	1613548	1142	26	0	2.27
ParaCrawl	v8	ELRC-government_websites	v1	1613548	1142	26	0	2.27
ParaCrawl	v8	ELRC-2424-Preasritis_Gaois_Fio	v1	1613548	1107	19	0	1.71
ParaCrawl	v8	GNOME	v1	1613548	1096	38	0	3.46
ParaCrawl	v8	ELRA-W0224	v1	1613548	1077	118	0	10.95
ParaCrawl	v8	ELRC-784-Coimisineir_Teanga_R	v1	1613548	1077	118	0	10.95
ParaCrawl	v8	ELRC-5123-2020_Annual_Report	v1	1613548	911	58	0	6.36
ParaCrawl	v8	ELRC-2439-Ritis_Airgeadais_Oll	v1	1613548	733	61	0	8.32
ParaCrawl	v8	ELRC-5124-Government_Ireland_P	v1	1613548	614	61	0	9.93
ParaCrawl	v8	ELRC-5126-IRC_Early_Career	v1	1613548	554	96	0	17.32
ParaCrawl	v8	Tatoeba	v2	1613548	543	12	0	2.20
ParaCrawl	v8	ELRC-2469-Ritis_Airgeadais_Oif	v1	1613548	533	11	0	2.06
ParaCrawl	v8	ELRC-5145-Roinn_an_Dl	v1	1613548	493	50	0	10.14
ParaCrawl	v8	ELRC-5150-Language_Scheme_Cust	v1	1613548	487	18	0	3.69
ParaCrawl	v8	ELRC-2420-Press_Releases_Depar	v1	1613548	478	70	0	14.64
ParaCrawl	v8	ELRC-Press_Releases	v1	1613548	478	70	0	14.64
ParaCrawl	v8	ELRC-2867-EU_publications_medi	v1	1613548	467	28	0	5.99
ParaCrawl	v8	ELRC-EU_publications	v1	1613548	467	28	0	5.99
ParaCrawl	v8	ELRC-3557-EUR_LEX_covid	v1	1613548	459	33	0	7.18
ParaCrawl	v8	ELRC-EUR_LEX	v1	1613548	459	33	0	7.18
ParaCrawl	v8	ELRC-5125-IRC_Conditions_award	v1	1613548	456	86	0	18.85
ParaCrawl	v8	ELRC-2458-Tarmaocht_agus_aistr	v1	1613548	324	37	0	11.41
ParaCrawl	v8	ELRC-780-Coimisineir_Teanga	v1	1613548	311	147	0	47.26
ParaCrawl	v8	ELRC-2468-Oifig_Ombudsman_irin	v1	1613548	281	5	0	1.77
ParaCrawl	v8	ELRC-2748-vaccination	v1	1613548	251	1	0	.39
ParaCrawl	v8	ELRC-vaccination	v1	1613548	251	1	0	.39
ParaCrawl	v8	ELRC-2466-Leabhrn_dAonad_Altra	v1	1613548	247	6	0	2.42
ParaCrawl	v8	ELRC-804-UCD_Bord_na	v1	1613548	247	5	0	2.02
ParaCrawl	v8	ELRC-5138-Preasritis__Choliste	v1	1613548	233	8	0	3.43
ParaCrawl	v8	ELRC-5142-Preasriteas__Cholist	v1	1613548	215	0	0	0
ParaCrawl	v8	ELRC-2440-Polsas_ar_Fheinilach	v1	1613548	195	2	0	1.02
ParaCrawl	v8	ELRC-5143-Preasriteas__Cholist	v1	1613548	190	7	0	3.68
ParaCrawl	v8	ELRC-5135-Preasritis__Choliste	v1	1613548	186	6	0	3.22
ParaCrawl	v8	ELRC-2425-Preasritis_Gaois_Fio	v1	1613548	181	8	0	4.41
ParaCrawl	v8	ELRC-5144-Iarracht_ar_Threoir	v1	1613548	168	34	0	20.23
ParaCrawl	v8	ELRC-3194-antibiotic	v1	1613548	162	32	0	19.75
ParaCrawl	v8	ELRC-antibiotic	v1	1613548	162	32	0	19.75
ParaCrawl	v8	ELRC-2452-Tuairisc_a_thug	v1	1613548	152	23	0	15.13
ParaCrawl	v8	ELRC-5146-Irish_Government_Pre	v1	1613548	128	2	0	1.56
ParaCrawl	v8	ELRC-2467-Preasritis_Oifig_an	v1	1613548	118	3	0	2.54
ParaCrawl	v8	ELRC-5137-Preasritis__Choliste	v1	1613548	113	2	0	1.76
ParaCrawl	v8	TED2020	v1	1613548	92	1	0	1.08
ParaCrawl	v8	ELRC-2423-Preasritis_Ollscoil_	v1	1613548	83	1	0	1.20
ParaCrawl	v8	ELRC-5141-Preasritis__Choliste	v1	1613548	53	0	0	0
ParaCrawl	v8	ELRC-3456-EC_EUROPA_covid	v1	1613548	47	1	0	2.12
ParaCrawl	v8	ELRC-EC_EUROPA	v1	1613548	47	1	0	2.12
ParaCrawl	v8	ELRC-2505-Preasriteas_M_Iil	v1	1613548	42	1	0	2.38
ParaCrawl	v8	ELRC-2508-Preasritis_Ollscoil_	v1	1613548	42	0	0	0
ParaCrawl	v8	ELRC-5139-Bileog_do_Phlean	v1	1613548	36	12	0	33.33
ParaCrawl	v8	ELRC-2465-Faisnis_faoi_IDS	v1	1613548	32	7	0	21.87
ParaCrawl	v8	ELRC-2460-Preasriteas_faoi_foi	v1	1613548	29	1	0	3.44
ParaCrawl	v8	ELRC-5153-A_crisis_number	v1	1613548	26	0	0	0
ParaCrawl	v8	ELRC-2449-Litir__Oifig	v1	1613548	23	1	0	4.34
ParaCrawl	v8	ELRC-2463-Toili_don_Scagthstil	v1	1613548	22	1	0	4.54
ParaCrawl	v8	Ubuntu	v14.10	1613548	21	0	0	0
ParaCrawl	v8	ELRC-2462-Preasriteas_faoi_Uac	v1	1613548	20	6	0	30.00
ParaCrawl	v8	ELRC-2509-Comhdhil_Cumann_Idir	v1	1613548	20	0	0	0
ParaCrawl	v8	ELRC-5128-Celebrating_Our_Livi	v1	1613548	18	1	0	5.55
ParaCrawl	v8	wikimedia	v20190628	1613548	17	5	0	29.41
ParaCrawl	v8	ELRC-presscorner_covid	v1	1613548	15	1	0	6.66
ParaCrawl	v8	ELRC-3285-EUROPARL_covid	v1	1613548	14	0	0	0
ParaCrawl	v8	ELRC-EUROPARL_covid	v1	1613548	14	0	0	0
ParaCrawl	v8	ELRC-2451-Pleananna_ITBC_le	v1	1613548	13	0	0	0
ParaCrawl	v8	ELRC-2464-Foirm_FSS_Iarratais	v1	1613548	12	1	0	8.33
ParaCrawl	v8	ELRC_2923	v1	1613548	11	0	0	0
ParaCrawl	v8	ELRC_3382	v1	1613548	8	1	0	12.50
ParaCrawl	v8	ELRC-2459-Pstaer_faoi_scoil	v1	1613548	6	0	0	0
