corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ParaCrawl	v9	MultiParaCrawl	v9	16255585	16255585	16255557	99.99	99.99
ParaCrawl	v9	MultiParaCrawl	v9b	16255585	16255585	16255557	99.99	99.99
ParaCrawl	v9	MultiParaCrawl	v8	16255585	31837190	11278499	69.38	35.42
ParaCrawl	v9	ParaCrawl	v8	16255585	31837190	11278496	69.38	35.42
ParaCrawl	v9	CCMatrix	v1	16255585	50785503	5135047	31.58	10.11
ParaCrawl	v9	NLLB	v1	16255585	50701984	5132084	31.57	10.12
ParaCrawl	v9	MultiParaCrawl	v7.1	16255585	6284190	1979183	12.17	31.49
ParaCrawl	v9	ParaCrawl	v7.1	16255585	6284190	1979184	12.17	31.49
ParaCrawl	v9	HPLT	v1	16255585	7919073	1361604	8.37	17.19
ParaCrawl	v9	MultiHPLT	v1	16255585	7919073	1361606	8.37	17.19
ParaCrawl	v9	MultiCCAligned	v1.1	16255585	5854732	751860	4.62	12.84
ParaCrawl	v9	MultiCCAligned	v1	16255585	5854732	751860	4.62	12.84
ParaCrawl	v9	CCAligned	v1	16255585	5854730	751860	4.62	12.84
ParaCrawl	v9	WikiMatrix	v1	16255585	6220718	603551	3.71	9.70
ParaCrawl	v9	MaCoCu	v2	16255585	3127073	308625	1.89	9.86
ParaCrawl	v9	MultiMaCoCu	v2	16255585	3127073	308626	1.89	9.86
ParaCrawl	v9	DOGC	v3	16255585	7858365	34285	.21	.43
ParaCrawl	v9	DOGC	v2	16255585	4430758	23163	.14	.52
ParaCrawl	v9	wikimedia	v20230407	16255585	1263703	16133	.09	1.27
ParaCrawl	v9	wikimedia	v20210402	16255585	856154	14503	.08	1.69
ParaCrawl	v9	XLEnt	v1.1	16255585	2452904	11180	.06	.45
ParaCrawl	v9	XLEnt	v1	16255585	2452904	11180	.06	.45
ParaCrawl	v9	XLEnt	v1.2	16255585	2452904	11180	.06	.45
ParaCrawl	v9	WikiTitles	v3	16255585	470241	9990	.06	2.12
ParaCrawl	v9	OpenSubtitles	v2018	16255585	456959	3516	.02	.76
ParaCrawl	v9	OpenSubtitles	v2016	16255585	390246	3229	.01	.82
ParaCrawl	v9	KDE4	v2	16255585	137751	2084	.01	1.51
ParaCrawl	v9	QED	v2.0a	16255585	90557	2189	.01	2.41
ParaCrawl	v9	TED2020	v1	16255585	57042	1949	.01	3.41
ParaCrawl	v9	GlobalVoices	v2018q4	16255585	25928	3146	.01	12.13
ParaCrawl	v9	GlobalVoices	v2017q3	16255585	25573	3074	.01	12.02
ParaCrawl	v9	GlobalVoices	v2015	16255585	24258	2864	.01	11.80
ParaCrawl	v9	OpenSubtitles	v2012	16255585	111184	1587	0	1.42
ParaCrawl	v9	OpenSubtitles	v2013	16255585	85021	1363	0	1.60
ParaCrawl	v9	ELRC-5129-GEnCaTA_a	v1	16255585	37928	1537	0	4.05
ParaCrawl	v9	Mozilla-I10n	v1	16255585	26545	1558	0	5.86
ParaCrawl	v9	Tatoeba	v2023-04-12	16255585	8337	150	0	1.79
ParaCrawl	v9	Tatoeba	v2022-03-03	16255585	8268	148	0	1.79
ParaCrawl	v9	Tatoeba	v2021-07-22	16255585	8199	148	0	1.80
ParaCrawl	v9	Tatoeba	v2021-03-10	16255585	7955	144	0	1.81
ParaCrawl	v9	Tatoeba	v2020-11-09	16255585	6505	124	0	1.90
ParaCrawl	v9	Tatoeba	v2020-05-31	16255585	6213	116	0	1.86
ParaCrawl	v9	Tatoeba	v20190709	16255585	6135	110	0	1.79
ParaCrawl	v9	EUbookshop	v2	16255585	5164	56	0	1.08
ParaCrawl	v9	Tatoeba	v2	16255585	4872	80	0	1.64
ParaCrawl	v9	Books	v1	16255585	4863	35	0	.71
ParaCrawl	v9	wikimedia	v20190628	16255585	3085	334	0	10.82
ParaCrawl	v9	ELRC-5189-Catalan_WMT2013_Mach	v1	16255585	3037	19	0	.62
ParaCrawl	v9	ELRC_2922	v1	16255585	1537	72	0	4.68
ParaCrawl	v9	ELRC-3040-wikipedia_health	v1	16255585	1537	72	0	4.68
