corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ParaCrawl	v9	CCMatrix	v1	278310902	245958729	17916112	6.43	7.28
ParaCrawl	v9	CCAligned	v1	278310902	15192790	2229680	.80	14.67
ParaCrawl	v9	TildeMODEL	v2018	278310902	4184303	245355	.08	5.86
ParaCrawl	v9	WikiMatrix	v1	278310902	1573421	160250	.05	10.18
ParaCrawl	v9	DGT	v2019	278310902	3598219	114525	.04	3.18
ParaCrawl	v9	Wikipedia	v1.0	278310902	2413702	119928	.04	4.96
ParaCrawl	v9	ELRC-5067-SciPar	v1	278310902	890185	80220	.02	9.01
ParaCrawl	v9	OpenSubtitles	v2018	278310902	18698900	39440	.01	.21
ParaCrawl	v9	JRC-Acquis	v3.0	278310902	503393	34112	.01	6.77
ParaCrawl	v9	News-Commentary	v16	278310902	285720	43859	.01	15.35
ParaCrawl	v9	News-Commentary	v14	278310902	285704	46365	.01	16.22
ParaCrawl	v9	News-Commentary	v11	278310902	222749	33480	.01	15.03
ParaCrawl	v9	EuroPat	v3	278310902	19734743	6818	0	.03
ParaCrawl	v9	LinguaTools-WikiTitles	v2014	278310902	15812874	19931	0	.12
ParaCrawl	v9	EuroPat	v2	278310902	15571045	5946	0	.03
ParaCrawl	v9	EuroPat	v1	278310902	12614161	5183	0	.04
ParaCrawl	v9	EUbookshop	v2	278310902	8268818	19587	0	.23
ParaCrawl	v9	XLEnt	v1.1	278310902	3802840	3478	0	.09
ParaCrawl	v9	XLEnt	v1.2	278310902	3802840	3478	0	.09
ParaCrawl	v9	XLEnt	v1	278310902	3802840	3478	0	.09
ParaCrawl	v9	Europarl	v8	278310902	1916512	19794	0	1.03
ParaCrawl	v9	WikiTitles	v3	278310902	1386531	14350	0	1.03
ParaCrawl	v9	ELRC-2714-EMEA	v1	278310902	752887	22106	0	2.93
ParaCrawl	v9	ELRC-EMEA	v1	278310902	752887	22106	0	2.93
ParaCrawl	v9	ELRC_2682	v1	278310902	620450	18599	0	2.99
ParaCrawl	v9	Tanzil	v1	278310902	516835	24150	0	4.67
ParaCrawl	v9	QED	v2.0a	278310902	492321	22011	0	4.47
ParaCrawl	v9	EMEA	v3	278310902	357190	6649	0	1.86
ParaCrawl	v9	Tatoeba	v2022-03-03	278310902	313068	6630	0	2.11
ParaCrawl	v9	Tatoeba	v2021-07-22	278310902	307276	6586	0	2.14
ParaCrawl	v9	Tatoeba	v2021-03-10	278310902	302363	6554	0	2.16
ParaCrawl	v9	Tatoeba	v2020-11-09	278310902	299698	6536	0	2.18
ParaCrawl	v9	Tatoeba	v2020-05-31	278310902	294740	6497	0	2.20
ParaCrawl	v9	TED2020	v1	278310902	289362	19845	0	6.85
ParaCrawl	v9	Tatoeba	v20190709	278310902	289207	6435	0	2.22
ParaCrawl	v9	ELITR-ECA	v1	278310902	252015	139	0	.05
ParaCrawl	v9	ELRC-1077-EUIPO_law	v1	278310902	233271	71	0	.03
ParaCrawl	v9	ELRC-EUIPO_law	v1	278310902	233271	71	0	.03
ParaCrawl	v9	News-Commentary	v9.0	278310902	200304	24568	0	12.26
ParaCrawl	v9	News-Commentary	v9.1	278310902	200304	24568	0	12.26
ParaCrawl	v9	KDE4	v2	278310902	187849	680	0	.36
ParaCrawl	v9	NeuLab-TedTalks	v1	278310902	182085	13302	0	7.30
ParaCrawl	v9	ELRC-1121-CORDIS_Results_Brief	v1	278310902	182066	4309	0	2.36
ParaCrawl	v9	ELRC-CORDIS_Results	v1	278310902	182066	4309	0	2.36
ParaCrawl	v9	Tatoeba	v2	278310902	142996	3707	0	2.59
ParaCrawl	v9	TED2013	v1.1	278310902	142758	12824	0	8.98
ParaCrawl	v9	MultiUN	v1	278310902	127300	1026	0	.80
ParaCrawl	v9	ECB	v1	278310902	113033	6890	0	6.09
ParaCrawl	v9	ELRC-1117-CORDIS_News	v1	278310902	111275	2085	0	1.87
ParaCrawl	v9	ELRC-CORDIS_News	v1	278310902	111275	2085	0	1.87
ParaCrawl	v9	wikimedia	v20210402	278310902	103209	608	0	.58
ParaCrawl	v9	GlobalVoices	v2018q4	278310902	70537	19246	0	27.28
ParaCrawl	v9	OpenSubtitles	v1	278310902	66867	625	0	.93
ParaCrawl	v9	GlobalVoices	v2017q3	278310902	65711	16686	0	25.39
ParaCrawl	v9	bible-uedin	v1	278310902	61579	14539	0	23.61
ParaCrawl	v9	GlobalVoices	v2015	278310902	56630	13442	0	23.73
ParaCrawl	v9	ELRC-642-Federal_Foreign_Berl	v1	278310902	53842	22173	0	41.18
ParaCrawl	v9	Books	v1	278310902	51106	5390	0	10.54
ParaCrawl	v9	ELRA-W0201	v1	278310902	35973	915	0	2.54
ParaCrawl	v9	ELRC-638-Luxembourg.lu	v1	278310902	35970	921	0	2.56
ParaCrawl	v9	OpenOffice	v2	278310902	35117	390	0	1.11
ParaCrawl	v9	WMT-News	v2019	278310902	34727	62	0	.17
ParaCrawl	v9	ELRC-1092-EUIPO_list	v1	278310902	30484	83	0	.27
ParaCrawl	v9	ELRC-EUIPO_list	v1	278310902	30484	83	0	.27
ParaCrawl	v9	ELRA-W0143	v1	278310902	30483	82	0	.26
ParaCrawl	v9	ELRC-1089-German_Foreign_Offic	v1	278310902	24725	11713	0	47.37
ParaCrawl	v9	ELRC-3565-EUR_LEX_covid	v1	278310902	23300	112	0	.48
ParaCrawl	v9	ELRC-EUR_LEX	v1	278310902	23300	112	0	.48
ParaCrawl	v9	ELRC-1090-German_Foreign_Offic	v1	278310902	20549	8603	0	41.86
ParaCrawl	v9	WMT-News	v2014	278310902	19565	31	0	.15
ParaCrawl	v9	ELRC-2014-EUIPO_2017	v1	278310902	17145	46	0	.26
ParaCrawl	v9	ELRC-EUIPO_2017	v1	278310902	17145	46	0	.26
ParaCrawl	v9	MPC1	v1	278310902	16703	47	0	.28
ParaCrawl	v9	ELRC-774-Presidency	v1	278310902	16475	25	0	.15
ParaCrawl	v9	ELRC-2875-EU_publications_medi	v1	278310902	13280	447	0	3.36
ParaCrawl	v9	ELRC-EU_publications	v1	278310902	13280	447	0	3.36
ParaCrawl	v9	Ubuntu	v14.10	278310902	13116	38	0	.28
ParaCrawl	v9	ELRC-1088-German_Foreign_Offic	v1	278310902	12554	6450	0	51.37
ParaCrawl	v9	PHP	v1	278310902	12281	2539	0	20.67
ParaCrawl	v9	ELRC-630-BMVI_Publications	v1	278310902	11541	44	0	.38
ParaCrawl	v9	ELRC-1086-Information_Portal_G	v1	278310902	11281	359	0	3.18
ParaCrawl	v9	ELRC-Information_Portal	v1	278310902	11281	359	0	3.18
ParaCrawl	v9	ELRC-3606-presscorner_covid	v1	278310902	10233	36	0	.35
ParaCrawl	v9	ELRC-presscorner_covid	v1	278310902	10233	36	0	.35
ParaCrawl	v9	ELRC-by_Presidency	v1	278310902	9023	4243	0	47.02
ParaCrawl	v9	ELRC-634-BMI_Brochures_2011	v1	278310902	8395	45	0	.53
ParaCrawl	v9	GNOME	v1	278310902	7515	24	0	.31
ParaCrawl	v9	EUconst	v1	278310902	6308	1279	0	20.27
ParaCrawl	v9	ELRC_3382	v1	278310902	6228	8	0	.12
ParaCrawl	v9	ELRC-637-SIP	v1	278310902	5687	59	0	1.03
ParaCrawl	v9	ELRC-776-by_Presidency_Counci	v1	278310902	4545	1276	0	28.07
ParaCrawl	v9	ELRC-775-by_Presidency_Counci	v1	278310902	4479	2968	0	66.26
ParaCrawl	v9	ELRC-621-Federal_Constitution	v1	278310902	3971	440	0	11.08
ParaCrawl	v9	ELRC-631-BMVI_Website	v1	278310902	2718	457	0	16.81
ParaCrawl	v9	ELRC-1240-Austrian_Research_Te	v1	278310902	2709	6	0	.22
ParaCrawl	v9	ELRC-3464-EC_EUROPA_covid	v1	278310902	2555	7	0	.27
ParaCrawl	v9	ELRC-EC_EUROPA	v1	278310902	2555	7	0	.27
ParaCrawl	v9	ELRC-2638-monumentos_2007	v1	278310902	2474	6	0	.24
ParaCrawl	v9	ECDC	v2016-03-16	278310902	2461	19	0	.77
ParaCrawl	v9	ELRC-1243-Vienna_Environmental	v1	278310902	2222	3	0	.13
ParaCrawl	v9	ELRC-3063-wikipedia_health	v1	278310902	2098	26	0	1.23
ParaCrawl	v9	ELRC-wikipedia_health	v1	278310902	2098	26	0	1.23
ParaCrawl	v9	ELRC_2922	v1	278310902	2097	25	0	1.19
ParaCrawl	v9	ELRC-4992-Customer_Support_MT	v1	278310902	1365	9	0	.65
ParaCrawl	v9	ELRC-2614-Localidades_2007	v1	278310902	1355	113	0	8.33
ParaCrawl	v9	ELRC-Localidades_2007	v1	278310902	1355	113	0	8.33
ParaCrawl	v9	Salome	v1	278310902	1217	28	0	2.30
ParaCrawl	v9	ELRC-633-BMI_Brochures_2016	v1	278310902	1155	9	0	.77
ParaCrawl	v9	ELRC-2612-Artigos_visitportuga	v1	278310902	1058	15	0	1.41
ParaCrawl	v9	ELRC-Artigos_visitportuga	v1	278310902	1058	15	0	1.41
ParaCrawl	v9	ELRC-1241-2017_Activity_Report	v1	278310902	1020	1	0	.09
ParaCrawl	v9	ELRC-3202-antibiotic	v1	278310902	895	352	0	39.32
ParaCrawl	v9	ELRC-antibiotic	v1	278310902	895	352	0	39.32
ParaCrawl	v9	ELRC-2616-Museus_2007	v1	278310902	794	1	0	.12
ParaCrawl	v9	ELRC-Museus_2007	v1	278310902	794	1	0	.12
ParaCrawl	v9	ELRC-3293-EUROPARL_covid	v1	278310902	720	7	0	.97
ParaCrawl	v9	ELRC-EUROPARL_covid	v1	278310902	720	7	0	.97
ParaCrawl	v9	ELRC-2410-Portal_oficial_turis	v1	278310902	565	103	0	18.23
ParaCrawl	v9	ELRC-2641-Praias_2007	v1	278310902	556	4	0	.71
ParaCrawl	v9	ELRC-Praias_2007	v1	278310902	556	4	0	.71
ParaCrawl	v9	ELRC-2736-vaccination	v1	278310902	489	4	0	.81
ParaCrawl	v9	ELRC-vaccination	v1	278310902	489	4	0	.81
ParaCrawl	v9	ELRC-1238-Energy_Report_City	v1	278310902	482	2	0	.41
ParaCrawl	v9	ELRC_2923	v1	278310902	431	2	0	.46
ParaCrawl	v9	ELRC-Swedish_Labour	v1	278310902	322	3	0	.93
ParaCrawl	v9	ELRC-416-Swedish_Social_Secur	v1	278310902	263	2	0	.76
ParaCrawl	v9	ELRC_416	v1	278310902	262	1	0	.38
ParaCrawl	v9	RF	v1	278310902	177	0	0	0
ParaCrawl	v9	ELRC-632-BMI_Brochure_Civil	v1	278310902	176	2	0	1.13
ParaCrawl	v9	ELRC-401-Swedish_Labour_Part2	v1	278310902	167	3	0	1.79
ParaCrawl	v9	ELRC-406-Swedish_Labour_Part1	v1	278310902	156	1	0	.64
ParaCrawl	v9	ELRC-2639-Parques_e_reservas	v1	278310902	118	2	0	1.69
ParaCrawl	v9	ELRC-Parques_e	v1	278310902	118	2	0	1.69
ParaCrawl	v9	ELRC-2622-Arquitectura_2007	v1	278310902	103	1	0	.97
ParaCrawl	v9	ELRC-Arquitectura_2007	v1	278310902	103	1	0	.97
ParaCrawl	v9	ELRC-3852-Development_Funds_Re	v1	278310902	97	1	0	1.03
ParaCrawl	v9	ELRC-2623-Patrimnio_Aores_2006	v1	278310902	55	1	0	1.81
ParaCrawl	v9	ELRC-Patrimnio_Aores	v1	278310902	55	1	0	1.81
ParaCrawl	v9	ELRC-832-CHARTER_VALUES_CITIZ	v1	278310902	42	1	0	2.38
ParaCrawl	v9	ELRC-5220-Information_crime_vi	v1	278310902	41	1	0	2.43
ParaCrawl	v9	ELRC-403-Rights_Arrested	v1	278310902	24	1	0	4.16
ParaCrawl	v9	ELRA-W0301	v1	278310902	22	0	0	0
ParaCrawl	v9	ELRC-417-Swedish_Work_Environ	v1	278310902	11	1	0	9.09
ParaCrawl	v9	ELRC-TERMITUR	v1	278310902	3	2	0	66.66
