corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
QED	v2.0a	NLLB	v1	17173	22449475	177	1.03	0
QED	v2.0a	TED2020	v1	17173	80	54	.31	67.50
QED	v2.0a	ParaCrawl	v9	17173	3245616	26	.15	0
QED	v2.0a	HPLT	v2	17173	2697581	13	.07	0
QED	v2.0a	MultiHPLT	v2	17173	2697581	13	.07	0
QED	v2.0a	MultiParaCrawl	v7.1	17173	2694761	9	.05	0
QED	v2.0a	ParaCrawl	v7.1	17173	2694760	9	.05	0
QED	v2.0a	HPLT	v1.1	17173	994747	5	.02	0
QED	v2.0a	HPLT	v1	17173	994747	5	.02	0
QED	v2.0a	MultiHPLT	v1.1	17173	994747	5	.02	0
QED	v2.0a	MultiHPLT	v1	17173	994747	5	.02	0
QED	v2.0a	Tatoeba	v2023-04-12	17173	1993	5	.02	.25
QED	v2.0a	Tatoeba	v2022-03-03	17173	1974	5	.02	.25
QED	v2.0a	Tatoeba	v2021-07-22	17173	1941	5	.02	.25
QED	v2.0a	Tatoeba	v2021-03-10	17173	1934	5	.02	.25
QED	v2.0a	Tatoeba	v2020-11-09	17173	1923	5	.02	.26
QED	v2.0a	Tatoeba	v2020-05-31	17173	1913	5	.02	.26
QED	v2.0a	Tatoeba	v20190709	17173	1894	5	.02	.26
QED	v2.0a	ParaCrawl	v8	17173	1995660	3	.01	0
QED	v2.0a	EUbookshop	v2	17173	91074	2	.01	0
QED	v2.0a	CCMatrix	v1	17173	1074570	0	0	0
QED	v2.0a	ParaCrawl	v5	17173	774937	0	0	0
QED	v2.0a	ParaCrawl	v4	17173	354264	0	0	0
QED	v2.0a	DGT	v2019	17173	173204	0	0	0
QED	v2.0a	XLEnt	v1.1	17173	170416	0	0	0
QED	v2.0a	XLEnt	v1	17173	170416	0	0	0
QED	v2.0a	XLEnt	v1.2	17173	170416	0	0	0
QED	v2.0a	KDE4	v2	17173	98693	1	0	0
QED	v2.0a	ELRC-781-Gaois_legislation	v1	17173	68272	0	0	0
QED	v2.0a	ELRA-W0223	v1	17173	68271	0	0	0
QED	v2.0a	DGT	v4	17173	38651	0	0	0
QED	v2.0a	wikimedia	v20230407	17173	19361	1	0	0
QED	v2.0a	GNOME	v1	17173	15602	0	0	0
QED	v2.0a	wikimedia	v20210402	17173	9931	1	0	.01
QED	v2.0a	ELRC-2442-_Chonradh_Ginearlta	v1	17173	7563	0	0	0
QED	v2.0a	EUconst	v1	17173	6718	1	0	.01
QED	v2.0a	ELRC-2438-www.citizensinformat	v1	17173	6690	0	0	0
QED	v2.0a	ELRC-5060-A_mix_annual	v1	17173	6588	0	0	0
QED	v2.0a	ELRC-2443-LithrenGrasinOG	v1	17173	3684	0	0	0
QED	v2.0a	ELRC-2414-Tuarasclaca_Bliantla	v1	17173	2954	0	0	0
QED	v2.0a	ELRC-2497-Tuarascil_Bhliantil_	v1	17173	2645	0	0	0
QED	v2.0a	ELRC-801-Coimisineir_Teanga_R	v1	17173	2103	0	0	0
QED	v2.0a	ELRA-W0230	v1	17173	2102	0	0	0
QED	v2.0a	ELRC-2441-_Chonradh_don	v1	17173	1998	0	0	0
QED	v2.0a	ELRC-805-Udras_na_Gaeltachta	v1	17173	1436	0	0	0
QED	v2.0a	ECDC	v2016-03-16	17173	1354	0	0	0
QED	v2.0a	ELRC-784-Coimisineir_Teanga_R	v1	17173	1227	0	0	0
QED	v2.0a	ELRA-W0224	v1	17173	1226	0	0	0
QED	v2.0a	ELRC-5086-Intellectual_Propert	v1	17173	1136	0	0	0
QED	v2.0a	ELRC-2559-government_websites_	v1	17173	1135	0	0	0
QED	v2.0a	ELRC-government_websites	v1	17173	1135	0	0	0
QED	v2.0a	ELRC-5136-Tuarasclacha_Bliantl	v1	17173	1037	0	0	0
QED	v2.0a	ELRC-2506-Programme_Government	v1	17173	1021	0	0	0
QED	v2.0a	ELRC-2424-Preasritis_Gaois_Fio	v1	17173	974	0	0	0
QED	v2.0a	ELRC-5149-Tuarascil_Bhliantil_	v1	17173	947	0	0	0
QED	v2.0a	ELRC-5123-2020_Annual_Report	v1	17173	766	0	0	0
QED	v2.0a	ELRC-2439-Ritis_Airgeadais_Oll	v1	17173	677	0	0	0
QED	v2.0a	ELRC-5124-Government_Ireland_P	v1	17173	512	0	0	0
QED	v2.0a	Tatoeba	v2	17173	501	0	0	0
QED	v2.0a	ELRC-5150-Language_Scheme_Cust	v1	17173	491	0	0	0
QED	v2.0a	ELRC-2469-Ritis_Airgeadais_Oif	v1	17173	488	0	0	0
QED	v2.0a	ELRC-2867-EU_publications_medi	v1	17173	410	0	0	0
QED	v2.0a	ELRC-EU_publications	v1	17173	410	0	0	0
QED	v2.0a	ELRC-3557-EUR_LEX_covid	v1	17173	397	0	0	0
QED	v2.0a	ELRC-EUR_LEX	v1	17173	397	0	0	0
QED	v2.0a	Ubuntu	v14.10	17173	389	0	0	0
QED	v2.0a	ELRC-2748-vaccination	v1	17173	360	0	0	0
QED	v2.0a	ELRC-vaccination	v1	17173	360	0	0	0
