corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
QED	v2.0a	Tatoeba	v2023-04-12	1179	2853	0	0	0
QED	v2.0a	Tatoeba	v2022-03-03	1179	2840	0	0	0
QED	v2.0a	Tatoeba	v2021-07-22	1179	2818	0	0	0
QED	v2.0a	Tatoeba	v2021-03-10	1179	2800	0	0	0
QED	v2.0a	Tatoeba	v2020-11-09	1179	2770	0	0	0
QED	v2.0a	Tatoeba	v2020-05-31	1179	2708	0	0	0
QED	v2.0a	Tatoeba	v20190709	1179	2625	0	0	0
QED	v2.0a	Tatoeba	v2	1179	592	0	0	0
QED	v2.0a	wikimedia	v20230407	1179	84	0	0	0
QED	v2.0a	wikimedia	v20210402	1179	40	0	0	0
QED	v2.0a	wikimedia	v20190628	1179	16	0	0	0
