corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
QED	v2.0a	TED2020	v1	1294	56857	85	6.56	.14
QED	v2.0a	NeuLab-TedTalks	v1	1294	11579	70	5.40	.60
QED	v2.0a	MultiCCAligned	v1	1294	137541	0	0	0
QED	v2.0a	CCAligned	v1	1294	137540	0	0	0
QED	v2.0a	Tanzil	v1	1294	92343	0	0	0
QED	v2.0a	KDE4	v2	1294	20547	0	0	0
QED	v2.0a	GNOME	v1	1294	12046	0	0	0
QED	v2.0a	wikimedia	v20230407	1294	9422	0	0	0
QED	v2.0a	Bianet	v1	1294	6047	0	0	0
QED	v2.0a	wikimedia	v20210402	1294	3535	0	0	0
QED	v2.0a	tico-19	v2020-10-28	1294	3070	0	0	0
QED	v2.0a	Ubuntu	v14.10	1294	2014	0	0	0
QED	v2.0a	Tatoeba	v2020-11-09	1294	299	0	0	0
QED	v2.0a	Tatoeba	v2021-03-10	1294	299	0	0	0
QED	v2.0a	Tatoeba	v2021-07-22	1294	299	0	0	0
QED	v2.0a	Tatoeba	v2022-03-03	1294	299	0	0	0
QED	v2.0a	Tatoeba	v2023-04-12	1294	299	0	0	0
QED	v2.0a	Tatoeba	v2020-05-31	1294	296	0	0	0
QED	v2.0a	wikimedia	v20190628	1294	186	0	0	0
QED	v2.0a	Tatoeba	v20190709	1294	109	0	0	0
QED	v2.0a	Tatoeba	v2	1294	43	0	0	0
QED	v2.0a	GlobalVoices	v2018q4	1294	33	0	0	0
