corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
QED	v2.0a	NLLB	v1	184	5766647	0	0	0
QED	v2.0a	MultiCCAligned	v1	184	132094	0	0	0
QED	v2.0a	CCAligned	v1	184	132092	0	0	0
QED	v2.0a	bible-uedin	v1	184	61626	0	0	0
QED	v2.0a	GNOME	v1	184	2311	0	0	0
QED	v2.0a	Ubuntu	v14.10	184	1788	0	0	0
QED	v2.0a	Tatoeba	v2023-04-12	184	371	0	0	0
QED	v2.0a	Tatoeba	v2021-07-22	184	370	0	0	0
QED	v2.0a	Tatoeba	v2022-03-03	184	370	0	0	0
QED	v2.0a	Tatoeba	v2020-11-09	184	367	0	0	0
QED	v2.0a	Tatoeba	v2021-03-10	184	367	0	0	0
QED	v2.0a	Tatoeba	v20190709	184	363	0	0	0
QED	v2.0a	Tatoeba	v2020-05-31	184	363	0	0	0
QED	v2.0a	wikimedia	v20230407	184	273	0	0	0
QED	v2.0a	wikimedia	v20210402	184	235	0	0	0
QED	v2.0a	Tatoeba	v2	184	19	0	0	0
QED	v2.0a	wikimedia	v20190628	184	6	0	0	0
