corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
QED	v2.0a	TED2020	v1	2815	1167	677	24.04	58.01
QED	v2.0a	CCAligned	v1	2815	6516255	18	.63	0
QED	v2.0a	OpenSubtitles	v2018	2815	14704	8	.28	.05
QED	v2.0a	CCMatrix	v1	2815	3100965	4	.14	0
QED	v2.0a	Tatoeba	v2022-03-03	2815	7347	3	.10	.04
QED	v2.0a	Tatoeba	v2021-07-22	2815	7297	3	.10	.04
QED	v2.0a	Tatoeba	v2021-03-10	2815	7277	3	.10	.04
QED	v2.0a	Tatoeba	v2020-11-09	2815	7259	3	.10	.04
QED	v2.0a	Tatoeba	v2020-05-31	2815	7253	3	.10	.04
QED	v2.0a	Tatoeba	v20190709	2815	6787	3	.10	.04
QED	v2.0a	Tatoeba	v2	2815	4912	2	.07	.04
QED	v2.0a	XLEnt	v1.1	2815	1062507	1	.03	0
QED	v2.0a	XLEnt	v1	2815	1062507	1	.03	0
QED	v2.0a	ParaCrawl	v9	2815	243178	0	0	0
QED	v2.0a	WikiMatrix	v1	2815	75447	0	0	0
QED	v2.0a	bible-uedin	v1	2815	61599	0	0	0
QED	v2.0a	wikimedia	v20210402	2815	40716	0	0	0
QED	v2.0a	Ubuntu	v14.10	2815	5043	0	0	0
QED	v2.0a	tico-19	v2020-10-28	2815	3070	0	0	0
QED	v2.0a	GNOME	v1	2815	468	0	0	0
QED	v2.0a	ELRC-3067-wikipedia_health	v1	2815	358	0	0	0
QED	v2.0a	ELRC-wikipedia_health	v1	2815	358	0	0	0
QED	v2.0a	ELRC_2922	v1	2815	357	0	0	0
