corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
QED	v2.0a	TED2020	v1	18508	15331	3795	20.50	24.75
QED	v2.0a	NeuLab-TedTalks	v1	18508	6426	1869	10.09	29.08
QED	v2.0a	NLLB	v1	18508	25242795	93	.50	0
QED	v2.0a	OpenSubtitles	v2018	18508	26235	65	.35	.24
QED	v2.0a	MultiCCAligned	v1	18508	1365314	62	.33	0
QED	v2.0a	CCAligned	v1	18508	1365289	62	.33	0
QED	v2.0a	OpenSubtitles	v2016	18508	13164	56	.30	.42
QED	v2.0a	CCMatrix	v1	18508	6053255	45	.24	0
QED	v2.0a	XLEnt	v1.1	18508	730332	2	.01	0
QED	v2.0a	XLEnt	v1	18508	730332	2	.01	0
QED	v2.0a	XLEnt	v1.2	18508	730332	2	.01	0
QED	v2.0a	Tanzil	v1	18508	736126	0	0	0
QED	v2.0a	Anuvaad	v1	18508	160565	0	0	0
QED	v2.0a	wikimedia	v20230407	18508	87066	0	0	0
QED	v2.0a	wikimedia	v20210402	18508	41018	0	0	0
QED	v2.0a	Joshua-IPC	v1	18508	32076	0	0	0
QED	v2.0a	pmindia	v1	18508	11166	0	0	0
QED	v2.0a	GlobalVoices	v2018q4	18508	3860	1	0	.02
QED	v2.0a	GlobalVoices	v2017q3	18508	3547	1	0	.02
QED	v2.0a	tico-19	v2020-10-28	18508	3070	0	0	0
QED	v2.0a	GNOME	v1	18508	2744	0	0	0
QED	v2.0a	GlobalVoices	v2015	18508	2647	0	0	0
QED	v2.0a	Ubuntu	v14.10	18508	2584	0	0	0
QED	v2.0a	Tatoeba	v2023-04-12	18508	1667	1	0	.05
QED	v2.0a	Tatoeba	v2021-03-10	18508	1665	1	0	.06
QED	v2.0a	Tatoeba	v2021-07-22	18508	1665	1	0	.06
QED	v2.0a	Tatoeba	v2022-03-03	18508	1665	1	0	.06
QED	v2.0a	Tatoeba	v2020-11-09	18508	1664	1	0	.06
QED	v2.0a	Tatoeba	v2020-05-31	18508	1663	1	0	.06
QED	v2.0a	Tatoeba	v20190709	18508	1662	1	0	.06
QED	v2.0a	Tatoeba	v2	18508	1273	0	0	0
