corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
QED	v2.0a	TED2020	v1	315775	319120	103257	32.69	32.35
QED	v2.0a	NeuLab-TedTalks	v1	315775	180861	70910	22.45	39.20
QED	v2.0a	OpenSubtitles	v2018	315775	3046635	10411	3.29	.34
QED	v2.0a	OpenSubtitles	v2016	315775	1990878	7011	2.22	.35
QED	v2.0a	CCMatrix	v1	315775	49682115	3941	1.24	0
QED	v2.0a	NLLB	v1	315775	49681154	3941	1.24	0
QED	v2.0a	HPLT	v2	315775	19231734	3054	.96	.01
QED	v2.0a	MultiCCAligned	v1	315775	12230118	1327	.42	.01
QED	v2.0a	CCAligned	v1	315775	12229912	1327	.42	.01
QED	v2.0a	ParaCrawl-Bonus	v9	315775	6255074	1105	.34	.01
QED	v2.0a	translatewiki	v2025-01-01	315775	34254	32	.01	.09
QED	v2.0a	WikiMatrix	v1	315775	1073752	9	0	0
QED	v2.0a	wikimedia	v20230407	315775	613874	18	0	0
QED	v2.0a	wikimedia	v20210402	315775	549683	16	0	0
QED	v2.0a	StanfordNLP-NMT	v1.0	315775	133039	0	0	0
QED	v2.0a	bible-uedin	v1	315775	119297	0	0	0
QED	v2.0a	KDE4	v2	315775	39809	14	0	.03
QED	v2.0a	Wikipedia	v1.0	315775	36186	31	0	.08
QED	v2.0a	Tatoeba	v2023-04-12	315775	6849	18	0	.26
QED	v2.0a	Tatoeba	v2022-03-03	315775	5689	18	0	.31
QED	v2.0a	Tatoeba	v2021-07-22	315775	5633	18	0	.31
QED	v2.0a	Tatoeba	v2021-03-10	315775	5630	18	0	.31
QED	v2.0a	Tatoeba	v2020-11-09	315775	5517	18	0	.32
QED	v2.0a	Tatoeba	v2020-05-31	315775	5324	18	0	.33
QED	v2.0a	Tatoeba	v20190709	315775	5318	18	0	.33
QED	v2.0a	Ubuntu	v14.10	315775	5036	3	0	.05
QED	v2.0a	ELRC-3086-wikipedia_health	v1	315775	4274	0	0	0
QED	v2.0a	ELRC-wikipedia_health	v1	315775	4274	0	0	0
QED	v2.0a	ELRC_2922	v1	315775	4273	0	0	0
QED	v2.0a	Tatoeba	v2	315775	2166	12	0	.55
QED	v2.0a	GNOME	v1	315775	148	0	0	0
QED	v2.0a	XLEnt	v1.1	315775	3	0	0	0
QED	v2.0a	XLEnt	v1.2	315775	3	0	0	0
QED	v2.0a	XLEnt	v1	315775	3	0	0	0
