corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Salome	v1	CCMatrix	v1	1227	324789552	290	23.63	0
Salome	v1	ParaCrawl	v9	1227	216646825	242	19.72	0
Salome	v1	OpenSubtitles	v2018	1227	34087404	49	3.99	0
Salome	v1	QED	v2.0a	1227	719317	10	.81	0
Salome	v1	OpenSubtitles	v1	1227	202060	8	.65	0
Salome	v1	Tatoeba	v2022-03-03	1227	268076	4	.32	0
Salome	v1	Tatoeba	v2021-07-22	1227	264344	4	.32	0
Salome	v1	Tatoeba	v2021-03-10	1227	262539	4	.32	0
Salome	v1	Tatoeba	v2020-11-09	1227	261643	4	.32	0
Salome	v1	Tatoeba	v2020-05-31	1227	259672	4	.32	0
Salome	v1	Tatoeba	v20190709	1227	257088	4	.32	0
Salome	v1	giga-fren	v2	1227	21837483	3	.24	0
Salome	v1	Europarl	v8	1227	2008866	3	.24	0
Salome	v1	TED2020	v1	1227	399799	3	.24	0
Salome	v1	Tatoeba	v2	1227	144368	3	.24	0
Salome	v1	Books	v1	1227	126395	3	.24	0
Salome	v1	CCAligned	v1	1227	15398414	2	.16	0
Salome	v1	EUbookshop	v2	1227	9351611	2	.16	0
Salome	v1	Wikipedia	v1.0	1227	803434	2	.16	0
Salome	v1	TED2013	v1.1	1227	159223	2	.16	0
Salome	v1	UNPC	v1.0	1227	22819242	1	.08	0
Salome	v1	MultiUN	v1	1227	10468683	1	.08	0
Salome	v1	XLEnt	v1.1	1227	7689402	1	.08	0
Salome	v1	XLEnt	v1	1227	7689402	1	.08	0
Salome	v1	TildeMODEL	v2018	1227	5053982	1	.08	0
Salome	v1	GlobalVoices	v2017q3	1227	339221	1	.08	0
Salome	v1	GlobalVoices	v2015	1227	295008	1	.08	0
Salome	v1	ELRC-1122-CORDIS_Results_Brief	v1	1227	259749	1	.08	0
Salome	v1	ELRC-CORDIS_Results	v1	1227	259749	1	.08	0
Salome	v1	News-Commentary	v11	1227	209253	1	.08	0
Salome	v1	GlobalVoices	v2018q4	1227	183156	1	.08	0
Salome	v1	News-Commentary	v9.0	1227	182504	1	.08	0
Salome	v1	News-Commentary	v9.1	1227	182504	1	.08	0
Salome	v1	News-Commentary	v14	1227	151418	1	.08	0
Salome	v1	News-Commentary	v16	1227	151418	1	.08	0
Salome	v1	ELRC-1118-CORDIS_News	v1	1227	132413	1	.08	0
Salome	v1	ELRC-CORDIS_News	v1	1227	132413	1	.08	0
Salome	v1	ELRA-W0201	v1	1227	36227	1	.08	0
Salome	v1	ELRC-638-Luxembourg.lu	v1	1227	36226	1	.08	0
Salome	v1	WMT-News	v2019	1227	22557	1	.08	0
Salome	v1	WMT-News	v2014	1227	19557	1	.08	0
Salome	v1	ELRC-2879-EU_publications_medi	v1	1227	13128	1	.08	0
Salome	v1	ELRC-EU_publications	v1	1227	13128	1	.08	0
Salome	v1	EuroPat	v2	1227	12081951	0	0	0
Salome	v1	EuroPat	v3	1227	11098711	0	0	0
Salome	v1	EuroPat	v1	1227	9213466	0	0	0
Salome	v1	DGT	v2019	1227	3594195	0	0	0
Salome	v1	WikiMatrix	v1	1227	2757879	0	0	0
Salome	v1	ELRC-5067-SciPar	v1	1227	1123122	0	0	0
Salome	v1	wikimedia	v20210402	1227	908826	0	0	0
Salome	v1	ELRC-2720-EMEA	v1	1227	764730	0	0	0
Salome	v1	ELRC-EMEA	v1	1227	764730	0	0	0
Salome	v1	JRC-Acquis	v3.0	1227	501584	0	0	0
Salome	v1	ELITR-ECA	v1	1227	373483	0	0	0
Salome	v1	EMEA	v3	1227	363091	0	0	0
Salome	v1	ECB	v1	1227	195699	0	0	0
Salome	v1	KDE4	v2	1227	179988	0	0	0
Salome	v1	Tanzil	v1	1227	129891	0	0	0
Salome	v1	ELRC-1075-EUIPO_law	v1	1227	70827	0	0	0
Salome	v1	ELRC-EUIPO_law	v1	1227	70827	0	0	0
Salome	v1	ELRA-W0138	v1	1227	70826	0	0	0
Salome	v1	bible-uedin	v1	1227	61467	0	0	0
Salome	v1	UN	v20090831	1227	60159	0	0	0
Salome	v1	GNOME	v1	1227	55185	0	0	0
Salome	v1	OpenOffice	v2	1227	31879	0	0	0
Salome	v1	ELRC-1100-EUIPO_list	v1	1227	31627	0	0	0
Salome	v1	ELRC-EUIPO_list	v1	1227	31627	0	0	0
Salome	v1	ELRA-W0149	v1	1227	31626	0	0	0
Salome	v1	ELRC-3569-EUR_LEX_covid	v1	1227	23762	0	0	0
Salome	v1	ELRC-EUR_LEX	v1	1227	23762	0	0	0
Salome	v1	ELRC-2018-EUIPO_2017	v1	1227	17444	0	0	0
Salome	v1	ELRC-EUIPO_2017	v1	1227	17444	0	0	0
Salome	v1	PHP	v1	1227	16018	0	0	0
Salome	v1	infopankki	v1	1227	15545	0	0	0
Salome	v1	ELRC-4329-PRINCIPLE_MVEP_legal	v1	1227	11542	0	0	0
Salome	v1	ELRC-3610-presscorner_covid	v1	1227	11315	0	0	0
Salome	v1	ELRC-presscorner_covid	v1	1227	11315	0	0	0
Salome	v1	ELRC-816-ANR_containing_major	v1	1227	10821	0	0	0
Salome	v1	ELRC-637-SIP	v1	1227	10087	0	0	0
Salome	v1	Ubuntu	v14.10	1227	9314	0	0	0
Salome	v1	EUconst	v1	1227	6664	0	0	0
Salome	v1	ELRC_3382	v1	1227	6559	0	0	0
Salome	v1	ELRC-3074-wikipedia_health	v1	1227	4366	0	0	0
Salome	v1	ELRC-wikipedia_health	v1	1227	4366	0	0	0
Salome	v1	ELRC_2922	v1	1227	4365	0	0	0
Salome	v1	tico-19	v2020-10-28	1227	3069	0	0	0
Salome	v1	ELRC-2481-Constituio_da_Repbli	v1	1227	3055	0	0	0
Salome	v1	ELRC-3468-EC_EUROPA_covid	v1	1227	2636	0	0	0
Salome	v1	ELRC-EC_EUROPA	v1	1227	2636	0	0	0
Salome	v1	ELRC-422-Portuguese_legislati	v1	1227	2465	0	0	0
Salome	v1	ELRC-Portuguese_legislati	v1	1227	2465	0	0	0
Salome	v1	ELRC-2614-Localidades_2007	v1	1227	1399	0	0	0
Salome	v1	ELRC-Localidades_2007	v1	1227	1399	0	0	0
Salome	v1	ELRC-Swedish_Labour	v1	1227	1245	0	0	0
Salome	v1	ELRC-2612-Artigos_visitportuga	v1	1227	1231	0	0	0
Salome	v1	ELRC-Artigos_visitportuga	v1	1227	1231	0	0	0
Salome	v1	ELRC-3208-antibiotic	v1	1227	1070	0	0	0
Salome	v1	ELRC-antibiotic	v1	1227	1070	0	0	0
Salome	v1	ELRC-837-Legal	v1	1227	985	0	0	0
Salome	v1	ELRC-2616-Museus_2007	v1	1227	817	0	0	0
Salome	v1	ELRC-Museus_2007	v1	1227	817	0	0	0
Salome	v1	ELRC-3297-EUROPARL_covid	v1	1227	788	0	0	0
Salome	v1	ELRC-EUROPARL_covid	v1	1227	788	0	0	0
Salome	v1	ELRC-401-Swedish_Labour_Part2	v1	1227	686	0	0	0
Salome	v1	ELRC-2410-Portal_oficial_turis	v1	1227	667	0	0	0
Salome	v1	ELRC-406-Swedish_Labour_Part1	v1	1227	604	0	0	0
Salome	v1	ELRC-436-Swedish_Food	v1	1227	589	0	0	0
Salome	v1	ELRA-W0305	v1	1227	588	0	0	0
Salome	v1	ELRC-2641-Praias_2007	v1	1227	581	0	0	0
Salome	v1	ELRC-Praias_2007	v1	1227	581	0	0	0
Salome	v1	ELRC-2732-vaccination	v1	1227	512	0	0	0
Salome	v1	ELRC-vaccination	v1	1227	512	0	0	0
Salome	v1	ELRC_2923	v1	1227	502	0	0	0
Salome	v1	ELRC-2480-Estatuto_dos_Deputad	v1	1227	446	0	0	0
Salome	v1	ELRC-844-PAeSI__Administratio	v1	1227	313	0	0	0
Salome	v1	ELRC-646-International_Judici	v1	1227	222	0	0	0
Salome	v1	ELRA-W0307	v1	1227	221	0	0	0
Salome	v1	ELRC-745-Convention_against_T	v1	1227	189	0	0	0
Salome	v1	ELRA-W0309	v1	1227	188	0	0	0
Salome	v1	ELRC-416-Swedish_Social_Secur	v1	1227	181	0	0	0
Salome	v1	ELRC_416	v1	1227	180	0	0	0
Salome	v1	RF	v1	1227	175	0	0	0
Salome	v1	ELRC-2639-Parques_e_reservas	v1	1227	132	0	0	0
Salome	v1	ELRC-Parques_e	v1	1227	132	0	0	0
Salome	v1	ELRC-2622-Arquitectura_2007	v1	1227	111	0	0	0
Salome	v1	ELRC-Arquitectura_2007	v1	1227	111	0	0	0
Salome	v1	ELRA-W0308	v1	1227	97	0	0	0
Salome	v1	ELRC-3852-Development_Funds_Re	v1	1227	94	0	0	0
Salome	v1	ELRC-648-Letter_rights_person	v1	1227	87	0	0	0
Salome	v1	ELRC-2623-Patrimnio_Aores_2006	v1	1227	63	0	0	0
Salome	v1	ELRC-Patrimnio_Aores	v1	1227	63	0	0	0
Salome	v1	ELRC-832-CHARTER_VALUES_CITIZ	v1	1227	53	0	0	0
Salome	v1	ELRC-403-Rights_Arrested	v1	1227	24	0	0	0
Salome	v1	ELRA-W0301	v1	1227	21	0	0	0
Salome	v1	ELRC-417-Swedish_Work_Environ	v1	1227	12	0	0	0
Salome	v1	ELRC-2638-monumentos_2007	v1	1227	5	0	0	0
