corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
TED2013	v1.1	TED2020	v1	142758	289362	111468	78.08	38.52
TED2013	v1.1	QED	v2.0a	142758	492321	95629	66.98	19.42
TED2013	v1.1	NeuLab-TedTalks	v1	142758	182085	86679	60.71	47.60
TED2013	v1.1	ParaCrawl	v9	142758	278310902	12824	8.98	0
TED2013	v1.1	ParaCrawl	v8	142758	261106742	9554	6.69	0
TED2013	v1.1	MultiParaCrawl	v7.1	142758	82638070	7377	5.16	0
TED2013	v1.1	ParaCrawl	v7.1	142758	82638069	7376	5.16	0
TED2013	v1.1	CCMatrix	v1	142758	245958729	4595	3.21	0
TED2013	v1.1	NLLB	v1	142758	245954214	4596	3.21	0
TED2013	v1.1	MultiCCAligned	v1	142758	91967663	1474	1.03	0
TED2013	v1.1	OpenSubtitles	v2018	142758	18698900	1131	.79	0
TED2013	v1.1	LinguaTools-WikiTitles	v2014	142758	15812874	1066	.74	0
TED2013	v1.1	WikiTitles	v3	142758	1386531	1063	.74	.07
TED2013	v1.1	OpenSubtitles	v2016	142758	11777113	1003	.70	0
TED2013	v1.1	CCAligned	v1	142758	15192790	905	.63	0
TED2013	v1.1	ParaCrawl	v1	142758	36203700	617	.43	0
TED2013	v1.1	XLEnt	v1.1	142758	3802840	357	.25	0
TED2013	v1.1	XLEnt	v1	142758	3802840	357	.25	0
TED2013	v1.1	XLEnt	v1.2	142758	3802840	357	.25	0
TED2013	v1.1	EMEA	v3	142758	357190	307	.21	.08
TED2013	v1.1	Tatoeba	v2023-04-12	142758	322298	166	.11	.05
TED2013	v1.1	Tatoeba	v2022-03-03	142758	313068	165	.11	.05
TED2013	v1.1	Tatoeba	v2021-07-22	142758	307276	165	.11	.05
TED2013	v1.1	Tatoeba	v2021-03-10	142758	302363	165	.11	.05
TED2013	v1.1	Tatoeba	v2020-11-09	142758	299698	165	.11	.05
TED2013	v1.1	Tatoeba	v2020-05-31	142758	294740	164	.11	.05
TED2013	v1.1	Tatoeba	v20190709	142758	289207	164	.11	.05
TED2013	v1.1	OpenSubtitles	v1	142758	66867	131	.09	.19
TED2013	v1.1	ParaCrawl	v5	142758	36657324	125	.08	0
TED2013	v1.1	Europarl	v8	142758	1916512	121	.08	0
TED2013	v1.1	Europarl	v7	142758	1915803	121	.08	0
TED2013	v1.1	Tatoeba	v2	142758	142996	100	.07	.06
TED2013	v1.1	Europarl	v3	142758	1285340	84	.05	0
TED2013	v1.1	JRC-Acquis	v3.0	142758	503393	81	.05	.01
TED2013	v1.1	EUconst	v1	142758	6308	81	.05	1.28
TED2013	v1.1	News-Commentary	v16	142758	285720	66	.04	.02
TED2013	v1.1	News-Commentary	v14	142758	285704	67	.04	.02
TED2013	v1.1	News-Commentary	v11	142758	222749	62	.04	.02
TED2013	v1.1	News-Commentary	v9.0	142758	200304	64	.04	.03
TED2013	v1.1	News-Commentary	v9.1	142758	200304	64	.04	.03
TED2013	v1.1	OpenOffice	v2	142758	35117	62	.04	.17
TED2013	v1.1	ParaCrawl	v4	142758	16173851	57	.03	0
