corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
TED2013	v1.1	TED2020	v1	158608	436827	125883	79.36	28.81
TED2013	v1.1	QED	v2.0a	158608	1260820	107956	68.06	8.56
TED2013	v1.1	NeuLab-TedTalks	v1	158608	234632	97058	61.19	41.36
TED2013	v1.1	MultiParaCrawl	v8	158608	198896388	26002	16.39	.01
TED2013	v1.1	ParaCrawl	v8	158608	198896388	26002	16.39	.01
TED2013	v1.1	MultiParaCrawl	v7.1	158608	101636585	20484	12.91	.02
TED2013	v1.1	ParaCrawl	v7.1	158608	101636585	20484	12.91	.02
TED2013	v1.1	NLLB	v1	158608	863493883	16006	10.09	0
TED2013	v1.1	CCMatrix	v1	158608	792640935	14453	9.11	0
TED2013	v1.1	MultiParaCrawl	v9	158608	186898673	12988	8.18	0
TED2013	v1.1	MultiParaCrawl	v9b	158608	186898673	12988	8.18	0
TED2013	v1.1	ParaCrawl	v9	158608	186898673	12988	8.18	0
TED2013	v1.1	MultiCCAligned	v1.1	158608	101926155	5102	3.21	0
TED2013	v1.1	MultiCCAligned	v1	158608	101926155	5102	3.21	0
TED2013	v1.1	CCAligned	v1	158608	101926052	5102	3.21	0
TED2013	v1.1	OpenSubtitles	v2018	158608	41690960	3761	2.37	0
TED2013	v1.1	OpenSubtitles	v2016	158608	35807625	3647	2.29	.01
TED2013	v1.1	OpenSubtitles	v2012	158608	17459729	3327	2.09	.01
TED2013	v1.1	OpenSubtitles	v2013	158608	17425839	3012	1.89	.01
TED2013	v1.1	ParaCrawl	v1	158608	27231791	1868	1.17	0
TED2013	v1.1	MultiParaCrawl	v5	158608	52467121	1840	1.16	0
TED2013	v1.1	ParaCrawl	v5	158608	52467121	1840	1.16	0
TED2013	v1.1	ParaCrawl	v4	158608	34954922	1657	1.04	0
TED2013	v1.1	ELRC-4159-NTEU_TierA	v1	158608	11608197	1417	.89	.01
TED2013	v1.1	LinguaTools-WikiTitles	v2014	158608	2711542	1189	.74	.04
TED2013	v1.1	WikiTitles	v3	158608	895181	1178	.74	.13
TED2013	v1.1	ELRC-4144-NTEU_TierA	v1	158608	12338382	1079	.68	0
TED2013	v1.1	ELRC-4250-NTEU_TierA	v1	158608	7037388	1038	.65	.01
TED2013	v1.1	ELRC-4227-NTEU_TierA	v1	158608	7353069	1020	.64	.01
TED2013	v1.1	ELRC-4166-NTEU_TierA	v1	158608	9417613	981	.61	.01
TED2013	v1.1	ELRC-4212-NTEU_TierA	v1	158608	6896775	980	.61	.01
TED2013	v1.1	OpenSubtitles	v1	158608	534233	943	.59	.17
TED2013	v1.1	XLEnt	v1.1	158608	6739865	833	.52	.01
TED2013	v1.1	XLEnt	v1	158608	6739865	833	.52	.01
TED2013	v1.1	XLEnt	v1.2	158608	6739865	833	.52	.01
TED2013	v1.1	Tatoeba	v2023-04-12	158608	553671	780	.49	.14
TED2013	v1.1	ELRC-4163-NTEU_TierA	v1	158608	6215201	760	.47	.01
TED2013	v1.1	Tatoeba	v2022-03-03	158608	508456	744	.46	.14
TED2013	v1.1	Tatoeba	v2021-03-10	158608	468676	721	.45	.15
