corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
TED2020	v1	QED	v2.0a	11378	12115	4104	36.06	33.87
TED2020	v1	OpenSubtitles	v2018	11378	11750487	118	1.03	0
TED2020	v1	SETIMES	v2	11378	138052	3	.02	0
TED2020	v1	XLEnt	v1.1	11378	259341	1	0	0
TED2020	v1	XLEnt	v1	11378	259341	1	0	0
TED2020	v1	Tanzil	v1	11378	239903	0	0	0
TED2020	v1	WikiMatrix	v1	11378	210679	1	0	0
TED2020	v1	CCAligned	v1	11378	191704	1	0	0
TED2020	v1	GNOME	v1	11378	30123	0	0	0
TED2020	v1	wikimedia	v20210402	11378	10915	1	0	0
TED2020	v1	Ubuntu	v14.10	11378	10604	0	0	0
TED2020	v1	EUbookshop	v2	11378	557	0	0	0
TED2020	v1	Tatoeba	v2021-07-22	11378	502	1	0	.19
TED2020	v1	Tatoeba	v2022-03-03	11378	502	1	0	.19
TED2020	v1	Tatoeba	v2020-11-09	11378	501	1	0	.19
TED2020	v1	Tatoeba	v2021-03-10	11378	501	1	0	.19
TED2020	v1	Tatoeba	v2020-05-31	11378	499	0	0	0
TED2020	v1	Tatoeba	v20190709	11378	498	0	0	0
TED2020	v1	Tatoeba	v2	11378	284	0	0	0
TED2020	v1	ELRC-3047-wikipedia_health	v1	11378	205	1	0	.48
TED2020	v1	ELRC-wikipedia_health	v1	11378	205	1	0	.48
TED2020	v1	ELRC_2922	v1	11378	204	0	0	0
