corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
TED2020	v1	QED	v2.0a	289362	492321	122103	42.19	24.80
TED2020	v1	TED2013	v1.1	289362	142758	111468	38.52	78.08
TED2020	v1	ParaCrawl	v9	289362	278310902	19845	6.85	0
TED2020	v1	CCMatrix	v1	289362	245958729	8694	3.00	0
TED2020	v1	OpenSubtitles	v2018	289362	18698900	2180	.75	.01
TED2020	v1	CCAligned	v1	289362	15192790	1236	.42	0
TED2020	v1	Tatoeba	v2022-03-03	289362	313068	286	.09	.09
TED2020	v1	Tatoeba	v2021-07-22	289362	307276	286	.09	.09
TED2020	v1	Tatoeba	v2021-03-10	289362	302363	286	.09	.09
TED2020	v1	Tatoeba	v2020-11-09	289362	299698	286	.09	.09
TED2020	v1	Tatoeba	v2020-05-31	289362	294740	283	.09	.09
TED2020	v1	Tatoeba	v20190709	289362	289207	283	.09	.09
TED2020	v1	Europarl	v8	289362	1916512	206	.07	.01
TED2020	v1	OpenSubtitles	v1	289362	66867	196	.06	.29
TED2020	v1	Tatoeba	v2	289362	142996	164	.05	.11
TED2020	v1	EUbookshop	v2	289362	8268818	85	.02	0
TED2020	v1	TildeMODEL	v2018	289362	4184303	64	.02	0
TED2020	v1	News-Commentary	v16	289362	285720	68	.02	.02
TED2020	v1	News-Commentary	v14	289362	285704	72	.02	.02
TED2020	v1	News-Commentary	v11	289362	222749	59	.02	.02
TED2020	v1	News-Commentary	v9.0	289362	200304	61	.02	.03
TED2020	v1	News-Commentary	v9.1	289362	200304	61	.02	.03
TED2020	v1	GlobalVoices	v2018q4	289362	70537	34	.01	.04
TED2020	v1	GlobalVoices	v2017q3	289362	65711	33	.01	.05
TED2020	v1	EuroPat	v3	289362	19734743	1	0	0
TED2020	v1	EuroPat	v2	289362	15571045	2	0	0
TED2020	v1	EuroPat	v1	289362	12614161	0	0	0
TED2020	v1	XLEnt	v1.1	289362	3802840	1	0	0
TED2020	v1	XLEnt	v1	289362	3802840	1	0	0
TED2020	v1	DGT	v2019	289362	3598219	5	0	0
TED2020	v1	Wikipedia	v1.0	289362	2413702	17	0	0
TED2020	v1	WikiMatrix	v1	289362	1573421	26	0	0
TED2020	v1	WikiTitles	v3	289362	1386531	3	0	0
TED2020	v1	ELRC-5067-SciPar	v1	289362	890185	2	0	0
TED2020	v1	ELRC-2714-EMEA	v1	289362	752887	7	0	0
TED2020	v1	ELRC-EMEA	v1	289362	752887	7	0	0
TED2020	v1	ELRC_2682	v1	289362	620450	6	0	0
TED2020	v1	Tanzil	v1	289362	516835	3	0	0
TED2020	v1	JRC-Acquis	v3.0	289362	503393	0	0	0
TED2020	v1	EMEA	v3	289362	357190	4	0	0
TED2020	v1	ELITR-ECA	v1	289362	252015	1	0	0
TED2020	v1	ELRC-1077-EUIPO_law	v1	289362	233271	2	0	0
TED2020	v1	ELRC-EUIPO_law	v1	289362	233271	2	0	0
TED2020	v1	KDE4	v2	289362	187849	4	0	0
TED2020	v1	ELRC-1121-CORDIS_Results_Brief	v1	289362	182066	2	0	0
TED2020	v1	ELRC-CORDIS_Results	v1	289362	182066	2	0	0
TED2020	v1	MultiUN	v1	289362	127300	0	0	0
TED2020	v1	ECB	v1	289362	113033	6	0	0
TED2020	v1	ELRC-1117-CORDIS_News	v1	289362	111275	15	0	.01
TED2020	v1	ELRC-CORDIS_News	v1	289362	111275	15	0	.01
TED2020	v1	wikimedia	v20210402	289362	103209	1	0	0
TED2020	v1	bible-uedin	v1	289362	61579	0	0	0
TED2020	v1	GlobalVoices	v2015	289362	56630	27	0	.04
TED2020	v1	ELRC-642-Federal_Foreign_Berl	v1	289362	53842	4	0	0
TED2020	v1	Books	v1	289362	51106	13	0	.02
TED2020	v1	ELRA-W0201	v1	289362	35973	4	0	.01
TED2020	v1	ELRC-638-Luxembourg.lu	v1	289362	35970	5	0	.01
TED2020	v1	OpenOffice	v2	289362	35117	0	0	0
TED2020	v1	WMT-News	v2019	289362	34727	12	0	.03
TED2020	v1	ELRC-1092-EUIPO_list	v1	289362	30484	1	0	0
TED2020	v1	ELRC-EUIPO_list	v1	289362	30484	1	0	0
TED2020	v1	ELRA-W0143	v1	289362	30483	0	0	0
TED2020	v1	ELRC-1089-German_Foreign_Offic	v1	289362	24725	7	0	.02
TED2020	v1	ELRC-3565-EUR_LEX_covid	v1	289362	23300	1	0	0
TED2020	v1	ELRC-EUR_LEX	v1	289362	23300	1	0	0
TED2020	v1	ELRC-1090-German_Foreign_Offic	v1	289362	20549	5	0	.02
TED2020	v1	WMT-News	v2014	289362	19565	4	0	.02
TED2020	v1	ELRC-2014-EUIPO_2017	v1	289362	17145	1	0	0
TED2020	v1	ELRC-EUIPO_2017	v1	289362	17145	1	0	0
TED2020	v1	MPC1	v1	289362	16703	22	0	.13
TED2020	v1	ELRC-774-Presidency	v1	289362	16475	3	0	.01
TED2020	v1	ELRC-2875-EU_publications_medi	v1	289362	13280	2	0	.01
TED2020	v1	ELRC-EU_publications	v1	289362	13280	2	0	.01
TED2020	v1	Ubuntu	v14.10	289362	13116	0	0	0
TED2020	v1	ELRC-1088-German_Foreign_Offic	v1	289362	12554	1	0	0
TED2020	v1	PHP	v1	289362	12281	3	0	.02
TED2020	v1	ELRC-630-BMVI_Publications	v1	289362	11541	2	0	.01
TED2020	v1	ELRC-1086-Information_Portal_G	v1	289362	11281	8	0	.07
TED2020	v1	ELRC-Information_Portal	v1	289362	11281	8	0	.07
TED2020	v1	ELRC-3606-presscorner_covid	v1	289362	10233	2	0	.01
TED2020	v1	ELRC-presscorner_covid	v1	289362	10233	2	0	.01
TED2020	v1	ELRC-by_Presidency	v1	289362	9023	3	0	.03
TED2020	v1	ELRC-634-BMI_Brochures_2011	v1	289362	8395	1	0	.01
TED2020	v1	GNOME	v1	289362	7515	0	0	0
TED2020	v1	EUconst	v1	289362	6308	0	0	0
TED2020	v1	ELRC_3382	v1	289362	6228	1	0	.01
TED2020	v1	ELRC-637-SIP	v1	289362	5687	1	0	.01
TED2020	v1	ELRC-776-by_Presidency_Counci	v1	289362	4545	1	0	.02
TED2020	v1	ELRC-775-by_Presidency_Counci	v1	289362	4479	3	0	.06
TED2020	v1	ELRC-621-Federal_Constitution	v1	289362	3971	1	0	.02
TED2020	v1	ELRC-631-BMVI_Website	v1	289362	2718	1	0	.03
TED2020	v1	ELRC-1240-Austrian_Research_Te	v1	289362	2709	1	0	.03
TED2020	v1	ELRC-3464-EC_EUROPA_covid	v1	289362	2555	4	0	.15
TED2020	v1	ELRC-EC_EUROPA	v1	289362	2555	4	0	.15
TED2020	v1	ELRC-2638-monumentos_2007	v1	289362	2474	1	0	.04
TED2020	v1	ELRC-1243-Vienna_Environmental	v1	289362	2222	1	0	.04
TED2020	v1	ELRC-3063-wikipedia_health	v1	289362	2098	1	0	.04
TED2020	v1	ELRC-wikipedia_health	v1	289362	2098	1	0	.04
TED2020	v1	ELRC_2922	v1	289362	2097	0	0	0
TED2020	v1	ELRC-4992-Customer_Support_MT	v1	289362	1365	1	0	.07
TED2020	v1	ELRC-2614-Localidades_2007	v1	289362	1355	1	0	.07
TED2020	v1	ELRC-Localidades_2007	v1	289362	1355	1	0	.07
TED2020	v1	Salome	v1	289362	1217	1	0	.08
TED2020	v1	ELRC-633-BMI_Brochures_2016	v1	289362	1155	1	0	.08
TED2020	v1	ELRC-2612-Artigos_visitportuga	v1	289362	1058	1	0	.09
TED2020	v1	ELRC-Artigos_visitportuga	v1	289362	1058	1	0	.09
TED2020	v1	ELRC-1241-2017_Activity_Report	v1	289362	1020	1	0	.09
TED2020	v1	ELRC-3202-antibiotic	v1	289362	895	1	0	.11
TED2020	v1	ELRC-antibiotic	v1	289362	895	1	0	.11
