corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
TED2020	v1	QED	v2.0a	405946	1051812	127218	31.33	12.09
TED2020	v1	TED2013	v1.1	405946	156698	123250	30.36	78.65
TED2020	v1	CCMatrix	v1	405946	405034797	36880	9.08	0
TED2020	v1	ParaCrawl	v9	405946	269394943	18249	4.49	0
TED2020	v1	OpenSubtitles	v2018	405946	48038535	4576	1.12	0
TED2020	v1	CCAligned	v1	405946	15124311	2371	.58	.01
TED2020	v1	OpenSubtitles	v1	405946	463361	879	.21	.18
TED2020	v1	Tatoeba	v2022-03-03	405946	217865	380	.09	.17
TED2020	v1	Tatoeba	v2021-07-22	405946	214069	379	.09	.17
TED2020	v1	Tatoeba	v2021-03-10	405946	209417	377	.09	.18
TED2020	v1	Tatoeba	v2020-11-09	405946	207472	377	.09	.18
TED2020	v1	Tatoeba	v2020-05-31	405946	205154	376	.09	.18
TED2020	v1	Tatoeba	v20190709	405946	203253	376	.09	.18
TED2020	v1	Europarl	v8	405946	1961895	285	.07	.01
TED2020	v1	GlobalVoices	v2017q3	405946	683652	293	.07	.04
TED2020	v1	GlobalVoices	v2015	405946	559380	255	.06	.04
TED2020	v1	Tatoeba	v2	405946	136198	258	.06	.18
TED2020	v1	GlobalVoices	v2018q4	405946	355113	189	.04	.05
TED2020	v1	UNPC	v1.0	405946	20006701	122	.03	0
TED2020	v1	MultiUN	v1	405946	9269979	132	.03	0
TED2020	v1	EUbookshop	v2	405946	4770208	108	.02	0
TED2020	v1	TildeMODEL	v2018	405946	3715959	63	.01	0
TED2020	v1	WikiMatrix	v1	405946	3377894	53	.01	0
TED2020	v1	Wikipedia	v1.0	405946	1739907	65	.01	0
TED2020	v1	News-Commentary	v11	405946	238511	80	.01	.03
TED2020	v1	News-Commentary	v9.0	405946	193452	77	.01	.03
TED2020	v1	News-Commentary	v9.1	405946	193452	77	.01	.03
TED2020	v1	EuroPat	v3	405946	51352280	13	0	0
TED2020	v1	EuroPat	v2	405946	44063941	10	0	0
TED2020	v1	XLEnt	v1.1	405946	8642368	1	0	0
TED2020	v1	XLEnt	v1	405946	8642368	1	0	0
TED2020	v1	DGT	v2019	405946	3633928	10	0	0
TED2020	v1	wikimedia	v20210402	405946	1207773	37	0	0
TED2020	v1	ELRC-2722-EMEA	v1	405946	770571	5	0	0
TED2020	v1	ELRC-EMEA	v1	405946	770571	5	0	0
TED2020	v1	JRC-Acquis	v3.0	405946	503055	2	0	0
TED2020	v1	SciELO	v1	405946	416293	19	0	0
TED2020	v1	ELITR-ECA	v1	405946	363233	6	0	0
TED2020	v1	EMEA	v3	405946	360247	3	0	0
TED2020	v1	ELRC-5067-SciPar	v1	405946	354460	6	0	0
TED2020	v1	ELRC_2682	v1	405946	243570	2	0	0
TED2020	v1	ELRC-1126-CORDIS_Results_Brief	v1	405946	242561	2	0	0
TED2020	v1	ELRC-CORDIS_Results	v1	405946	242561	2	0	0
TED2020	v1	ELRC-2410-Portal_oficial_turis	v1	405946	186579	28	0	.01
TED2020	v1	KDE4	v2	405946	184425	5	0	0
TED2020	v1	Tanzil	v1	405946	133683	2	0	0
TED2020	v1	ECB	v1	405946	116023	4	0	0
TED2020	v1	ELRC-1125-CORDIS_News	v1	405946	112995	9	0	0
TED2020	v1	ELRC-CORDIS_News	v1	405946	112995	9	0	0
TED2020	v1	ELRC-2503-Descripciones_vulner	v1	405946	97896	1	0	0
TED2020	v1	Books	v1	405946	92791	18	0	.01
TED2020	v1	ELRC-1076-EUIPO_law	v1	405946	90177	2	0	0
TED2020	v1	ELRC-EUIPO_law	v1	405946	90177	2	0	0
TED2020	v1	bible-uedin	v1	405946	61461	0	0	0
TED2020	v1	UN	v20090831	405946	61087	0	0	0
TED2020	v1	News-Commentary	v14	405946	47626	22	0	.04
TED2020	v1	News-Commentary	v16	405946	47618	22	0	.04
TED2020	v1	OpenOffice	v2	405946	32773	0	0	0
TED2020	v1	ELRC-1096-EUIPO_list	v1	405946	32182	1	0	0
TED2020	v1	ELRC-EUIPO_list	v1	405946	32182	1	0	0
TED2020	v1	ELRA-W0147	v1	405946	32181	0	0	0
TED2020	v1	ELRC-3571-EUR_LEX_covid	v1	405946	23326	1	0	0
TED2020	v1	ELRC-EUR_LEX	v1	405946	23326	1	0	0
TED2020	v1	ELRC-government_websites	v1	405946	21516	2	0	0
TED2020	v1	ELRC-863-government_websites_	v1	405946	20968	1	0	0
TED2020	v1	WMT-News	v2014	405946	16555	5	0	.03
TED2020	v1	ELRC-2015-EUIPO_2017	v1	405946	16440	1	0	0
TED2020	v1	ELRC-EUIPO_2017	v1	405946	16440	1	0	0
TED2020	v1	ELRC-1084-Agencia_Tributaria	v1	405946	16269	5	0	.03
TED2020	v1	WMT-News	v2019	405946	14509	4	0	.02
TED2020	v1	ELRC-2543-Inteliterm	v1	405946	13956	2	0	.01
TED2020	v1	ELRC-2881-EU_publications_medi	v1	405946	13184	4	0	.03
TED2020	v1	ELRC-EU_publications	v1	405946	13184	4	0	.03
TED2020	v1	infopankki	v1	405946	12860	5	0	.03
TED2020	v1	PHP	v1	405946	8476	1	0	.01
TED2020	v1	Ubuntu	v14.10	405946	8269	0	0	0
TED2020	v1	ELRC-1082-CNIO	v1	405946	7439	1	0	.01
TED2020	v1	ELRC-3612-presscorner_covid	v1	405946	7295	4	0	.05
TED2020	v1	ELRC-presscorner_covid	v1	405946	7295	4	0	.05
TED2020	v1	EUconst	v1	405946	6641	0	0	0
TED2020	v1	ELRC-1083-AECOSAN	v1	405946	5296	1	0	.01
TED2020	v1	ELRC-3077-wikipedia_health	v1	405946	5115	1	0	.01
TED2020	v1	ELRC-wikipedia_health	v1	405946	5115	1	0	.01
TED2020	v1	ELRC_2922	v1	405946	5114	0	0	0
TED2020	v1	ELRC_3382	v1	405946	3698	3	0	.08
TED2020	v1	tico-19	v2020-10-28	405946	3070	0	0	0
TED2020	v1	ELRC-2502-TERMITUR	v1	405946	3054	2	0	.06
TED2020	v1	ELRC-TERMITUR	v1	405946	3054	2	0	.06
TED2020	v1	ELRC-3470-EC_EUROPA_covid	v1	405946	2923	2	0	.06
TED2020	v1	ELRC-EC_EUROPA	v1	405946	2923	2	0	.06
TED2020	v1	ELRC-2638-monumentos_2007	v1	405946	2547	1	0	.03
TED2020	v1	GNOME	v1	405946	2261	0	0	0
TED2020	v1	ELRC-2614-Localidades_2007	v1	405946	1441	1	0	.06
TED2020	v1	ELRC-Localidades_2007	v1	405946	1441	1	0	.06
TED2020	v1	ELRC-4992-Customer_Support_MT	v1	405946	1350	5	0	.37
TED2020	v1	ELRC-2498-Plan_Nacional_e	v1	405946	1294	1	0	.07
TED2020	v1	ELRC-2612-Artigos_visitportuga	v1	405946	1228	1	0	.08
TED2020	v1	ELRC-Artigos_visitportuga	v1	405946	1228	1	0	.08
TED2020	v1	ELRC-Swedish_Labour	v1	405946	1224	1	0	.08
TED2020	v1	ELRC-5190-Cyber_MT_Test	v1	405946	1004	1	0	.09
TED2020	v1	ELRC-3210-antibiotic	v1	405946	936	1	0	.10
TED2020	v1	ELRC-antibiotic	v1	405946	936	1	0	.10
TED2020	v1	ELRC-2558-government_websites_	v1	405946	904	2	0	.22
TED2020	v1	ELRC-2616-Museus_2007	v1	405946	811	1	0	.12
TED2020	v1	ELRC-Museus_2007	v1	405946	811	1	0	.12
TED2020	v1	ELRC-436-Swedish_Food	v1	405946	754	1	0	.13
