corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
TED2020	v1	QED	v2.0a	402	5251	201	50.00	3.82
TED2020	v1	NLLB	v1	402	15030088	53	13.18	0
TED2020	v1	MultiCCAligned	v1	402	555536	1	.24	0
TED2020	v1	CCAligned	v1	402	555525	1	.24	0
TED2020	v1	XLEnt	v1.1	402	109059	1	.24	0
TED2020	v1	XLEnt	v1.2	402	109059	1	.24	0
TED2020	v1	XLEnt	v1	402	109059	1	.24	0
TED2020	v1	wikimedia	v20230407	402	1684	1	.24	.05
TED2020	v1	wikimedia	v20210402	402	1289	1	.24	.07
TED2020	v1	Tatoeba	v2023-04-12	402	76	1	.24	1.31
TED2020	v1	Tatoeba	v2022-03-03	402	66	1	.24	1.51
TED2020	v1	Tatoeba	v2020-11-09	402	65	1	.24	1.53
TED2020	v1	Tatoeba	v2021-03-10	402	65	1	.24	1.53
TED2020	v1	Tatoeba	v2021-07-22	402	65	1	.24	1.53
TED2020	v1	Ubuntu	v14.10	402	337	0	0	0
TED2020	v1	wikimedia	v20190628	402	139	0	0	0
TED2020	v1	Tatoeba	v20190709	402	64	0	0	0
TED2020	v1	Tatoeba	v2020-05-31	402	64	0	0	0
