corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
TED2020	v1	NeuLab-TedTalks	v1	61319	22649	17769	28.97	78.45
TED2020	v1	QED	v2.0a	61319	7516	101	.16	1.34
TED2020	v1	NLLB	v1	61319	9933519	73	.11	0
TED2020	v1	MultiCCAligned	v1	61319	293884	26	.04	0
TED2020	v1	CCAligned	v1	61319	293880	26	.04	0
TED2020	v1	bible-uedin	v1	61319	61322	0	0	0
TED2020	v1	XLEnt	v1.1	61319	57906	1	0	0
TED2020	v1	XLEnt	v1.2	61319	57906	1	0	0
TED2020	v1	XLEnt	v1	61319	57906	1	0	0
TED2020	v1	MultiParaCrawl	v7.1	61319	31047	1	0	0
TED2020	v1	ParaCrawl	v8	61319	31047	1	0	0
TED2020	v1	ParaCrawl	v9	61319	31047	1	0	0
TED2020	v1	ParaCrawl	v7.1	61319	31046	0	0	0
TED2020	v1	ALT	v2019	61319	18086	1	0	0
TED2020	v1	wikimedia	v20230407	61319	16523	1	0	0
TED2020	v1	wikimedia	v20210402	61319	13572	1	0	0
TED2020	v1	GNOME	v1	61319	5012	0	0	0
TED2020	v1	tico-19	v2020-10-28	61319	3070	0	0	0
TED2020	v1	GlobalVoices	v2018q4	61319	2359	1	0	.04
TED2020	v1	GlobalVoices	v2017q3	61319	2256	0	0	0
TED2020	v1	Ubuntu	v14.10	61319	2108	0	0	0
TED2020	v1	GlobalVoices	v2015	61319	1725	0	0	0
TED2020	v1	GoURMET	v2	61319	1034	1	0	.09
TED2020	v1	Tatoeba	v2022-03-03	61319	221	1	0	.45
TED2020	v1	Tatoeba	v2023-04-12	61319	221	1	0	.45
TED2020	v1	Tatoeba	v2020-11-09	61319	217	1	0	.46
TED2020	v1	Tatoeba	v2021-03-10	61319	217	1	0	.46
TED2020	v1	Tatoeba	v2021-07-22	61319	217	1	0	.46
TED2020	v1	Tatoeba	v2020-05-31	61319	216	0	0	0
TED2020	v1	Tatoeba	v20190709	61319	79	0	0	0
