corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
TED2020	v1	NeuLab-TedTalks	v1	117646	67599	47167	40.09	69.77
TED2020	v1	QED	v2.0a	117646	160782	38461	32.69	23.92
TED2020	v1	ParaCrawl	v9	117646	49109340	4591	3.90	0
TED2020	v1	CCMatrix	v1	117646	76586290	4169	3.54	0
TED2020	v1	OpenSubtitles	v2018	117646	14904885	1231	1.04	0
TED2020	v1	CCAligned	v1	117646	12482304	673	.57	0
TED2020	v1	OpenSubtitles	v1	117646	298889	328	.27	.10
TED2020	v1	ELRC-4268-NTEU_TierA	v1	117646	12468100	157	.13	0
TED2020	v1	Europarl	v8	117646	1846661	146	.12	0
TED2020	v1	Tatoeba	v2022-03-03	117646	26220	75	.06	.28
TED2020	v1	Tatoeba	v2021-07-22	117646	25865	75	.06	.28
TED2020	v1	Tatoeba	v2021-03-10	117646	25646	75	.06	.29
TED2020	v1	Tatoeba	v2020-11-09	117646	25493	75	.06	.29
TED2020	v1	Tatoeba	v2020-05-31	117646	25337	74	.06	.29
TED2020	v1	Tatoeba	v20190709	117646	25226	74	.06	.29
TED2020	v1	TildeMODEL	v2018	117646	3185574	30	.02	0
TED2020	v1	EUbookshop	v2	117646	1753373	30	.02	0
TED2020	v1	Tatoeba	v2	117646	9815	32	.02	.32
TED2020	v1	LinguaTools-WikiTitles	v2014	117646	7759117	1	0	0
TED2020	v1	DGT	v2019	117646	3635425	5	0	0
TED2020	v1	XLEnt	v1.1	117646	3403994	1	0	0
TED2020	v1	XLEnt	v1	117646	3403994	1	0	0
TED2020	v1	XLEnt	v1.2	117646	3403994	1	0	0
TED2020	v1	ELRC-2725-EMEA	v1	117646	752045	3	0	0
TED2020	v1	ELRC-EMEA	v1	117646	752045	3	0	0
TED2020	v1	ELRC-5067-SciPar	v1	117646	670816	6	0	0
TED2020	v1	WikiMatrix	v1	117646	546289	7	0	0
TED2020	v1	JRC-Acquis	v3.0	117646	493351	0	0	0
TED2020	v1	EMEA	v3	117646	347727	3	0	0
TED2020	v1	ELITR-ECA	v1	117646	336379	3	0	0
TED2020	v1	KDE4	v2	117646	192221	3	0	0
TED2020	v1	Tanzil	v1	117646	124111	1	0	0
TED2020	v1	bible-uedin	v1	117646	61422	0	0	0
TED2020	v1	ELRC-1770-valtioneuvosto.fi	v1	117646	49084	3	0	0
TED2020	v1	ELRC-valtioneuvosto.fi	v1	117646	49084	3	0	0
TED2020	v1	ELRC-1133-www.vtv.fi	v1	117646	46345	1	0	0
TED2020	v1	ELRC-www.vtv.fi	v1	117646	46345	1	0	0
TED2020	v1	ELRC-734-www.norden.org	v1	117646	37760	2	0	0
TED2020	v1	ELRC-www.norden.org	v1	117646	37760	2	0	0
TED2020	v1	ELRC-1772-vnk.fi	v1	117646	33625	3	0	0
TED2020	v1	ELRC-vnk.fi	v1	117646	33625	3	0	0
TED2020	v1	OpenOffice	v2	117646	32770	0	0	0
TED2020	v1	WikiSource	v1	117646	32032	0	0	0
TED2020	v1	wikimedia	v20210402	117646	29811	2	0	0
TED2020	v1	ELRC-817-Swedish_Audit_Riksre	v1	117646	28944	3	0	.01
TED2020	v1	ELRC-3574-EUR_LEX_covid	v1	117646	22436	1	0	0
TED2020	v1	ELRC-EUR_LEX	v1	117646	22436	1	0	0
TED2020	v1	ELRC-2037-www.vero.fi	v1	117646	22317	1	0	0
TED2020	v1	ELRC-www.vero.fi	v1	117646	22317	1	0	0
TED2020	v1	ELRC-2026-EUIPO_2017	v1	117646	16947	1	0	0
TED2020	v1	ELRC-EUIPO_2017	v1	117646	16947	1	0	0
TED2020	v1	infopankki	v1	117646	14749	1	0	0
TED2020	v1	ELRC-1131-www.visitestonia.com	v1	117646	14329	1	0	0
TED2020	v1	ELRC-www.visitestonia.com	v1	117646	14329	1	0	0
TED2020	v1	ELRC-2884-EU_publications_medi	v1	117646	13089	2	0	.01
TED2020	v1	ELRC-EU_publications	v1	117646	13089	2	0	.01
TED2020	v1	ELRC-928-Annual_Reports_Swedi	v1	117646	10224	1	0	0
TED2020	v1	ELRC-2033-www.turku.fi	v1	117646	9704	4	0	.04
TED2020	v1	ELRC-www.turku.fi	v1	117646	9704	4	0	.04
TED2020	v1	ELRC-802-Swedish_Competition_	v1	117646	9354	1	0	.01
TED2020	v1	GlobalVoices	v2018q4	117646	8383	3	0	.03
TED2020	v1	GlobalVoices	v2017q3	117646	8372	2	0	.02
TED2020	v1	ELRC-829-Swedish_Migration_Bo	v1	117646	8361	2	0	.02
TED2020	v1	ELRC-Swedish_Migration	v1	117646	8361	2	0	.02
TED2020	v1	ELRA-W0239	v1	117646	8360	1	0	.01
TED2020	v1	GlobalVoices	v2015	117646	8113	2	0	.02
TED2020	v1	ELRC-417-Swedish_Work_Environ	v1	117646	6999	1	0	.01
TED2020	v1	ELRC-3615-presscorner_covid	v1	117646	6855	2	0	.02
TED2020	v1	ELRC-presscorner_covid	v1	117646	6855	2	0	.02
TED2020	v1	Ubuntu	v14.10	117646	6832	0	0	0
TED2020	v1	ELRC-744-Finnish_Information_	v1	117646	6818	1	0	.01
TED2020	v1	ELRC-Finnish_Information	v1	117646	6818	1	0	.01
TED2020	v1	ELRA-W0222	v1	117646	6817	0	0	0
TED2020	v1	EUconst	v1	117646	6598	0	0	0
TED2020	v1	ELRC_3382	v1	117646	3759	1	0	.02
TED2020	v1	PHP	v1	117646	3258	0	0	0
TED2020	v1	Books	v1	117646	3092	2	0	.06
TED2020	v1	ECDC	v2016-03-16	117646	2436	1	0	.04
TED2020	v1	ELRC-Swedish_Labour	v1	117646	2381	1	0	.04
TED2020	v1	ELRC-1013-Sweden_a_Pocket	v1	117646	2200	1	0	.04
TED2020	v1	ELRA-W0130	v1	117646	2199	0	0	0
TED2020	v1	ELRC-712-Social_Insurance_Frs	v1	117646	1953	3	0	.15
TED2020	v1	ELRA-W0213	v1	117646	1952	2	0	.10
TED2020	v1	ELRC-3473-EC_EUROPA_covid	v1	117646	1856	1	0	.05
TED2020	v1	ELRC-EC_EUROPA	v1	117646	1856	1	0	.05
TED2020	v1	ELRC-929-www.sida.se	v1	117646	1545	1	0	.06
TED2020	v1	ELRC-401-Swedish_Labour_Part2	v1	117646	1530	1	0	.06
TED2020	v1	ELRC-823-Swedish_Swedish_Crim	v1	117646	1503	1	0	.06
TED2020	v1	ELRC-436-Swedish_Food	v1	117646	1063	1	0	.09
TED2020	v1	ELRA-W0305	v1	117646	1062	0	0	0
TED2020	v1	ELRC-3213-antibiotic	v1	117646	952	1	0	.10
TED2020	v1	ELRC-antibiotic	v1	117646	952	1	0	.10
TED2020	v1	ELRC-406-Swedish_Labour_Part1	v1	117646	940	1	0	.10
TED2020	v1	ELRC-830-Swedish_Economic_Reg	v1	117646	904	1	0	.11
TED2020	v1	ELRC-416-Swedish_Social_Secur	v1	117646	863	1	0	.11
TED2020	v1	ELRC_416	v1	117646	862	0	0	0
TED2020	v1	ELRC-3302-EUROPARL_covid	v1	117646	844	1	0	.11
TED2020	v1	ELRC-EUROPARL_covid	v1	117646	844	1	0	.11
TED2020	v1	ELRC-3082-wikipedia_health	v1	117646	535	1	0	.18
TED2020	v1	ELRC-wikipedia_health	v1	117646	535	1	0	.18
TED2020	v1	ELRC_2922	v1	117646	534	0	0	0
TED2020	v1	ELRC_2923	v1	117646	499	0	0	0
TED2020	v1	ELRC-2752-vaccination	v1	117646	496	1	0	.20
TED2020	v1	ELRC-vaccination	v1	117646	496	1	0	.20
TED2020	v1	RF	v1	117646	180	0	0	0
TED2020	v1	GNOME	v1	117646	149	0	0	0
