corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
TED2020	v1	NeuLab-TedTalks	v1	156843	100267	83377	53.15	83.15
TED2020	v1	QED	v2.0a	156843	254780	52304	33.34	20.52
TED2020	v1	MultiCCAligned	v1	156843	10610854	626	.39	0
TED2020	v1	CCAligned	v1	156843	10610649	626	.39	0
TED2020	v1	OpenSubtitles	v2018	156843	2964358	391	.24	.01
TED2020	v1	OpenSubtitles	v2016	156843	2419508	365	.23	.01
TED2020	v1	SCB_MT_EN_TH	v1.0	156843	986492	51	.03	0
TED2020	v1	ParaCrawl-Bonus	v9	156843	2057691	42	.02	0
TED2020	v1	HPLT	v2	156843	4088285	8	0	0
TED2020	v1	MultiHPLT	v2	156843	4088285	8	0	0
TED2020	v1	XLEnt	v1.1	156843	1185964	1	0	0
TED2020	v1	XLEnt	v1	156843	1185964	1	0	0
TED2020	v1	XLEnt	v1.2	156843	1185964	1	0	0
TED2020	v1	Tanzil	v1	156843	92182	0	0	0
TED2020	v1	KDE4	v2	156843	64154	0	0	0
TED2020	v1	bible-uedin	v1	156843	61698	0	0	0
TED2020	v1	wikimedia	v20230407	156843	27544	1	0	0
TED2020	v1	wikimedia	v20210402	156843	20784	1	0	0
TED2020	v1	Ubuntu	v14.10	156843	3728	0	0	0
TED2020	v1	Tatoeba	v2023-04-12	156843	1179	3	0	.25
TED2020	v1	Tatoeba	v2022-03-03	156843	1173	3	0	.25
TED2020	v1	Tatoeba	v2021-03-10	156843	1159	3	0	.25
TED2020	v1	Tatoeba	v2021-07-22	156843	1159	3	0	.25
TED2020	v1	Tatoeba	v2020-11-09	156843	1145	3	0	.26
TED2020	v1	Tatoeba	v2020-05-31	156843	1144	2	0	.17
TED2020	v1	Tatoeba	v20190709	156843	1081	2	0	.18
TED2020	v1	tldr-pages	v2023-08-29	156843	296	1	0	.33
TED2020	v1	ELRC-3048-wikipedia_health	v1	156843	237	1	0	.42
TED2020	v1	ELRC-wikipedia_health	v1	156843	237	1	0	.42
TED2020	v1	ELRC_2922	v1	156843	236	0	0	0
TED2020	v1	Tatoeba	v2	156843	173	0	0	0
TED2020	v1	GNOME	v1	156843	77	0	0	0
