corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
TED2020	v1	QED	v2.0a	368571	454090	110259	29.91	24.28
TED2020	v1	TED2013	v1.1	368571	136068	105348	28.58	77.42
TED2020	v1	CCMatrix	v1	368571	46757033	7627	2.06	.01
TED2020	v1	OpenSubtitles	v2018	368571	35657527	3111	.84	0
TED2020	v1	CCAligned	v1	368571	13511958	1718	.46	.01
TED2020	v1	OpenSubtitles	v1	368571	193626	482	.13	.24
TED2020	v1	Tatoeba	v2022-03-03	368571	674238	382	.10	.05
TED2020	v1	Tatoeba	v2021-07-22	368571	672102	381	.10	.05
TED2020	v1	Tatoeba	v2021-03-10	368571	669921	381	.10	.05
TED2020	v1	Tatoeba	v2020-11-09	368571	668189	380	.10	.05
TED2020	v1	Tatoeba	v2020-05-31	368571	666781	379	.10	.05
TED2020	v1	Tatoeba	v20190709	368571	659717	377	.10	.05
TED2020	v1	Tatoeba	v2	368571	156220	178	.04	.11
TED2020	v1	GoURMET	v1	368571	778173	39	.01	0
TED2020	v1	XLEnt	v1.1	368571	3624602	1	0	0
TED2020	v1	XLEnt	v1	368571	3624602	1	0	0
TED2020	v1	Tanzil	v1	368571	1145312	1	0	0
TED2020	v1	WikiMatrix	v1	368571	477736	8	0	0
TED2020	v1	wikimedia	v20210402	368571	278474	6	0	0
TED2020	v1	SETIMES	v2	368571	205750	8	0	0
TED2020	v1	SETIMES	v1	368571	165712	1	0	0
TED2020	v1	Wikipedia	v1.0	368571	157248	8	0	0
TED2020	v1	KDE4	v2	368571	130514	6	0	0
TED2020	v1	bible-uedin	v1	368571	59699	0	0	0
TED2020	v1	Bianet	v1	368571	31734	1	0	0
TED2020	v1	EUbookshop	v2	368571	22034	1	0	0
TED2020	v1	infopankki	v1	368571	13164	5	0	.03
TED2020	v1	WMT-News	v2019	368571	10007	13	0	.12
TED2020	v1	PHP	v1	368571	9057	1	0	.01
TED2020	v1	GlobalVoices	v2018q4	368571	7479	6	0	.08
TED2020	v1	Ubuntu	v14.10	368571	7285	0	0	0
TED2020	v1	GlobalVoices	v2017q3	368571	5465	4	0	.07
TED2020	v1	GlobalVoices	v2015	368571	3925	1	0	.02
TED2020	v1	ELRC-3057-wikipedia_health	v1	368571	2368	1	0	.04
TED2020	v1	ELRC-wikipedia_health	v1	368571	2368	1	0	.04
TED2020	v1	ELRC_2922	v1	368571	2367	0	0	0
TED2020	v1	TildeMODEL	v2018	368571	1584	1	0	.06
TED2020	v1	GNOME	v1	368571	149	0	0	0
