corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
TED2020	v1	NeuLab-TedTalks	v1	394583	239715	195272	49.48	81.46
TED2020	v1	QED	v2.0a	394583	773141	162960	41.29	21.07
TED2020	v1	TED2013	v1.1	394583	157738	124093	31.44	78.67
TED2020	v1	CCMatrix	v1	394583	341802613	40488	10.26	.01
TED2020	v1	NLLB	v1	394583	341230483	40440	10.24	.01
TED2020	v1	MultiParaCrawl	v8	394583	85374905	19329	4.89	.02
TED2020	v1	ParaCrawl	v8	394583	85374905	19329	4.89	.02
TED2020	v1	MultiParaCrawl	v9	394583	81712132	16000	4.05	.01
TED2020	v1	MultiParaCrawl	v9b	394583	81712132	16000	4.05	.01
TED2020	v1	ParaCrawl	v9	394583	81712132	16000	4.05	.01
TED2020	v1	OpenSubtitles	v2018	394583	39284521	13165	3.33	.03
TED2020	v1	OpenSubtitles	v2016	394583	29541858	12101	3.06	.04
TED2020	v1	OpenSubtitles	v2012	394583	10571066	9140	2.31	.08
TED2020	v1	OpenSubtitles	v2013	394583	9810748	8857	2.24	.09
TED2020	v1	MultiCCAligned	v1.1	394583	54679959	7535	1.90	.01
TED2020	v1	MultiCCAligned	v1	394583	54679959	7535	1.90	.01
TED2020	v1	CCAligned	v1	394583	54679929	7535	1.90	.01
TED2020	v1	MultiParaCrawl	v7.1	394583	39257674	5607	1.42	.01
TED2020	v1	ParaCrawl	v7.1	394583	39257674	5607	1.42	.01
TED2020	v1	ParaCrawl	v1	394583	8109947	3167	.80	.03
TED2020	v1	MultiParaCrawl	v5	394583	22004783	2970	.75	.01
TED2020	v1	ParaCrawl	v5	394583	22004783	2970	.75	.01
TED2020	v1	Tatoeba	v2023-04-12	394583	820741	2954	.74	.35
TED2020	v1	Tatoeba	v2022-03-03	394583	786736	2886	.73	.36
TED2020	v1	Tatoeba	v2021-03-10	394583	766261	2859	.72	.37
TED2020	v1	Tatoeba	v2020-11-09	394583	756382	2843	.72	.37
TED2020	v1	Tatoeba	v2021-07-22	394583	761125	2833	.71	.37
TED2020	v1	Tatoeba	v2020-05-31	394583	738622	2824	.71	.38
TED2020	v1	ParaCrawl	v4	394583	12842958	2729	.69	.02
TED2020	v1	Tatoeba	v20190709	394583	708047	2730	.69	.38
TED2020	v1	ELRC-4238-NTEU_TierA	v1	394583	12497652	1469	.37	.01
TED2020	v1	ELRC-4272-NTEU_TierA	v1	394583	8972931	1191	.30	.01
TED2020	v1	OpenSubtitles	v1	394583	71767	1186	.30	1.65
