corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tanzil	v1	MultiCCAligned	v1	184475	3450488	3657	1.98	.10
Tanzil	v1	CCAligned	v1	184475	3450421	3657	1.98	.10
Tanzil	v1	CCMatrix	v1	184475	9919500	2110	1.14	.02
Tanzil	v1	NLLB	v1	184475	61779590	176	.09	0
Tanzil	v1	XLEnt	v1.1	184475	1574182	0	0	0
Tanzil	v1	XLEnt	v1	184475	1574182	0	0	0
Tanzil	v1	XLEnt	v1.2	184475	1574182	0	0	0
Tanzil	v1	Anuvaad	v1	184475	783571	0	0	0
Tanzil	v1	OpenSubtitles	v2018	184475	370084	0	0	0
Tanzil	v1	WikiMatrix	v1	184475	280561	0	0	0
Tanzil	v1	wikimedia	v20230407	184475	192618	0	0	0
Tanzil	v1	GlobalVoices	v2018q4	184475	137864	0	0	0
Tanzil	v1	GlobalVoices	v2017q3	184475	135700	0	0	0
Tanzil	v1	GlobalVoices	v2015	184475	128724	0	0	0
Tanzil	v1	wikimedia	v20210402	184475	96355	0	0	0
Tanzil	v1	OpenSubtitles	v2016	184475	66388	0	0	0
Tanzil	v1	KDE4	v2	184475	34816	0	0	0
Tanzil	v1	pmindia	v1	184475	29557	0	0	0
Tanzil	v1	GNOME	v1	184475	22922	0	0	0
Tanzil	v1	Joshua-IPC	v1	184475	19175	0	0	0
Tanzil	v1	TED2020	v1	184475	10256	0	0	0
Tanzil	v1	Ubuntu	v14.10	184475	5625	0	0	0
Tanzil	v1	Tatoeba	v2023-04-12	184475	5562	0	0	0
Tanzil	v1	Tatoeba	v2021-07-22	184475	5147	0	0	0
Tanzil	v1	Tatoeba	v2022-03-03	184475	5147	0	0	0
Tanzil	v1	Tatoeba	v2021-03-10	184475	5146	0	0	0
Tanzil	v1	Tatoeba	v2020-11-09	184475	5137	0	0	0
Tanzil	v1	Tatoeba	v2020-05-31	184475	5135	0	0	0
Tanzil	v1	Tatoeba	v20190709	184475	5118	0	0	0
Tanzil	v1	NeuLab-TedTalks	v1	184475	5063	0	0	0
Tanzil	v1	tico-19	v2020-10-28	184475	3070	0	0	0
Tanzil	v1	QED	v2.0a	184475	2016	0	0	0
Tanzil	v1	ELRC-3055-wikipedia_health	v1	184475	369	0	0	0
Tanzil	v1	ELRC-wikipedia_health	v1	184475	369	0	0	0
Tanzil	v1	ELRC_2922	v1	184475	368	0	0	0
Tanzil	v1	Tatoeba	v2	184475	199	0	0	0
