corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Tatoeba	v2	Tatoeba	v2023-04-12	879	2444	858	97.61	35.10
Tatoeba	v2	Tatoeba	v2022-03-03	879	2431	858	97.61	35.29
Tatoeba	v2	Tatoeba	v2021-07-22	879	2428	858	97.61	35.33
Tatoeba	v2	Tatoeba	v2021-03-10	879	2416	858	97.61	35.51
Tatoeba	v2	Tatoeba	v2020-11-09	879	2415	858	97.61	35.52
Tatoeba	v2	Tatoeba	v2020-05-31	879	2412	858	97.61	35.57
Tatoeba	v2	Tatoeba	v20190709	879	2405	858	97.61	35.67
Tatoeba	v2	OpenSubtitles	v2018	879	28591047	112	12.74	0
Tatoeba	v2	OpenSubtitles	v2016	879	22002428	99	11.26	0
Tatoeba	v2	ParaCrawl	v7.1	879	6959288	12	1.36	0
Tatoeba	v2	MultiParaCrawl	v7.1	879	6959286	12	1.36	0
Tatoeba	v2	QED	v2.0a	879	196487	12	1.36	0
Tatoeba	v2	ParaCrawl	v8	879	11063124	11	1.25	0
Tatoeba	v2	MultiCCAligned	v1	879	9327209	11	1.25	0
Tatoeba	v2	CCAligned	v1	879	9327047	11	1.25	0
Tatoeba	v2	HPLT	v1	879	9310276	8	.91	0
Tatoeba	v2	TED2020	v1	879	192409	5	.56	0
Tatoeba	v2	NeuLab-TedTalks	v1	879	124970	4	.45	0
Tatoeba	v2	TedTalks	v1	879	81962	3	.34	0
Tatoeba	v2	OpenSubtitles	v1	879	6635	3	.34	.04
Tatoeba	v2	CCMatrix	v1	879	18694537	2	.22	0
Tatoeba	v2	NLLB	v1	879	18694206	2	.22	0
Tatoeba	v2	ELRC-4142-NTEU_TierA	v1	879	2273079	2	.22	0
Tatoeba	v2	hrenWaC	v1	879	96379	2	.22	0
Tatoeba	v2	ParaCrawl	v9	879	3240421	1	.11	0
Tatoeba	v2	TildeMODEL	v2018	879	736487	1	.11	0
Tatoeba	v2	ELRC-2706-EMEA	v1	879	644560	1	.11	0
Tatoeba	v2	ELRC-EMEA	v1	879	644560	1	.11	0
Tatoeba	v2	ELITR-ECA	v1	879	157728	1	.11	0
Tatoeba	v2	ELRC-2542-Agriculture	v1	879	68113	1	.11	0
Tatoeba	v2	wikimedia	v20230407	879	40443	1	.11	0
Tatoeba	v2	wikimedia	v20210402	879	18939	1	.11	0
Tatoeba	v2	ELRC-3597-presscorner_covid	v1	879	6642	1	.11	.01
Tatoeba	v2	ELRC-presscorner_covid	v1	879	6642	1	.11	.01
Tatoeba	v2	XLEnt	v1.1	879	2717963	0	0	0
Tatoeba	v2	XLEnt	v1.2	879	2717963	0	0	0
Tatoeba	v2	XLEnt	v1	879	2717963	0	0	0
Tatoeba	v2	ParaCrawl	v5	879	1846962	0	0	0
Tatoeba	v2	ParaCrawl	v4	879	995511	0	0	0
Tatoeba	v2	ELRC-5067-SciPar	v1	879	806581	0	0	0
Tatoeba	v2	DGT	v2019	879	668790	0	0	0
Tatoeba	v2	WikiMatrix	v1	879	259499	0	0	0
Tatoeba	v2	SETIMES	v2	879	204109	0	0	0
Tatoeba	v2	SETIMES	v1	879	158180	0	0	0
Tatoeba	v2	EuroPat	v3	879	154775	0	0	0
Tatoeba	v2	KDE4	v2	879	81410	0	0	0
Tatoeba	v2	EuroPat	v2	879	75105	0	0	0
Tatoeba	v2	bible-uedin	v1	879	61623	0	0	0
Tatoeba	v2	ELRC-4329-PRINCIPLE_MVEP_legal	v1	879	40102	0	0	0
Tatoeba	v2	ELRC-3556-EUR_LEX_covid	v1	879	21997	0	0	0
Tatoeba	v2	ELRC-EUR_LEX	v1	879	21997	0	0	0
Tatoeba	v2	ELRC-651-government_websites_	v1	879	21334	0	0	0
Tatoeba	v2	ELRC-government_websites	v1	879	21334	0	0	0
Tatoeba	v2	ELRA-W0204	v1	879	21333	0	0	0
Tatoeba	v2	ELRC-943-Journal_Croatian_Ass	v1	879	18478	0	0	0
Tatoeba	v2	ELRA-W0273	v1	879	18477	0	0	0
Tatoeba	v2	ELRC-1174-EUIPO_2017	v1	879	17203	0	0	0
Tatoeba	v2	ELRC-EUIPO_2017	v1	879	17203	0	0	0
Tatoeba	v2	ELRC-1015-Croatian_Mine_Action	v1	879	13354	0	0	0
Tatoeba	v2	ELRA-W0131	v1	879	13353	0	0	0
Tatoeba	v2	Ubuntu	v14.10	879	13128	0	0	0
Tatoeba	v2	ELRC-2866-EU_publications_medi	v1	879	12820	0	0	0
Tatoeba	v2	ELRC-EU_publications	v1	879	12820	0	0	0
Tatoeba	v2	ELRC-921-studies_challenges_C	v1	879	11780	0	0	0
Tatoeba	v2	ELRA-W0266	v1	879	11779	0	0	0
Tatoeba	v2	ELRC-788-Croatian_Bank	v1	879	11708	0	0	0
Tatoeba	v2	ELRA-W0226	v1	879	11707	0	0	0
Tatoeba	v2	ELRC-915-statistical_reports_	v1	879	11660	0	0	0
Tatoeba	v2	ELRC-statistical_reports	v1	879	11660	0	0	0
Tatoeba	v2	ELRA-W0264	v1	879	11659	0	0	0
Tatoeba	v2	GNOME	v1	879	8921	0	0	0
Tatoeba	v2	ELRC-2541-Regional_Development	v1	879	7903	0	0	0
Tatoeba	v2	ELRC-Regional_Development	v1	879	7903	0	0	0
Tatoeba	v2	EUbookshop	v2	879	5750	0	0	0
Tatoeba	v2	ELRC-992-Rural_Development_Pr	v1	879	5185	0	0	0
Tatoeba	v2	ELRC-Rural_Development	v1	879	5185	0	0	0
Tatoeba	v2	ELRC_3382	v1	879	3668	0	0	0
Tatoeba	v2	ELRC-989-Foreign_Affairs_Croa	v1	879	3103	0	0	0
Tatoeba	v2	ELRC-Foreign_Affairs	v1	879	3103	0	0	0
Tatoeba	v2	ELRA-W0293	v1	879	3102	0	0	0
Tatoeba	v2	ELRC-3478-EC_EUROPA_covid	v1	879	2595	0	0	0
Tatoeba	v2	ELRC-EC_EUROPA	v1	879	2595	0	0	0
Tatoeba	v2	ELRC-991-Croatian_Journal_Fis	v1	879	2408	0	0	0
Tatoeba	v2	ELRA-W0294	v1	879	2407	0	0	0
Tatoeba	v2	ELRC-1080-Acts_Biological_Land	v1	879	2329	0	0	0
Tatoeba	v2	ELRA-W0142	v1	879	2328	0	0	0
Tatoeba	v2	ELRC-1058-University_Library_Z	v1	879	2310	0	0	0
Tatoeba	v2	ELRA-W0135	v1	879	2309	0	0	0
Tatoeba	v2	wikimedia	v20190628	879	2221	0	0	0
Tatoeba	v2	ELRC-986-Embassy_Finland_Zagr	v1	879	1967	0	0	0
Tatoeba	v2	ELRA-W0292	v1	879	1966	0	0	0
Tatoeba	v2	ELRC-1159-Swedish_Migration_Bo	v1	879	1112	0	0	0
Tatoeba	v2	ELRC-Swedish_Migration	v1	879	1112	0	0	0
Tatoeba	v2	ELRC-3193-antibiotic	v1	879	1070	0	0	0
Tatoeba	v2	ELRC-antibiotic	v1	879	1070	0	0	0
Tatoeba	v2	ELRC-984-Government_Cooperati	v1	879	1026	0	0	0
Tatoeba	v2	ELRA-W0291	v1	879	1025	0	0	0
Tatoeba	v2	ELRC-996-nature_protection_st	v1	879	970	0	0	0
Tatoeba	v2	ELRC-825-Croatian_Swedish_Cri	v1	879	907	0	0	0
Tatoeba	v2	ELRA-W0238	v1	879	906	0	0	0
Tatoeba	v2	ELRC-2753-vaccination	v1	879	508	0	0	0
Tatoeba	v2	ELRC-vaccination	v1	879	508	0	0	0
Tatoeba	v2	ELRC_2922	v1	879	485	0	0	0
Tatoeba	v2	ELRC-3284-EUROPARL_covid	v1	879	475	0	0	0
Tatoeba	v2	ELRC-EUROPARL_covid	v1	879	475	0	0	0
Tatoeba	v2	ELRC_2923	v1	879	288	0	0	0
